resource_name,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,settlement_point,hsl,qse,company,capacity_mw,energy_mwh,site,eff_capacity_mw,tb_index,theoretical_rev,duration_hours,optimization_rate
ABINDUST_ESR1,0.0,4500.996671783333,0.0,0.0,0.0,0.0,20.15052946416831,480.94893014025314,5002.096131387754,ABINDUST_RN,9.9,QMP2M1,YDIST,,,,9.9,871.9265979072779,8632.073319282052,2.65,57.94779476923847
ADL_ESR1,3909.2873333333328,3254.402441666667,0.0,0.0,0.0,-746.7479544558546,-47.53453550875246,424.3021071571417,6793.709392192535,ADL_RN,60.0,QTEN26,YLIB1S,,,,60.0,463.72310256410253,27823.38615384615,1.07,24.417263070093323
AE_ESR1,686.555,280.1736891666666,0.0,0.0,0.0,63.48206869501973,282.3329564308843,710.0110598234714,2022.554774116042,AE_RN,9.9,QTEN26,TotalEnergies,149.2,244.0,Myrtle Storage U1,149.2,505.77132037533516,75461.08099999999,1.64,2.6802621262688278
ALAMO_ST_ESR1,0.0,3432.683684333333,0.0,298.73855837804075,351.6064433726578,0.0,44.041490874999994,341.36101730855523,4468.431194267587,ALAMO_ST_RN,9.9,QSYSO,YALCEC,,,,9.9,698.1032087179487,6911.221766307693,1.8,64.65472163042509
ALP_BESS_ESR1,8431.361833333332,12671.133587499999,0.0,0.0,178.88958333333332,957.9561037579883,-1849.5489531893077,1883.3711245912064,22273.16327932655,ALP_BESS_RN,100.3,QHEI1,YHABIT,,,,100.3,635.9852520764629,63789.32078326923,1.57,34.91675880199745
ALVIN_ESR1,405.65299999999996,138.6902437416667,0.0,-98.94120951869658,-9.379408479700853,107.07492682840237,118.61933193663708,63.59411290972223,725.3109974180309,ALVIN_RN,9.9,QSUE74,ENGIE,10.0,10.0,Alvin (DGR),10.0,369.815,3698.15,1.0,19.61280633338374
AMAD_ESS_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMAD_ESS_RN,0.0,QGRIE4,YBTAMS,,,,0.0,525.9014576301297,0.0,1.43,0.0
ANCHOR_ESR1,1963.7396666666666,1721.2986666666666,0.0,0.0,0.0,173.7672074683728,-633.6140226413545,1087.070385347592,4312.261903507943,ANCHOR_ALL,35.2,QENE11,Enel North America,35.75,56.5,Anchor BESS 1,35.75,642.1507517482518,22956.889375000002,1.58,18.78417338284509
ANCHOR_ESR2,1908.7084166666666,3788.3635,0.0,0.0,0.0,1492.258083313961,431.9712520238328,1839.4354769414858,9460.736728945947,ANCHOR_ALL,36.3,QENE11,Enel North America,35.75,56.5,Anchor BESS 1,35.75,642.1507517482518,22956.889375000002,1.58,41.2108826000123
ANDMDSLR_ESR1,15309.427500000002,14146.348903174998,0.0,48.54762714423075,837.2595450623356,152.00429383119658,-163.06316973146778,-7384.037445972617,22946.487253508676,ANDMDSLR_ALL,81.9,QIPLU2,YIPXP,,,,81.9,738.3478126608433,60470.68585692307,1.8,37.946464354317584
ANDMDSLR_ESR2,13814.992833333334,12720.497823033333,0.0,59.809057126068375,799.3580582493014,139.5078835982906,-123.07468968667814,-6833.220440485742,20577.870525167906,ANDMDSLR_ALL,78.1,QIPLU2,YIPXP,,,,78.1,758.9619710154634,59274.92993630769,1.86,34.71597612562227
ANEM_ESS_ESR1,0.0,32727.070334783333,0.0,1705.7026415887985,2087.383577303583,139.73077415170943,9697.613449807654,11458.055075296721,57815.55585293179,ANEM_ESS_RN,200.0,QSUE53,Plus Power,205.0,400.0,Anemoi Energy Storage,205.0,535.541768292683,109786.0625,1.95,52.662017870375664
ANGLETON_ESR1,401.75100000000003,323.142393675,0.0,73.08689597246877,0.17974642504931193,67.56666943006246,206.67069092196746,0.0,1072.3973964245479,BRPANGLE_RN,10.0,QSUE74,ENGIE,19.9,19.9,BRP Angleton (DGR),19.9,317.32500000000005,6314.7675,1.0,16.98237340368506
ANG_SLR_ESR1,0.0,23151.72618273333,0.0,0.0,0.0,162.76422661431621,1511.516048143039,-7031.546305830229,17794.460151660456,ANG_ALL,100.0,QTEN26,Apex Clean Energy,103.0,200.0,Angelo Storage,103.0,782.4765141896938,80595.08096153846,1.94,22.078841461989867
ANOL_ESS_ESR1,8910.98,111750.66006921667,0.0,0.0,0.0,1928.0375576613528,3022.3408349038873,-5610.076993170654,120001.94146861124,ANOL_ESS_RN,240.0,QESVEM,esVolta,247.1,480.0,Anole BESS,247.1,679.1007645612178,167805.79892307692,1.94,71.51239244337484
ANTL_ESS_ESR1,14724.281083333333,11508.394333333332,0.0,1825.1157535177924,862.9455559975345,-149.38110563131977,1259.3007089430885,4911.781144794773,34942.437474288534,ANTL_ESS_ES1,70.0,QSU100,ENGIE,72.4,140.0,Antlia BESS,72.4,742.1156895452614,53729.175923076924,1.93,65.03438192373355
APPLE_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLE_ESR_RN,0.0,QTEN26,YAPPFR,,,,0.0,585.0665508971398,0.0,1.43,0.0
ARY_BESS_ESR1,0.0,-584.3483742666666,0.0,0.0,0.0,0.0,0.0,0.0,-584.3483742666666,ARY_BESS_RN,0.0,QTEN32,YBTCS,,,,0.0,411.4667058980281,0.0,1.43,0.0
AVIL_ESS_ESR1,51446.46433333334,22095.70379038333,0.0,1491.3075352708743,967.029215973003,-1304.559613223616,3652.779011041667,17273.50330294519,95622.22757572378,AVIL_ESS_RN,160.0,QSU100,ENGIE,160.0,320.0,Avila BESS,160.0,760.4267307692307,121668.27692307692,2.0,78.59257153463233
AZURE_ESR1,6225.575833333332,17962.44777565,0.0,0.0,0.0,-277.57566173623593,-275.204695048077,3564.020148344387,27199.26340054341,AZURE_RN,77.6,QENEL6,Enel North America,77.2,116.0,Azure Sky Solar,77.2,600.1951404942208,46335.064846153844,1.5,58.70125247661362
BATCAVE_ESR1,6711.7210000000005,1201.4251135083314,0.0,339.4434790948389,192.70713796683924,198.86966143145955,-209.6678966576676,603.5100862510272,9038.00858159483,BATCAVE_RN,100.5,QSUE74,ENGIE,100.5,110.0,Bat Cave,100.5,1335.8559605817068,134253.5240384615,1.09,6.732045692152992
BAY_CITY_ESR1,0.0,1668.0454495,0.0,-4.9205128205128155,0.0,20.585335111563115,-136.5849969408284,-40.78874205304898,1506.3365327971728,BAYC_BESS_RN,9.9,QTEN24,SMT Energy,9.9,9.9,Bay City,9.9,362.6325,3590.0617500000003,1.0,41.958513187055146
BCK_ESR1,0.0,66456.17650205833,0.0,0.0,0.0,0.0,0.0,0.0,66456.17650205833,BCK_RN,123.5,QHEI5,YOL300,,,,123.5,842.3921556842729,104035.43122700769,2.35,63.87840730630455
BCK_ESR2,0.0,66414.88837644999,0.0,0.0,0.0,0.0,0.0,0.0,66414.88837644999,BCK_RN,126.5,QHEI5,YOL300,,,,126.5,836.7160016205128,105844.57420499487,2.33,62.74756063340641
