resource_name,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,settlement_point,hsl,qse,company,capacity_mw,energy_mwh,site,eff_capacity_mw,tb_index,theoretical_rev,duration_hours,optimization_rate
ABINDUST_ESR1,0.0,98.62318234166666,0.0,0.0,0.0,0.0,0.0,0.0,98.62318234166666,ABINDUST_RN,9.9,QMP2M1,YDIST,,,,9.9,171.24450054945055,1695.3205554395606,2.67,5.817376662202728
ADL_ESR1,2134.958333333333,2249.062958333333,0.0,368.09999999999997,0.0,576.0457446993838,48.18621652777777,119.81377627649304,5496.167029170321,ADL_RN,60.0,QTEN26,YLIB1S,,,,60.0,196.58405910256408,11795.043546153845,1.06,46.597259329004544
AE_ESR1,143.25050000000002,192.62093166666665,0.0,0.0,0.0,129.70550226035505,40.58147874576675,176.41869850315064,682.5771111759391,AE_RN,9.9,QTEN26,TotalEnergies,149.2,244.0,Myrtle Storage U1,149.2,73.06804289544237,10901.752,1.64,6.261168949504071
ALAMO_ST_ESR1,0.0,261.4013411416666,0.0,0.0,0.0,0.0,0.0,0.0,261.4013411416666,ALAMO_ST_RN,9.9,QSYSO,YALCEC,,,,9.9,95.49575777777778,945.408002,1.56,27.64957992619853
ALP_BESS_ESR1,0.0,4870.67113,0.0,0.0,0.0,870.873061891574,97.86761781533446,2049.079378024191,7888.4911877311,ALP_BESS_RN,100.3,QHEI1,YHABIT,,,,100.3,105.99680340106056,10631.479381126373,1.49,74.19937437620594
ALVIN_ESR1,-114.60733333333333,207.955479525,0.0,79.44921735293225,35.1066317738221,3.0856864935897423,19.944547548469387,48.29611712217643,279.23034648265656,ALVIN_RN,7.4,QSUE74,ENGIE,10.0,10.0,Alvin (DGR),10.0,178.8078846153846,1788.0788461538461,1.0,15.616221123765344
AMAD_ESS_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMAD_ESS_RN,0.0,QGRIE4,YBTAMS,,,,0.0,394.7774788523948,0.0,1.42,0.0
ANCHOR_ESR1,193.4448333333333,1306.2604166666665,0.0,0.0,0.0,28.361950113378686,82.01373816303133,600.3157914336734,2210.3967297100835,ANCHOR_ALL,35.2,QENE11,Enel North America,35.75,56.5,Anchor BESS 1,35.75,155.5908289787136,5562.372135989011,1.58,39.73838275595824
ANCHOR_ESR2,-38.65916666666667,2504.5521666666664,0.0,0.0,0.0,25.787649607709753,113.47679668856587,658.1194948167953,3263.2769411130707,ANCHOR_ALL,36.3,QENE11,Enel North America,35.75,56.5,Anchor BESS 1,35.75,155.5908289787136,5562.372135989011,1.58,58.667001439896424
ANDMDSLR_ESR1,2909.418333333333,5913.993406808333,0.0,508.25471397780393,211.8611494308843,570.3819695609511,668.8052318711735,3727.1755797490355,14509.890384731514,ANDMDSLR_ALL,81.9,QIPLU2,YIPLU2,,,,81.9,125.44614451934817,10274.039236134617,1.82,141.2286837848455
ANDMDSLR_ESR2,3253.5576666666666,5292.244837916666,0.0,761.1998336651623,222.14924764283364,704.6117597139436,770.9286848333334,3714.942462035291,14719.634492473897,ANDMDSLR_ALL,78.1,QIPLU2,YIPLU2,,,,78.1,128.28636334429655,10019.16497718956,1.86,146.91478307808887
ANEM_ESS_ESR1,0.0,20722.68356323333,0.0,456.18308174897777,704.6805258302155,43.779023864229025,50.49811467857143,2657.3996175912343,24635.223926946564,ANEM_ESS_RN,200.0,QSUE53,Plus Power,205.0,400.0,Anemoi Energy Storage,205.0,259.9719837398374,53294.25666666667,1.95,46.22491327917304
ANGLETON_ESR1,164.65299999999996,-138.10176675833338,0.0,54.24958677458439,18.4347044971236,33.867546921703294,27.35188596354439,0.0,160.45495739862227,BRPANGLE_RN,9.9,QSUE74,ENGIE,19.9,19.9,BRP Angleton (DGR),19.9,174.6625,3475.7837499999996,1.0,4.616367672431355
ANG_SLR_ESR1,0.0,-150.51327616666666,0.0,0.0,0.0,0.0,0.0,0.0,-150.51327616666666,ANG_ALL,0.0,QTEN26,Apex Clean Energy,103.0,200.0,Angelo Storage,103.0,158.8256001280273,16359.036813186813,1.94,-0.9200619687177414
ANOL_ESS_ESR1,0.0,111335.46469149167,0.0,0.0,0.0,193.94828203585598,947.5855956183592,2347.5637915983752,114824.56236074425,ANOL_ESS_RN,240.0,QESVEM,esVolta,247.1,480.0,Anole BESS,247.1,538.6676295800517,133104.77126923075,1.94,86.26630079885629
ANTL_ESS_ESR1,4763.744,899.6046833333339,0.0,298.3776204871099,165.23267947963294,-1.723377604166659,210.82620992261906,625.2867726072191,6961.348588225748,ANTL_ESS_ES1,70.0,QSU100,ENGIE,72.4,140.0,Antlia BESS,72.4,185.5120747070609,13431.074208791211,1.93,51.83016994775629
APPLE_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLE_ESR_RN,0.0,QTEN26,YAPPFR,,,,0.0,99.99916281192486,0.0,1.42,0.0
ARY_BESS_ESR1,0.0,-276.916780125,0.0,0.0,0.0,0.0,0.0,0.0,-276.916780125,ARY_BESS_RN,0.0,QTEN32,YBTCS,,,,0.0,196.67979323770993,0.0,1.42,0.0
AVIL_ESS_ESR1,9317.154,3627.413875,0.0,538.7989096092905,138.18266433202263,226.277501466804,379.8151135531135,1111.304599835846,15338.946663797076,AVIL_ESS_RN,160.0,QSU100,ENGIE,160.0,320.0,Avila BESS,160.0,135.21203296703297,21633.925274725276,2.0,70.90228180513054
AZURE_ESR1,709.3519166666666,-427.18631190833327,0.0,0.0,0.0,124.41847826257394,312.23932410168527,1051.0200329832398,1769.8434401058325,AZURE_RN,77.6,QENEL6,Enel North America,77.2,116.0,Azure Sky Solar,77.2,103.08665447247054,7958.289725274726,1.5,22.238992311187015
BATCAVE_ESR1,2532.824,-2527.58651,0.0,433.51712708216684,89.19372945011338,579.8763089027124,420.24561954852055,0.7382545347222222,1528.8085295182354,BATCAVE_RN,100.5,QSUE74,ENGIE,100.5,110.0,Bat Cave,100.5,126.96099004975125,12759.5795,1.09,11.981652918250445
BAY_CITY_ESR1,419.36400000000003,-411.56948056666664,0.0,67.1,0.0,23.494660720758027,78.313434105017,76.67757013912538,253.38018439823378,BAYC_BESS_RN,9.9,QTEN24,SMT Energy,9.9,9.9,Bay City,9.9,49.629999999999995,491.337,1.0,51.56953056623739
