rank,resource_name,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,settlement_point,hsl,qse,company,capacity_mw,site,eff_capacity_mw,duration_hours,optimization_rate
1,ANOL_ESS_ESR1,1130896.7903333332,2241926.64050675,0.0,0.0,0.0,96163.88875816134,40500.1893008288,381649.05952254473,3891136.568421618,ANOL_ESS_RN,240.0,QESVEM,esVolta,247.1,Anole BESS,247.1,1.94,57.17063651859841
2,CNLY_ESS_ESR1,2101943.2945,651123.390236175,0.0,126641.34360485316,167433.11370122313,117896.98025878708,74031.33176890924,512257.70643074194,3751327.16050069,CNLY_ESS_RN,125.0,QSUE76,YBTCOS,,,125.0,1.96,163.6654908987643
3,BOCO_ESS_ESR1,735756.8413333334,1926968.1259189583,0.0,822.9263155348901,7830.540184676707,230750.41202645295,62629.01755655993,276432.8110505439,3241190.67438606,BOCO_ESS_RN,150.0,QTEN28,Aypa Power,154.0,BoCo BESS,154.0,1.95,91.22921015109729
4,WAL_ESR1,1853841.8299166665,61769.87315916667,0.0,113326.54675024113,93717.49068905548,72422.25237404187,232664.40730521345,784113.7904706347,3211856.19066502,WAL_RN,200.0,QSUE92,Tesla,200.0,Walstrom BESS,200.0,2.0,87.10332414099378
5,AVIL_ESS_ESR1,1784629.246166667,480260.2516314334,0.0,115413.16291157514,40101.84544357531,272231.2859193185,277914.33253733465,216547.1662339917,3187097.290843895,AVIL_ESS_RN,160.0,QSU100,ENGIE,160.0,Avila BESS,160.0,2.0,82.99747704603584
6,CACH_ESS_ESR1,1326909.5846666666,481559.74000647484,0.0,137895.75251453544,51252.22668470873,249964.18343436904,335984.1225535718,380569.36202392256,2964134.9718842492,CACH_ESS_RN,200.0,QSU100,ENGIE,200.0,Cachi BESS,200.0,2.0,77.52170568021171
7,BLVN_SLR_ESR1,2195960.5635,287898.4220125917,0.0,370.5001511649821,293.4043177854674,49839.99845470202,68763.49095865144,320425.32951851835,2923551.7089134133,BLVN_RN,180.0,QSHEL8,National Grid Renewables,188.0,Blevins Storage,188.0,1.91,61.023854147511415
8,SHAMROCK_ESR1,2014642.008,823967.2577611083,0.0,0.0,0.0,0.0,0.0,0.0,2838609.265761108,SHAMROCK_RN,99.3,QFPL40,NextEra Energy Resources,99.3,Shamrock Energy Storage (SLF),99.3,2.62,49.070306210321554
9,TURQBESS_ESR1,1344369.2244999995,645927.5096487416,0.0,2728.180251572792,3822.671827082698,286311.92900681007,151612.00586162764,187201.11707588483,2621972.6381717194,TURQ_BESS1,188.0,QHEI3,YBTCUN,,,188.0,1.95,64.84021685804389
10,BLSUMMIT_ESR2,696213.6413333333,1703740.0029365,0.0,0.0,0.0,0.0,0.0,0.0,2399953.6442698324,BLSMT1_5_A_6,150.0,QFPL48,NextEra Energy Resources,15.0,Blue Summit,15.0,0.42,4599.747563618568
11,PINEFRST_ESR1,105363.88566666668,2208025.924453574,0.0,6563.451151157133,9143.569838719464,16.43840966666667,1024.6874057968032,38252.10482494382,2368390.061750524,PINEFRST_RN,200.0,QTEN21,YPFHYB,,,200.0,1.98,80.87350187661329
