resource_name,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,settlement_point,hsl,qse,company,capacity_mw,energy_mwh,site,eff_capacity_mw,tb_index,theoretical_rev,duration_hours,optimization_rate
ABINDUST_ESR1,0.0,-0.42253505833333344,0.0,0.0,0.0,0.0,0.0,0.0,-0.42253505833333344,ABINDUST_RN,9.9,QMP2M1,YDIST,,,,9.9,24.40438364524003,241.60339808787631,1.42,-0.17488787892778246
ADL_ESR1,1232.772,-257.44398333333345,0.0,0.0,0.0,307.95,125.56,58.104,1466.9420166666664,ADL_RN,60.0,QTEN26,YLIB1S,,,,60.0,37.29146461538461,2237.487876923077,1.07,65.56200959997867
AE_ESR1,510.73299999999995,-386.27502083333326,0.0,0.0,0.0,40.635000000000005,0.0,43.378,208.47097916666667,AE_RN,9.9,QTEN26,TotalEnergies,149.2,244.0,Myrtle Storage U1,149.2,59.56043153227469,8886.416384615382,1.64,2.3459510577017553
ALAMO_ST_ESR1,0.0,19.089223191666665,0.0,0.0,0.0,0.0,0.0,0.0,19.089223191666665,ALAMO_ST_RN,9.9,QSYSO,YALCEC,,,,9.9,54.15666414141414,536.150975,1.32,3.5604193747230743
ALP_BESS_ESR1,0.0,690.6561591666666,0.0,0.0,0.0,1101.19,3.0,9.74,1804.5861591666667,ALP_BESS_RN,100.3,QHEI1,YHABIT,,,,100.3,31.423760593220337,3151.8031874999997,1.26,57.25567403204699
ALVIN_ESR1,-22.853,0.5071669500000091,0.0,33.744,5.802,34.987,5.2170000000000005,0.0,57.404166950000004,ALVIN_RN,7.5,QSUE74,ENGIE,10.0,10.0,Alvin (DGR),10.0,53.412499999999994,534.125,1.0,10.747328237772058
AMAD_ESS_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMAD_ESS_RN,0.0,QGRIE4,YBTAMS,,,,0.0,27.093857576516243,0.0,1.42,0.0
ANCHOR_ESR1,0.0,179.399,0.0,0.0,0.0,0.0,0.0,0.0,179.399,ANCHOR_ALL,0.0,QENE11,Enel North America,35.75,56.5,Anchor BESS 1,35.75,34.069790209790206,1217.995,1.58,14.729042401651895
ANCHOR_ESR2,0.0,322.1610833333333,0.0,0.0,0.0,0.0,0.0,0.0,322.1610833333333,ANCHOR_ALL,0.0,QENE11,Enel North America,35.75,56.5,Anchor BESS 1,35.75,34.069790209790206,1217.995,1.58,26.450115421929755
ANDMDSLR_ESR1,-520.365,1293.0461755916665,0.0,0.0,294.737,91.68400000000001,2.59,4366.028,5527.720175591667,ANDMDSLR_ALL,81.9,QIPLU2,YIPXP,,,,81.9,20.6561600877193,1691.7395111842109,1.53,326.74771376133936
ANDMDSLR_ESR2,-495.99499999999995,1312.8176938416666,0.0,0.0,282.126,65.66199999999999,0.5469999999999999,4257.911999999999,5423.069693841666,ANDMDSLR_ALL,78.1,QIPLU2,YIPXP,,,,78.1,21.802358834827146,1702.764225,1.63,318.4862363338451
ANEM_ESS_ESR1,0.0,-7450.2963961000005,0.0,0.0,0.0,0.0,0.0,0.0,-7450.2963961000005,ANEM_ESS_RN,200.0,QSUE53,Plus Power,205.0,400.0,Anemoi Energy Storage,205.0,31.404207317073165,6437.862499999999,1.95,-115.7262429276798
ANGLETON_ESR1,202.628,-204.56077806666667,0.0,51.37,10.852,30.654,3.675,0.0,94.6182219333333,BRPANGLE_RN,10.0,QSUE74,ENGIE,19.9,19.9,BRP Angleton (DGR),19.9,40.932500000000005,814.5567500000001,1.0,11.615915273347536
ANG_SLR_ESR1,0.0,782.1710362,0.0,0.0,0.0,109.6,0.0,70.35,962.1210362,ANG_ALL,100.0,QTEN26,Apex Clean Energy,103.0,200.0,Angelo Storage,103.0,36.138241224794626,3722.2388461538467,1.94,25.847912398049104
ANOL_ESS_ESR1,5923.701999999999,-11065.177508533334,0.0,0.0,0.0,0.0,0.0,2169.37,-2972.1055085333346,ANOL_ESS_RN,240.0,QESVEM,esVolta,247.1,480.0,Anole BESS,247.1,32.15123743112411,7944.570769230767,1.94,-37.41052342367276
ANTL_ESS_ESR1,3107.1515,-2423.9486916666665,0.0,335.937,460.626,238.34899999999996,89.769,359.982,2167.8658083333335,ANTL_ESS_ES1,70.0,QSU100,ENGIE,72.4,140.0,Antlia BESS,72.4,60.91088397790055,4409.948,1.93,49.15853448460919
APPLE_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLE_ESR_RN,0.0,QTEN26,YAPPFR,,,,0.0,64.1260374288039,0.0,1.42,0.0
ARY_BESS_ESR1,0.0,-73.33816389166667,0.0,0.0,0.0,0.0,0.0,0.0,-73.33816389166667,ARY_BESS_RN,0.0,QTEN32,YBTCS,,,,0.0,37.701814483319765,0.0,1.42,0.0
AVIL_ESS_ESR1,7232.468666666666,-3087.646452033333,0.0,1365.917,487.94800000000004,83.378,244.58499999999998,80.256,6406.906214633334,AVIL_ESS_RN,160.0,QSU100,ENGIE,160.0,320.0,Avila BESS,160.0,70.0825,11213.199999999999,2.0,57.13717952621317
AZURE_ESR1,-0.948,7.777166966666666,0.0,0.0,0.0,0.0,0.0,6.23,13.059166966666666,AZURE_RN,77.6,QENEL6,Enel North America,77.2,116.0,Azure Sky Solar,77.2,23.113472499003592,1784.3600769230773,1.5,0.731868367576666
BATCAVE_ESR1,1159.4879999999998,-2029.9171874999997,0.0,81.64200000000001,16.204,478.164,170.666,0.0,-123.75318749999991,BATCAVE_RN,100.5,QSUE74,ENGIE,100.5,110.0,Bat Cave,100.5,34.66414753157291,3483.746826923077,1.09,-3.552301405590414
BAY_CITY_ESR1,0.0,-249.9170578,0.0,0.0,0.0,0.0,0.0,0.0,-249.9170578,BAYC_BESS_RN,9.9,QTEN24,SMT Energy,9.9,9.9,Bay City,9.9,44.16,437.18399999999997,1.0,-57.16518852474016
