resource_name,settlement_point,hsl,qse,company,capacity_mw,site,eff_capacity_mw,duration_hours,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,rank,optimization_rate
RRANCHES_ESR2,RRANCHES_ALL,150.0,QSUE51,Plus Power,150.0,Rodeo Ranch Energy Storage U1,150.0,2.0,0.0,1538086.9834969167,0.0,49800.60909265121,3468.2650296203683,719.3248175408467,31514.39124396123,40154.2328083249,1663743.806489015,23,49.71837987431474
TBWF_ESS_ESR1,TBWF_ES_BES1,150.0,QTEN29,Spearmint Energy,150.0,Timberwolf Bess,150.0,2.0,0.0,1469372.445006533,0.0,13568.27942336061,15037.388412583301,81736.14396893824,27191.28627602259,50955.80744264758,1657861.3505300854,24,44.799313402857095
BKSL_ESS_ESR1,BKSL_RN,100.0,QESVEM,esVolta,103.0,Burksol BESS,103.0,1.94,430108.93208333326,1030734.6927714832,0.0,2852.7637466280084,6245.261884254389,47135.90207165559,13079.60029520277,116879.10315712092,1647036.2560096781,25,105.98171242678016
HMNG_ESS_ESR1,HMNG_ESS_RN,100.0,QMEA8,Key Capture Energy,103.8,Hummingbird Storage,103.8,2.19,83964.17716666665,1038369.3238394833,0.0,496.6876606744249,2014.6344375827275,41461.40027321438,131679.10941208672,295892.2951121442,1593877.6279018524,26,91.31164866685538
SWOOSEII_ESR1,SWOOSEII_RN,100.0,QMEA5,Jupiter Power,101.0,Swoose 2,101.0,2.03,345257.2903333333,626177.77449545,0.0,530.6317999325122,1883.8537987947213,73740.82410023885,134434.40954436513,301313.59387533314,1483338.3779474476,27,38.15211895725341
WFTANK_ESR1,WFTANK_ESS1,150.0,QTEN28,Aypa Power,155.0,Wolf Tank,155.0,1.12,107358.78058333334,491305.21425915824,0.0,9687.125833367341,8483.512500614765,645985.9298964078,86294.98543260273,109764.9605974985,1458880.5091029825,28,100.4508564249945
PHO_ESR2,PHO_ALL,150.0,QENE15,Enel North America,150.0,Photon BESS 1,150.0,1.55,300219.4645,615040.7198658916,0.0,241.8605630946737,1652.524683210503,115334.37327604697,90469.95544861583,319423.71460897307,1442382.6129458328,29,86.51672222091679
JAG_SLR_ESR2,JAG_SLR_RN,150.0,QMITS2,SER Capital Partners,78.55,Jaguar BESS 1,78.55,2.16,358575.26249999995,1076008.645719025,0.0,0.0001435646661238,2.698944216166859e-05,0.0001414922684147,1311.2852562434368,2286.687053843709,1438181.8808411586,30,124.01586006163684
PHO_ESR1,PHO_ALL,150.0,QENE15,Enel North America,150.0,Photon BESS 1,150.0,1.55,438728.2614999999,442631.06425504177,0.0,10270.504208569577,11349.588439044028,111850.01496066824,84335.54666837325,322136.807671616,1421301.787703313,31,83.72071525492686
RRC_WIND_ESR2,RRC_WIND_ALL,75.0,QFPL35,YNEXTE,,,75.0,2.98,608496.5096666666,807401.8907032416,0.0,0.0,0.0,0.0,0.0,0.0,1415898.4003699084,32,95.1951369997022
