resource_name,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,settlement_point,hsl,qse,company,capacity_mw,energy_mwh,site,eff_capacity_mw,tb_index,theoretical_rev,duration_hours,optimization_rate
ABINDUST_ESR1,0.0,-4.072485975,0.0,0.0,0.0,0.0,0.0,0.0,-4.072485975,ABINDUST_RN,9.9,QMP2M1,YDIST,,,,9.9,3.277776161616156,32.449983999999944,0.14,-12.550040009264743
ADL_ESR1,1395.0,2746.789983333333,0.0,574.8,0.0,417.0,0.0,44.496,5178.085983333333,ADL_RN,60.0,QTEN26,YLIB1S,,,,60.0,114.33123250000001,6859.873950000001,0.95,75.48368994933693
AE_ESR1,354.612,-121.80295416666665,0.0,0.0,0.0,120.302,21.055,207.943,582.1090458333334,AE_RN,9.9,QTEN26,TotalEnergies,149.2,244.0,Myrtle Storage U1,149.2,61.94026809651476,9241.488000000001,1.64,6.298867085401542
ALAMO_ST_ESR1,0.0,145.20065419166664,0.0,0.0,0.0,0.0,0.0,0.0,145.20065419166664,ALAMO_ST_RN,0.0,QSYSO,YALCEC,,,,0.0,24.788450909090912,0.0,1.33,0.0
ALP_BESS_ESR1,0.0,307.0013583333333,0.0,0.0,0.0,442.672,22.414,249.029,1021.1163583333333,ALP_BESS_RN,100.3,QHEI1,YHABIT,,,,100.3,25.60786540378863,2568.4688999999994,1.43,39.75583890983977
ALVIN_ESR1,506.8190833333333,-694.5054798166667,0.0,42.863,11.534,29.819,5.988,9.315,-88.1673964833334,ALVIN_RN,7.4,QSUE74,ENGIE,10.0,10.0,Alvin (DGR),10.0,116.58000000000001,1165.8000000000002,1.0,-7.562823510321959
AMAD_ESS_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMAD_ESS_RN,0.0,QGRIE4,YBTAMS,,,,0.0,88.57202321871176,0.0,1.42,0.0
ANCHOR_ESR1,244.787,-28.192333333333348,0.0,0.0,0.0,0.0,0.0,92.85000000000001,309.44466666666665,ANCHOR_ALL,35.2,QENE11,Enel North America,35.75,56.5,Anchor BESS 1,35.75,70.96352564102564,2536.9460416666666,1.58,12.197526537197241
ANCHOR_ESR2,78.29499999999999,249.41374999999996,0.0,0.0,0.0,0.0,0.0,182.55,510.25874999999996,ANCHOR_ALL,36.3,QENE11,Enel North America,35.75,56.5,Anchor BESS 1,35.75,70.96352564102564,2536.9460416666666,1.58,20.113110078793063
ANDMDSLR_ESR1,221.728,3564.04637395,0.0,0.0,375.78000000000003,209.626,749.0520000000001,2481.465,7601.697373950001,ANDMDSLR_ALL,81.9,QIPLU2,YIPLU2,,,,81.9,45.65941965201465,3739.5064695,1.54,203.28076541518604
