resource_name,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,settlement_point,hsl,qse,company,capacity_mw,energy_mwh,site,eff_capacity_mw,tb_index,theoretical_rev,duration_hours,optimization_rate
ABINDUST_ESR1,0.0,1040.560537975,0.0,0.0,0.0,0.0,0.0,0.0,1040.560537975,ABINDUST_RN,9.9,QMP2M1,YDIST,,,,9.9,65.05940909090909,644.0881499999999,1.83,161.5556097368039
ADL_ESR1,1294.3125,-216.4541916666669,0.0,0.0,0.0,0.0,0.0,0.0,1077.858308333333,ADL_RN,60.0,QTEN26,YLIB1S,,,,60.0,41.26548333333333,2475.9289999999996,0.91,43.53349019028144
AE_ESR1,6.209,319.50423249999994,0.0,0.0,0.0,0.0,0.0,0.0,325.71323249999995,AE_RN,9.9,QTEN26,TotalEnergies,149.2,244.0,Myrtle Storage U1,149.2,59.25608579088471,8841.007999999998,1.64,3.68411873962788
ALAMO_ST_ESR1,0.0,-764.6753253333334,0.0,0.0,0.0,0.0,0.0,0.0,-764.6753253333334,ALAMO_ST_RN,9.9,QSYSO,YALCEC,,,,9.9,57.475068888888885,569.0031819999999,1.3,-134.3885850770749
ALP_BESS_ESR1,226.171,-5954.1344383333335,0.0,0.0,0.0,0.0,0.0,0.0,-5727.963438333333,ALP_BESS_RN,100.3,QHEI1,YHABIT,,,,100.3,49.95922871385844,5010.910640000001,1.52,-114.30983008576125
ALVIN_ESR1,0.0,126.02195606666666,0.0,0.0,0.0,0.0,0.0,0.0,126.02195606666666,ALVIN_RN,7.5,QSUE74,ENGIE,10.0,10.0,Alvin (DGR),10.0,44.010000000000005,440.1,1.0,28.634845732030595
AMAD_ESS_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMAD_ESS_RN,0.0,QGRIE4,YBTAMS,,,,0.0,61.778921295783015,0.0,1.42,0.0
ANCHOR_ESR1,63.01400000000001,613.5164166666666,0.0,0.0,0.0,0.0,0.0,0.0,676.5304166666666,ANCHOR_ALL,35.2,QENE11,Enel North America,35.75,56.5,Anchor BESS 1,35.75,67.37657342657343,2408.7125,1.58,28.086806402452208
ANCHOR_ESR2,11.391000000000002,3697.0102499999994,0.0,0.0,0.0,0.0,0.0,0.0,3708.4012499999994,ANCHOR_ALL,36.3,QENE11,Enel North America,35.75,56.5,Anchor BESS 1,35.75,67.37657342657343,2408.7125,1.58,153.95781978961787
ANDMDSLR_ESR1,0.0,3887.567516366666,0.0,0.0,0.0,0.0,0.0,0.0,3887.567516366666,ANDMDSLR_ALL,81.9,QIPLU2,YIPXP,,,,81.9,68.691282002442,5625.815995999999,1.54,69.10228701277748
ANDMDSLR_ESR2,0.0,3630.1665210999995,0.0,0.0,0.0,0.0,0.0,0.0,3630.1665210999995,ANDMDSLR_ALL,78.1,QIPLU2,YIPXP,,,,78.1,69.78056128040973,5449.861835999999,1.57,66.61024866943067
ANEM_ESS_ESR1,0.0,-887.722729449999,0.0,0.0,0.0,0.0,0.0,0.0,-887.722729449999,ANEM_ESS_RN,200.0,QSUE53,Plus Power,205.0,400.0,Anemoi Energy Storage,205.0,70.0,14350.0,1.95,-6.186221111149819
ANGLETON_ESR1,0.0,-16.701150599999977,0.0,0.0,0.0,0.0,0.0,0.0,-16.701150599999977,BRPANGLE_RN,10.0,QSUE74,ENGIE,19.9,19.9,BRP Angleton (DGR),19.9,43.889999999999986,873.4109999999997,1.0,-1.9121754363066166
ANG_SLR_ESR1,0.0,889.8357325749997,0.0,0.0,0.0,0.0,0.0,0.0,889.8357325749997,ANG_ALL,100.0,QTEN26,Apex Clean Energy,103.0,200.0,Angelo Storage,103.0,49.94213592233008,5144.039999999998,1.94,17.298382838683217
ANOL_ESS_ESR1,1343.30625,14667.416722441663,0.0,0.0,0.0,0.0,0.0,0.0,16010.722972441663,ANOL_ESS_RN,240.0,QESVEM,esVolta,247.1,480.0,Anole BESS,247.1,74.0884055038446,18307.245,1.94,87.45566562550326
ANTL_ESS_ESR1,7808.364249999997,-8377.796591666665,0.0,0.0,0.0,0.0,0.0,0.0,-569.4323416666684,ANTL_ESS_ES1,70.0,QSU100,ENGIE,72.4,140.0,Antlia BESS,72.4,52.78265193370165,3821.464,1.93,-14.900895093259244
APPLE_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLE_ESR_RN,0.0,QTEN26,YAPPFR,,,,0.0,47.474338249802216,0.0,1.42,0.0
ARY_BESS_ESR1,0.0,-118.56245961666666,0.0,0.0,0.0,0.0,0.0,0.0,-118.56245961666666,ARY_BESS_RN,0.0,QTEN32,YBTCS,,,,0.0,56.33122664927831,0.0,1.42,0.0
AVIL_ESS_ESR1,8521.748666666666,-7176.854983333332,0.0,0.0,0.0,0.0,0.0,0.0,1344.8936833333346,AVIL_ESS_RN,160.0,QSU100,ENGIE,160.0,320.0,Avila BESS,160.0,68.78999999999999,11006.399999999998,2.0,12.219196861220153
AZURE_ESR1,4.835,2983.062024641667,0.0,0.0,0.0,0.0,0.0,0.0,2987.897024641667,AZURE_RN,77.6,QENEL6,Enel North America,77.2,116.0,Azure Sky Solar,77.2,66.9780310880829,5170.704,1.5,57.78511058922861
BATCAVE_ESR1,0.0,-1952.1584183333325,0.0,0.0,0.0,0.0,0.0,0.0,-1952.1584183333325,BATCAVE_RN,100.5,QSUE74,ENGIE,100.5,110.0,Bat Cave,100.5,37.81542288557213,3800.4499999999994,1.09,-51.36650708030188
BAY_CITY_ESR1,0.0,334.48315153333334,0.0,0.0,0.0,0.0,0.0,0.0,334.48315153333334,BAYC_BESS_RN,9.9,QTEN24,SMT Energy,9.9,9.9,Bay City,9.9,48.17,476.88300000000004,1.0,70.13945800821865
