resource_name,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,settlement_point,hsl,qse,company,capacity_mw,energy_mwh,site,eff_capacity_mw,tb_index,theoretical_rev,duration_hours,optimization_rate
ABINDUST_ESR1,0.0,-235.22975658333334,0.0,0.0,0.0,0.0,0.0,0.0,-235.22975658333334,ABINDUST_RN,9.9,QMP2M1,YDIST,,,,9.9,55.02104545454545,544.70835,0.88,-43.18453289422373
ADL_ESR1,1309.0,-639.3714583333332,0.0,504.16756674305554,0.0,832.4342778125,419.2460085555556,176.8113015486111,2602.2876963263893,ADL_RN,60.0,QTEN26,YLIB1S,,,,60.0,46.74456666666666,2804.674,0.84,92.78396335283135
AE_ESR1,78.916,82.17598416666664,0.0,0.0,0.0,6.547526270833333,220.27450216666668,248.31659542361112,636.2306080277777,AE_RN,9.9,QTEN26,TotalEnergies,149.2,244.0,Myrtle Storage U1,149.2,82.27357083934834,12275.21676923077,1.64,5.183049880003441
ALAMO_ST_ESR1,0.0,1188.464306,0.0,0.3516250000000001,0.0,0.0,0.0,22.298545208333337,1211.1144762083334,ALAMO_ST_RN,9.9,QSYSO,YALCEC,,,,9.9,224.07655555555556,2218.3579,1.84,54.595089286915034
ALP_BESS_ESR1,11351.201,-6294.700270833333,0.0,12.329467298611112,53.58194444444443,1311.5126563541667,1945.9349617638889,1299.4533115694444,9679.313070597222,ALP_BESS_RN,100.3,QHEI1,YHABIT,,,,100.3,150.02559105184451,15047.566782500006,1.57,64.32477230706863
ALVIN_ESR1,173.53100000000003,52.493266191666656,0.0,163.66701675694443,86.01153940277777,19.425704895833334,125.94647758333333,9.491875680555555,630.5668805111112,ALVIN_RN,7.5,QSUE74,ENGIE,10.0,10.0,Alvin (DGR),10.0,55.8975,558.9749999999999,1.0,112.80770705507604
AMAD_ESS_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMAD_ESS_RN,0.0,QGRIE4,YBTAMS,,,,0.0,81.30350832121405,0.0,1.42,0.0
ANCHOR_ESR1,0.0,-17.748166666666588,0.0,0.0,0.0,0.0,0.0,0.0,-17.748166666666588,ANCHOR_ALL,0.0,QENE11,Enel North America,35.75,56.5,Anchor BESS 1,35.75,90.62213286713288,3239.74125,1.58,-0.5478266718574081
ANCHOR_ESR2,0.0,-700.9050833333333,0.0,0.0,0.0,0.0,0.0,0.0,-700.9050833333333,ANCHOR_ALL,0.0,QENE11,Enel North America,35.75,56.5,Anchor BESS 1,35.75,90.62213286713288,3239.74125,1.58,-21.634600705637627
ANDMDSLR_ESR1,-348.887,7162.608248624999,0.0,422.5376611666667,812.9705247569445,123.2731291875,2408.481955118056,3991.886510611111,14572.871029465277,ANDMDSLR_ALL,81.9,QIPLU2,YIPXP,,,,81.9,110.08818687752417,9016.22250526923,1.78,161.62945203435973
ANDMDSLR_ESR2,-324.093,7013.666710091667,0.0,393.51904986805556,795.4940806458334,116.32225694444443,2253.6117649444445,3847.6843838333334,14096.205246327778,ANDMDSLR_ALL,78.1,QIPLU2,YIPXP,,,,78.1,112.4617839665616,8783.26532778846,1.82,160.48934787077715
ANEM_ESS_ESR1,0.0,11715.438380683334,0.0,29.35439183333333,237.20167865972223,8.859135437499999,424.00112627777776,2846.349166090278,15261.203878981943,ANEM_ESS_RN,200.0,QSUE53,Plus Power,205.0,400.0,Anemoi Energy Storage,205.0,120.55859756097561,24714.5125,1.95,61.74996929023764
ANGLETON_ESR1,237.81599999999997,20.435159758333334,0.0,145.941010625,77.18297884722222,18.017156902777778,142.34944683333333,0.0,641.7417529666666,BRPANGLE_RN,10.0,QSUE74,ENGIE,19.9,19.9,BRP Angleton (DGR),19.9,55.07000000000001,1095.893,1.0,58.55879661305132
ANG_SLR_ESR1,0.0,3360.631729025,0.0,0.0,0.0,0.0,571.1627652986111,3933.0690808750005,7864.863575198611,ANG_ALL,100.0,QTEN26,Apex Clean Energy,103.0,200.0,Angelo Storage,103.0,167.69865384615386,17272.961346153847,1.94,45.53280365529141
ANOL_ESS_ESR1,17519.862,-4979.006754833334,0.0,0.0,0.0,274.00685886805553,861.8631500277779,6044.125690722222,19720.850944784725,ANOL_ESS_RN,240.0,QESVEM,esVolta,247.1,480.0,Anole BESS,247.1,104.93528959001338,25929.510057692303,1.94,76.05562504230309
ANTL_ESS_ESR1,4344.044000000001,5023.115908333333,0.0,467.4644860625,395.86089188194444,116.03352150694445,420.7420662777778,574.0019511041667,11341.262825166668,ANTL_ESS_ES1,70.0,QSU100,ENGIE,72.4,140.0,Antlia BESS,72.4,146.83013812154695,10630.502,1.93,106.68605137524708
APPLE_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLE_ESR_RN,0.0,QTEN26,YAPPFR,,,,0.0,188.46382098703955,0.0,1.42,0.0
ARY_BESS_ESR1,0.0,-251.8865154,0.0,0.0,0.0,0.0,0.0,0.0,-251.8865154,ARY_BESS_RN,0.0,QTEN32,YBTCS,,,,0.0,576.4463395341976,0.0,1.42,0.0
AVIL_ESS_ESR1,16676.813416666664,4413.759157608333,0.0,1582.2348263125,497.1214843958333,127.98005134027778,858.9878894652777,1204.1859884027779,25361.08281419166,AVIL_ESS_RN,160.0,QSU100,ENGIE,160.0,320.0,Avila BESS,160.0,241.25500000000002,38600.8,2.0,65.7009254061876
AZURE_ESR1,0.0,1889.5949521833334,0.0,0.0,0.0,275.8895989097222,1040.7600095416667,2185.327286548611,5391.571847183333,AZURE_RN,77.6,QENEL6,Enel North America,77.2,116.0,Azure Sky Solar,77.2,88.43397668393783,6827.103,1.5,78.97305558716975
