rank,resource_name,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,settlement_point,hsl,qse,company,capacity_mw,site,eff_capacity_mw,duration_hours,optimization_rate
121,DKNS_ESS_ESR4,213379.4835,-13524.17726809167,0.0,58373.514261993594,14770.763960303451,105712.62262507822,45237.52352581058,26428.003153059188,450377.7337581534,DKNS_ESS_RN,50.0,QSUE74,ENGIE,52.475,Dickens BESS U1,52.475,1.0,79.62603388619615
122,BCK_ESR2,0.0,436885.0117739083,0.0,0.0,0.0,0.0,0.0,0.0,436885.0117739083,BCK_RN,126.5,QHEI5,YOL300,,,126.5,2.17,47.46943042184876
123,BCK_ESR1,0.0,432361.66270814167,0.0,0.0,0.0,0.0,0.0,0.0,432361.66270814167,BCK_RN,123.5,QHEI5,YOL300,,,123.5,2.38,49.221060299093836
124,NOBLESLR_ESR1,320323.96266666666,-11883.315018200003,0.0,0.0004483279402447,0.000163659458146,57253.76417582928,26521.040396417447,33519.68490781275,425735.1377405136,NOBLESLR_ALL,62.5,QNGREN,National Grid Renewables,62.5,Noble 1,62.5,1.0,51.92486515131769
125,GAMBIT_ESR1,0.0,388152.94041128334,0.0,15531.633280042517,10684.71920813015,3336.7436627206826,1876.4565305700303,1046.3839652249071,420628.87705797155,GAMBIT_RN,100.0,QSUE23,On.Energy,109.9,Angleton BESS,109.9,1.68,25.578580329461943
126,MIDP_SLR_ESR1,0.0,417605.2504826416,0.0,0.0,0.0,0.0,0.0,0.0,417605.2504826416,MIDP_SLR_RN,50.9,QTEN26,YMIDPO,,,50.9,1.96,37.3666754092954
127,LOWR_ESS_ESR1,16641.439583333333,332345.9199124166,0.0,10908.646886523886,171.47958090176857,3405.3738575745792,17287.97415807255,33205.08911488382,413965.92309370654,LOWR_ESS_RN,60.0,QEDI10,Ormat,60.0,Lower Rio BESS,60.0,2.0,53.13496407305822
128,DCSES_ESR4,0.0,233567.9219833333,0.0,0.0142144485962574,1740.0035098243093,96701.8555818268,11824.263922718112,66109.11372794169,409943.17294009286,DC2SES_ALL,63.5,QLUMN,Vistra corp,65.75,Decordova 1,65.75,1.0,42.068365397145534
129,ANCHOR_ESR2,106465.63124999999,129105.68966666664,0.0,120.64220172089588,312.2513906012715,77085.61730384153,31622.256936762067,54239.760006833465,398951.84875642584,ANCHOR_ALL,36.3,QENE11,Enel North America,35.75,Anchor BESS 1,35.75,1.58,24.264845330390777
130,NOBLESLR_ESR2,267431.17275,10338.886167074983,0.0,0.0004483279402447,0.000163659458146,58140.324314953774,28732.286428211988,32691.937809214018,397334.6080814422,NOBLESLR_ALL,62.5,QNGREN,National Grid Renewables,62.5,Noble 1,62.5,1.0,57.846246697643906
131,NF_BRP_ESR1,-21429.789749999916,-29909.947195949993,0.0,38808.47873597166,15112.720461618168,254932.8713443627,115305.60718223076,13855.890089772849,386675.8308680061,NF_BRP_RN,100.5,QSUE74,ENGIE,100.0,North Fork,100.0,1.1,17.940203434530517
132,BYRDR_ES_ESR1,159040.45500000002,64074.66926666667,0.0,851.2560423295591,882.0368423540073,97310.89852030268,36211.179310546235,15401.174361605166,373771.6693438043,BYRDR_ES_ALL,50.0,QHABIT,GlidePath,50.0,Byrd Ranch,50.0,1.0,74.1147374379062
133,SUNVASLR_ESR1,64827.73066666666,76109.28580815834,0.0,34748.59027482896,17572.948327839593,96516.5048074761,66106.11164705145,0.0,355881.1715320211,SUNVASLR_ALL,53.0,QSUE38,ENGIE,50.7,Sun Valley Bess 1,50.7,0.99,53.78199148798172
