rank,resource_name,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,settlement_point,hsl,qse,company,capacity_mw,site,eff_capacity_mw,duration_hours,optimization_rate
1,ANOL_ESS_ESR1,1130896.7903333332,2250293.976690133,0.0,0.0,0.0,96163.88875816134,40500.189300828795,381649.05952254473,3899503.904605001,ANOL_ESS_RN,240.0,QESVEM,esVolta,247.1,Anole BESS,247.1,1.94,56.86456235405165
2,CNLY_ESS_ESR1,2112633.2945,639217.3793927667,0.0,126306.39560485317,167292.70570122314,117885.67825878708,73811.45276890924,510389.96743074193,3747536.8736572815,CNLY_ESS_RN,125.0,QSUE76,YBTCOS,,,125.0,1.96,163.7358796971233
3,BOCO_ESS_ESR1,734169.4313333334,1924585.547776725,0.0,822.9263155348901,7830.540184676707,230750.41202645298,62565.26755655993,275631.8910505439,3236356.0162438266,BOCO_ESS_RN,150.0,QTEN28,Aypa Power,154.0,BoCo BESS,154.0,1.95,91.2492758202095
4,WAL_ESR1,1871128.2299166666,43759.40095646668,0.0,112798.69275024111,93562.92168905548,72404.63537404187,232319.76030521342,781067.5604706347,3207041.20146232,WAL_RN,200.0,QSUE92,Tesla,200.0,Walstrom BESS,200.0,2.0,87.14215494287255
5,AVIL_ESS_ESR1,1782679.2001666669,482916.61448344996,0.0,114945.65591157514,40026.55244357531,272125.9309193185,277909.51853733463,216422.28523399174,3187025.757695912,AVIL_ESS_RN,160.0,QSU100,ENGIE,160.0,Avila BESS,160.0,2.0,82.99931618683702
6,CACH_ESS_ESR1,1326246.3506666666,482148.9298844082,0.0,137877.25251453544,50960.89368470873,249761.84543436905,335945.37155357184,380335.66202392254,2963276.3057621825,CACH_ESS_RN,200.0,QSU100,ENGIE,200.0,Cachi BESS,200.0,2.0,77.54109994326376
7,BLVN_SLR_ESR1,2193007.6175,290973.410259825,0.0,370.5001511649821,293.4043177854674,49817.49845470202,68707.84695865144,318461.38951851835,2921631.6671606465,BLVN_RN,180.0,QSHEL8,National Grid Renewables,188.0,Blevins Storage,188.0,1.91,61.0467289108295
8,SHAMROCK_ESR1,2013534.5759999997,832064.0364177583,0.0,0.0,0.0,0.0,0.0,0.0,2845598.612417758,SHAMROCK_RN,99.3,QFPL40,NextEra Energy Resources,99.3,Shamrock Energy Storage (SLF),99.3,2.62,48.596431418517575
9,TURQBESS_ESR1,1344231.8424999996,643457.1933307499,0.0,2728.180251572792,3822.6718270826987,286046.95900681015,151479.51686162764,186682.82907588483,2618449.192853728,TURQ_BESS1,188.0,QHEI3,YBTCUN,,,188.0,1.95,64.86268339021674
10,BLSUMMIT_ESR2,694708.6413333333,1702779.7250712248,0.0,0.0,0.0,0.0,0.0,0.0,2397488.3664045576,BLSMT1_5_A_6,150.0,QFPL48,NextEra Energy Resources,15.0,Blue Summit,15.0,0.42,4602.706922633251
11,PINEFRST_ESR1,104458.54066666667,2206064.7156955325,0.0,6563.451151157133,8847.069838719464,16.43840966666667,1024.6874057968032,38090.10482494382,2365065.0079924827,PINEFRST_RN,200.0,QTEN21,YPFHYB,,,200.0,1.98,80.9278374329663
12,CHIL_SLR_ESR1,1709947.1742499997,-256687.0999757916,0.0,155631.94681707595,66584.21338182053,330290.2674555683,244729.2101605282,108449.97558253621,2358945.6876717373,CHIL_SLR,150.0,QSUE88,YSUEZ,,,150.0,2.25,40.5373162798399
13,JAG_SLR_ESR1,688527.4215833333,1057567.8412792417,0.0,48485.56813169476,86632.06885885543,12444.12850531317,39244.34485941539,377848.4669080187,2310749.8401258723,JAG_SLR_RN,150.0,QLCRA,SER Capital Partners,78.55,Jaguar BESS 1,78.55,2.16,170.64226327547306
14,DSWL_ESS_ESR1,1794328.0389999999,239625.98113710005,0.0,19034.11917557061,26118.89663076637,43038.62192716773,39207.706069686465,146208.89300201222,2307562.2569423034,DSWL_BES1,150.0,QPHIL3,esVolta,150.0,Desert Willow BESS,150.0,2.0,88.01492390732841
15,ANEM_ESS_ESR1,0.0,1612692.9257063416,0.0,337758.41923043045,21060.44155498108,130121.49707747035,25153.718106660606,136218.83171570243,2263005.833391587,ANEM_ESS_RN,200.0,QSUE53,Plus Power,205.0,Anemoi Energy Storage,205.0,1.95,58.70327468359885
16,RRANCHES_ESR1,5387.799999999999,2006833.3502291,0.0,88679.91127264164,10619.597878974713,1902.080823038801,37184.003496032616,97957.70146485257,2248564.44516464,RRANCHES_ALL,150.0,QSUE51,Plus Power,150.0,Rodeo Ranch Energy Storage U1,150.0,2.0,52.96297291170393
17,GIGA_ESS_ESR1,1384405.6307499998,83898.84243548334,0.0,59244.24835118356,58301.17659754772,107879.76209085836,183756.04704859026,343090.81321584224,2220576.5204895055,GIGA_ESS_RN,125.0,QSUE55,Tesla,128.0,Giga Texas Energy Storage,128.0,1.95,72.76983374215533
18,ANDMDSLR_ESR2,1605196.9940833335,53360.88224162505,0.0,20255.13662719474,41080.32452079245,65194.96688493953,45929.00725655742,337506.93830314,2168524.249917582,ANDMDSLR_ALL,78.1,QIPLU2,YIPLU2,,,78.1,2.04,112.45542741914115
19,EBNY_ESS_ESR1,0.0,1945613.2851059,0.0,89178.67629839224,21123.21510890357,3533.8405552960435,15627.801960487337,77857.39987979874,2152934.2189087784,EBNY_ESS_RN,200.0,QSUE52,Plus Power,203.5,Ebony Energy Storage,203.5,1.97,57.15811468858407
20,LON_ESR1,864146.3756666668,398974.0080694499,0.0,180689.80078069284,111517.47939716325,78649.47623729608,147518.45688042612,338146.3055581962,2119641.902589891,LON_RN1,174.0,QTEN26,Tokyo Gas America,174.0,Longbow BESS,174.0,2.0,94.76900957405957
21,TBWF_ESS_ESR1,0.0,1784435.8439077747,0.0,21709.836401886954,18792.491703488435,83743.72403252896,36026.295458486034,120849.93324704803,2065558.124751213,TBWF_ES_BES1,150.0,QTEN29,Spearmint Energy,150.0,Timberwolf Bess,150.0,2.0,40.03634893103206
22,RRANCHES_ESR2,0.0,1839995.1328366334,0.0,62911.7116529698,10535.167126480454,1496.778281664655,39629.59504976538,98382.32222564075,2052950.7071731545,RRANCHES_ALL,150.0,QSUE51,Plus Power,150.0,Rodeo Ranch Energy Storage U1,150.0,2.0,47.08464510130244
23,CARN_ESS_ESR1,992267.8514166664,39118.06073566667,0.0,211073.72016764985,75182.45084825739,298147.2355196963,393712.66438876686,32788.61208302009,2042290.595159724,CARN_ESS_RN,150.0,QSU100,ENGIE,150.0,Carina BESS,150.0,2.0,65.37393871363344
24,HYDR_ESS_ESR1,1331944.7659999998,-110976.0408417,0.0,99066.49165807615,28502.452262303756,325236.61698764126,249467.17875511394,106674.7341936508,2029916.1990150865,HYDR_ESS_RN,200.0,QSUE74,ENGIE,200.8,Hydra BESS,200.8,1.0,58.584793057706214
25,BKSL_ESS_ESR1,470045.8565833333,1230602.8685513914,0.0,2852.7637466280084,6245.261884254389,49578.35424165559,16704.420359057123,172325.3929954085,1948354.9183617285,BKSL_RN,100.0,QESVEM,esVolta,103.0,Burksol BESS,103.0,1.94,74.57488621134797
26,HMNG_ESS_ESR1,97664.66991666664,1236878.6817493082,0.0,512.3965048410915,2369.131416048005,48754.3033026655,147690.69899805996,351008.63769266044,1884878.5195802497,HMNG_ESS_RN,100.0,QMEA8,Key Capture Energy,103.8,Hummingbird Storage,103.8,2.19,45.54704530223256
27,JAG_SLR_ESR2,-20807.825000000004,1788486.8315475166,0.0,0.0001435646661238,2.698944216166859e-05,0.0001414922684147,1311.2852562434368,2296.8183442117643,1771287.1104600183,JAG_SLR_RN,150.0,QMITS2,SER Capital Partners,78.55,Jaguar BESS 1,78.55,2.16,39.75665830209081
28,SGAL_BES_ESR2,0.0,1498688.579002808,0.0,6876.364863551001,7493.359195089499,60084.50416737831,35993.658777214514,150581.88798379534,1759718.353989837,SG_BES_BESS1,100.0,QJPEM2,Jupiter Power,103.5,St. Gall 2 Energy Storage,103.5,1.95,64.18180850848591
29,PHO_ESR2,398669.55058333336,707562.6730376916,0.0,241.8605630946737,1652.524683210503,130086.49285875645,106220.68193553992,375936.36370940134,1720370.147371028,PHO_ALL,150.0,QENE15,Enel North America,150.0,Photon BESS 1,150.0,1.55,63.894081126048974
30,RRC_WIND_ESR2,815516.6413333332,897136.0347501416,0.0,0.0,0.0,0.0,0.0,0.0,1712652.6760834751,RRC_WIND_ALL,75.0,QFPL35,YNEXTE,,,75.0,2.98,43.69059823896063
31,JAR_ESR2,851025.6123333332,291141.0971618833,0.0,1147.6940800531572,1428.4768824836588,302138.30249683914,110797.15793784994,153468.23668971471,1711146.5775821572,JAR_RN,156.0,QHEI1,SMT Energy,154.2,Jarvis BESS U1,154.2,1.43,79.1812480284196
32,PHO_ESR1,542806.01475,534595.7634729585,0.0,10270.504208569577,11349.588439044028,124756.34087136353,105563.94068464551,381099.5065505891,1710441.6589771702,PHO_ALL,150.0,QENE15,Enel North America,150.0,Photon BESS 1,150.0,1.55,61.59679475625558
33,SWOOSEII_ESR1,372404.76983333327,753756.3311516499,0.0,530.6317999325122,1897.2289748780545,80265.48344725478,147479.7541372787,349912.5941438909,1706246.7934882182,SWOOSEII_RN,100.0,QMEA5,Jupiter Power,101.0,Swoose 2,101.0,2.03,47.686131166893624
34,BLACKSPR_ESR1,1129528.0837499995,502778.3412492332,0.0,11113.458305593702,4498.9162918617485,0.0,5239.022495233971,38709.08508077613,1691866.9071726988,BLACKSPR_RN,120.0,QBROOK,YBLKSP,,,120.0,2.32,55.25489670308411
35,PALE_ESS_ESR1,731634.9763333333,80391.11267369166,0.0,102888.22165652734,56367.36315045442,410062.7646128207,181063.2095298687,113506.91568470642,1675914.5636414024,PALE_ESS_EN,200.0,QSUE74,ENGIE,200.8,Paleo BESS,200.8,1.06,61.03211790153249
36,WFTANK_ESR1,126797.11825,596036.8524613249,0.0,9687.12583336734,10495.703231824333,664843.16553355,138992.48651757458,124190.05741432382,1671042.5092419647,WFTANK_ESS1,150.0,QTEN28,Aypa Power,155.0,Wolf Tank,155.0,1.12,54.893687107326855
37,SGAL_BES_ESR1,0.0,1413849.1791631663,0.0,6661.331686038172,8654.85432143972,60232.20740323092,35154.93703490317,143575.89394949703,1668128.4035582761,SG_BES_BESS1,98.1,QJPEM,Jupiter Power,103.5,St. Gall 2 Energy Storage,103.5,1.95,56.29403623999424
38,FIVEWSLR_ESR1,408432.7345,237218.2060899833,0.0,183737.69289834294,46774.72478579864,361624.89714675606,305191.0963744175,124651.75647652819,1667631.108271827,FIVEWSLR_ALL,220.0,QSUE61,Key Capture Energy,199.7,Five Wells BESS,199.7,1.0,60.25192009594967
39,VORTEX_ESR1,712888.7933333331,434806.3851886,0.0,2387.6166488353665,9033.15696286494,193243.10349012393,44360.7423652701,250113.00841572977,1646832.806404757,VORT_ALL_RN,121.8,QENEL8,Enel North America,121.8,Azure Sky Wind,121.8,1.48,67.95385743396064
40,RRC_WIND_ESR1,803618.7793333333,832821.8053218166,0.0,0.0,0.0,0.0,0.0,0.0,1636440.5846551498,RRC_WIND_ALL,75.0,QFPL35,YNEXTE,,,75.0,3.0,43.354356952950496
41,JAR_ESR1,811694.1945833332,248161.82467063333,0.0,1265.0574237148394,1599.5163530698371,285625.3425157084,104495.8307715939,141066.83306476395,1593908.5993828173,JAR_RN,147.0,QHEI1,SMT Energy,154.2,Jarvis BESS U1,154.2,1.43,66.97727933495887
42,PLATINUM_ESR1,726368.5469166666,573897.9885964084,0.0,50168.72807672263,20828.74267617206,60810.58854008342,45106.81333621938,71837.3387446595,1549018.746886932,PLATINUM_RN,133.0,QSUE99,YSUEZ,,,133.0,1.91,64.3188061866547
