rank,resource_name,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,settlement_point,hsl,qse,company,capacity_mw,site,eff_capacity_mw,duration_hours,theoretical_rev_total,optimization_rate
1,CNLY_ESS_ESR1,1903004.8114999998,29856.88009722504,0.0,38608.42639899103,36355.6557716974,93555.3293399269,33328.144107047585,212503.3442872458,2347212.5915021338,CNLY_ESS_RN,125.0,QSUE76,YBTCOS,,,125.0,1.96,2230256.982325724,105.2
2,ANOL_ESS_ESR1,916844.6718333333,1064105.72868165,0.0,0.0,0.0,89400.10774690885,29777.81091952001,172370.15771914666,2272498.476900559,ANOL_ESS_RN,240.0,QESVEM,esVolta,247.1,Anole BESS,247.1,1.94,3259895.696414794,69.7
3,BOCO_ESS_ESR1,471194.5173333333,985075.871166725,0.0,784.1393332863694,2801.402991248247,200640.74516101627,23460.343836401637,94707.39575873247,1778664.4155807432,BOCO_ESS_RN,150.0,QTEN28,Aypa Power,154.0,BoCo BESS,154.0,1.95,2217987.606997277,80.2
4,WAL_ESR1,1257543.6679999998,-83315.291432625,0.0,59218.910777056655,37745.65738577051,40627.44685099133,151322.3504524564,315466.015555048,1778608.7575886978,WAL_RN,200.0,QSUE92,Tesla,200.0,Walstrom BESS,200.0,2.0,2000895.8068093671,88.9
5,AVIL_ESS_ESR1,724814.2984166667,305885.7264930083,0.0,67029.81914572843,20734.967067907764,238004.48758140145,209407.77932851968,103262.37866908357,1669139.456702316,AVIL_ESS_RN,160.0,QSU100,ENGIE,160.0,Avila BESS,160.0,2.0,2350933.092939609,71.0
6,SHAMROCK_ESR1,1086118.2650833332,567746.01711485,0.0,0.0,0.0,0.0,0.0,0.0,1653864.2821981832,SHAMROCK_RN,99.3,QFPL40,NextEra Energy Resources,99.3,Shamrock Energy Storage (SLF),99.3,2.62,1737183.6114750272,95.2
7,CACH_ESS_ESR1,459538.60699999996,335536.06508342497,0.0,82553.70884811705,34445.67081494787,202659.63064320566,255244.06167728754,275317.57661295816,1645295.3206799412,CACH_ESS_RN,200.0,QSU100,ENGIE,200.0,Cachi BESS,200.0,2.0,2336116.3002801123,70.4
8,BLVN_SLR_ESR1,1339586.8315,47966.43134083331,0.0,0.000151164982108,0.0001091049118176,47971.19571431947,54172.47863845899,130573.13448689839,1620270.0719407802,BLVN_RN,180.0,QSHEL8,National Grid Renewables,188.0,Blevins Storage,188.0,1.91,2560616.2526224954,63.3
9,CHIL_SLR_ESR1,1184633.9979166666,-352135.17944260826,0.0,105004.0698675963,50662.97674787315,296345.932498963,194753.2179971494,39728.7154767169,1518993.7310623568,CHIL_SLR,150.0,QSUE88,YSUEZ,,,150.0,2.25,1862885.661872948,81.5
10,GIGA_ESS_ESR1,962737.8725833334,59324.05794205832,0.0,24596.380394937376,20432.231413222413,76989.9951672406,129176.83367500943,125062.27681083117,1398319.6479866325,GIGA_ESS_RN,125.0,QSUE55,Tesla,128.0,Giga Texas Energy Storage,128.0,1.95,1465152.5474704537,95.4
11,ANDMDSLR_ESR2,1414929.0351666666,-267477.2655620499,0.0,11565.562908353091,13362.961992256722,56260.388656390394,21877.513459068643,139037.22718335188,1389555.4238040375,ANDMDSLR_ALL,78.1,QIPLU2,YIPLU2,,,78.1,2.04,1103385.260322514,125.9
12,TURQBESS_ESR1,772549.8610833334,248742.7424836583,0.0,2270.026928430698,3247.1148352076984,169684.6780095856,76643.35796405833,94922.05690012427,1368059.8382043983,TURQ_BESS1,188.0,QHEI3,YBTCUN,,,188.0,1.95,2573104.933040515,53.2
13,ANEM_ESS_ESR1,0.0,852506.6037138583,0.0,310960.86246608937,3320.8823704526485,129169.95341706157,10763.925036930124,32432.208663263373,1339154.4356676554,ANEM_ESS_RN,200.0,QSUE53,Plus Power,205.0,Anemoi Energy Storage,205.0,1.95,1867501.3555688183,71.7
14,JAG_SLR_ESR1,404362.40424999996,591569.9013060167,0.0,29029.93405622278,34257.23807593354,10783.860196209003,17237.924334997602,212881.6675073904,1300122.92972677,JAG_SLR_RN,150.0,QLCRA,SER Capital Partners,78.55,Jaguar BESS 1,78.55,2.16,1206927.8705894016,107.7
15,CARN_ESS_ESR1,406224.7965833333,56292.69088624166,0.0,152931.22211927723,49764.2420487392,259606.1169527583,303007.8064609721,23765.775297237662,1251592.6503485595,CARN_ESS_RN,150.0,QSU100,ENGIE,150.0,Carina BESS,150.0,2.0,1390308.4246929542,90.0
16,WFTANK_ESR1,69486.69725,367695.0996853583,0.0,9664.50009372237,6977.225068176526,615311.1866437986,69887.38368728514,84581.42100764989,1223603.5134359908,WFTANK_ESS1,150.0,QTEN28,Aypa Power,155.0,Wolf Tank,155.0,1.12,972637.530213419,125.8
17,BKSL_ESS_ESR1,443387.8524166667,603991.5585059166,0.0,2852.7637466280084,6245.261884254389,45852.504588279175,13263.63099607467,74215.58591603505,1189809.1580538545,BKSL_RN,100.0,QESVEM,esVolta,103.0,Burksol BESS,103.0,1.94,1402787.869475015,84.8
18,DSWL_ESS_ESR1,930159.3233333332,173569.606244625,0.0,6156.910276060859,2877.818391897243,16825.728161970856,17760.947550059678,24275.171071573608,1171625.5050295205,DSWL_BES1,150.0,QPHIL3,esVolta,150.0,Desert Willow BESS,150.0,2.0,2025307.5517317243,57.8
19,HYDR_ESS_ESR1,705612.5383333332,-73571.41915207502,0.0,57179.829269484944,11451.081010305934,244291.35231379722,182886.85075112828,40622.41547052876,1168472.6479965034,HYDR_ESS_RN,200.0,QSUE74,ENGIE,200.8,Hydra BESS,200.8,1.0,1738123.6637774617,67.2
20,RRANCHES_ESR1,5387.799999999999,1002225.2751594,0.0,70610.80482882007,1202.756248733982,543.5440488180864,28568.579459722692,8345.65986332664,1116884.4196088214,RRANCHES_ALL,150.0,QSUE51,Plus Power,150.0,Rodeo Ranch Energy Storage U1,150.0,2.0,2212325.5323863635,50.5
21,PINEFRST_ESR1,0.0,1116498.3677568166,0.0,0.0,0.0,0.0,0.0,0.0,1116498.3677568166,PINEFRST_RN,200.0,QTEN21,YPFHYB,,,200.0,1.98,2733461.219591933,40.8
22,EBNY_ESS_ESR1,0.0,1035815.6685867499,0.0,62877.55832128958,3347.646686981711,1639.9189654418694,8230.843191746419,-5396.14432661404,1106515.4914255955,EBNY_ESS_RN,200.0,QSUE52,Plus Power,203.5,Ebony Energy Storage,203.5,1.97,2392408.263114562,46.3
23,PHO_ESR2,201252.6961666667,421402.7820284,0.0,241.86056309467367,1652.5246832105033,108107.30843430558,87030.75743067492,256261.2052315757,1075949.134537928,PHO_ALL,150.0,QENE15,Enel North America,150.0,Photon BESS 1,150.0,1.55,1173077.1646941,91.7
24,HMNG_ESS_ESR1,40863.62108333333,704323.992028175,0.0,496.68766067442493,1912.5224458605055,29048.852237530125,125127.38732595187,160809.89435059778,1062582.957132123,HMNG_ESS_RN,100.0,QMEA8,Key Capture Energy,103.8,Hummingbird Storage,103.8,2.19,1576201.637107945,67.4
25,PALE_ESS_ESR1,353131.74775,78660.107927475,0.0,52282.53510149389,23518.935693172753,357386.54208854894,126627.23872775766,55837.36798630123,1047444.4752747493,PALE_ESS_EN,200.0,QSUE74,ENGIE,200.8,Paleo BESS,200.8,1.06,1846100.1683808565,56.7
26,LON_ESR1,48976.25008333333,473478.25139969995,0.0,148992.26842587328,62020.9771628278,69111.74285081268,108148.73798976514,117998.86801565447,1028727.0959279668,LON_RN1,174.0,QTEN26,Tokyo Gas America,174.0,Longbow BESS,174.0,2.0,1684667.3161273578,61.1
27,PHO_ESR1,300331.5926666666,260789.4583709,0.0,10270.504208569577,11349.588439044028,104093.21211013201,80842.85093852702,256934.05885060504,1024611.2655844443,PHO_ALL,150.0,QENE15,Enel North America,150.0,Photon BESS 1,150.0,1.55,1173077.1646941,87.3
28,SWOOSEII_ESR1,287600.9053333333,383231.74058804166,0.0,530.6317999325122,1760.5629212391655,65838.28853922094,130473.96244313006,154406.89037970314,1023842.9820046008,SWOOSEII_RN,100.0,QMEA5,Jupiter Power,101.0,Swoose 2,101.0,2.03,1412224.160383666,72.5
29,RRANCHES_ESR2,0.0,928087.0243364999,0.0,46110.846827145375,2029.2161902681473,279.75265277961194,30447.748731604614,15011.68551045952,1021966.2742487572,RRANCHES_ALL,150.0,QSUE51,Plus Power,150.0,Rodeo Ranch Energy Storage U1,150.0,2.0,2212325.5323863635,46.2
30,VORTEX_ESR1,551476.2970833333,104891.10516526666,0.0,2387.6166488353665,9027.006482864941,178423.66744720744,23154.75988586846,149685.88996827076,1019046.3426816469,VORT_ALL_RN,121.8,QENEL8,Enel North America,121.8,Azure Sky Wind,121.8,1.48,1338227.3065887275,76.1
31,TBWF_ESS_ESR1,0.0,848542.4620063666,0.0,11731.144885582296,12264.666823446953,78196.27323222926,24807.578234518907,29639.419340649027,1005181.544522793,TBWF_ES_BES1,150.0,QTEN29,Spearmint Energy,150.0,Timberwolf Bess,150.0,2.0,2239013.2910291916,44.9
32,JAG_SLR_ESR2,324078.375,619808.2257340583,0.0,0.0001435646661238,2.698944216166859e-05,0.0001414922684147,1298.666158509221,1907.8170764687088,947093.0842810826,JAG_SLR_RN,150.0,QMITS2,SER Capital Partners,78.55,Jaguar BESS 1,78.55,2.16,1206927.8705894016,78.5
33,ESTONIAN_ESR1,391454.56549999997,202696.91979809167,0.0,5555.838814349775,7747.924137576401,157425.33745488862,24554.40433196673,117690.1313669836,907125.1214038567,ESTONIAN_ALL,101.6,QENE14,Enel North America,101.6,Estonian Storage,101.6,1.74,1232073.1417846838,73.6
34,JAR_ESR2,458646.73933333333,101549.27832283333,0.0,1059.937258594824,1122.9256733930977,200420.573241385,57453.80014318592,78409.50070921333,898662.7546819388,JAR_RN,156.0,QHEI1,SMT Energy,154.2,Jarvis BESS U1,154.2,1.43,1127085.478264735,79.7
35,SGAL_BES_ESR2,0.0,765149.6664741916,0.0,4383.246735066699,4275.055642213936,37116.75107475976,18999.76796191728,63702.86265766253,893627.3505458118,SG_BES_BESS1,100.0,QJPEM2,Jupiter Power,103.5,St. Gall 2 Energy Storage,103.5,1.95,1484606.1436697126,60.2
36,FIVEWSLR_ESR1,-89723.16491666666,243263.45272156663,0.0,126485.3437779836,25599.526114742093,294627.3722605225,219023.01016841186,67423.2109510454,886698.7510776054,FIVEWSLR_ALL,220.0,QSUE61,Key Capture Energy,199.7,Five Wells BESS,199.7,1.0,1433722.5868096747,61.8
37,RRC_WIND_ESR2,344593.5803333333,532119.623268125,0.0,0.0,0.0,0.0,0.0,0.0,876713.2036014583,RRC_WIND_ALL,75.0,QFPL35,YNEXTE,,,75.0,2.98,1413212.542365543,62.0
38,SGAL_BES_ESR1,0.0,737195.8116115832,0.0,4427.325030755082,5041.925044748757,37855.80014280849,19108.67631697443,62898.50880264428,866528.0469495143,SG_BES_BESS1,98.1,QJPEM,Jupiter Power,103.5,St. Gall 2 Energy Storage,103.5,1.95,1484606.1436697126,58.4
39,RRC_WIND_ESR1,344593.5803333333,521702.22619856667,0.0,0.0,0.0,0.0,0.0,0.0,866295.8065319,RRC_WIND_ALL,75.0,QFPL35,YNEXTE,,,75.0,3.0,1411933.1127112801,61.4
40,MADERO_ESR2,200604.20158333328,342993.67988769995,0.0,1933.5634345377214,3306.7096397621763,118212.21958288568,15047.809773660512,178714.55440323817,860812.7383051175,MADERO_RN,100.0,QTEN25,Eolian,100.0,Madero Grid 1,100.0,2.73,1181279.570606685,72.9
41,FTDUNCAN_ESR1,199868.57499999998,544561.3858569666,0.0,4429.945294667987,2711.373640785842,20693.080526771795,14829.555193755215,65518.4966986078,852612.4122115553,FTDUNCAN_RN,100.0,QTEN26,Excelsior Energy Capital,87.1,Fort Duncan BESS,87.1,1.99,1514970.6813042113,56.3
42,JAR_ESR1,448970.4633333333,87594.34178094164,0.0,1075.3469891037284,1476.4398584376092,187761.36211760936,52952.830511788765,72021.86494719423,851852.6495384087,JAR_RN,147.0,QHEI1,SMT Energy,154.2,Jarvis BESS U1,154.2,1.43,1127085.478264735,75.6
43,MADERO_ESR1,198779.15674999997,310292.4576021166,0.0,1122.827844370029,2487.591341997345,119592.65094906055,15173.642170420608,173170.6983867837,820619.0250447489,MADERO_RN,100.0,QTEN25,Eolian,100.0,Madero Grid 1,100.0,2.73,1181279.570606685,69.5
44,CLO_ESR2,19438.9335,447945.89422144997,0.0,1898.5803712159004,3426.8190114307345,68233.08394967839,133828.97125337616,143928.407908403,818700.6902155542,CLO_RN,100.0,QMEA1,Jupiter Power,101.5,Callisto 1 Energy Center Unit 1,101.5,2.09,1314451.22043019,62.3
45,LMO_ESR1,1430.82625,764128.6935945499,0.0,790.9710803582517,0.000163659458146,5502.923909773326,5623.115899146383,29869.368049651268,807345.8989471386,LMO_ESR_RN,100.0,QSHEL2,Key Capture Energy,105.0,Limousin Oak Storage,105.0,2.16,1171863.553477386,68.9
46,BLACKSPR_ESR1,592787.8414166666,189624.42868762498,0.0,6854.689998638123,2306.161579131328,0.0,773.9427622598741,6114.787549840823,798461.8519941618,BLACKSPR_RN,120.0,QBROOK,YBLKSP,,,120.0,2.32,1919679.608936983,41.6
47,CLO_ESR1,10682.476916666667,459894.376770625,0.0,1858.3109831937013,2926.7485487314484,44174.97075359992,131676.10182507857,140959.0596800826,792172.0454779778,CLO_RN,100.0,QMEA1,Jupiter Power,101.5,Callisto 1 Energy Center Unit 1,101.5,2.09,1314451.22043019,60.3
48,ANTL_ESS_ESR1,338352.7935833333,159451.76885,0.0,25307.089785758493,10220.91179129443,82717.44478772828,103460.44261523984,53099.54835108774,772609.9997644421,ANTL_ESS_ES1,70.0,QSU100,ENGIE,72.4,Antlia BESS,72.4,1.93,1278956.1439927926,60.4
49,FLOWERII_ESR1,0.0,633130.8848311,0.0,2695.161114401403,6437.895431307516,35395.928736468944,45186.892460550414,45432.018340455004,768278.7809142832,FLOWERII_RN,95.0,QJPEM,Jupiter Power,119.9,Flower Valley 1 (DGR),119.9,1.98,1756405.0813829226,43.7
50,CORAZON_ESR1,208526.37166666667,212507.953008675,0.0,11192.912153241143,7725.892061047557,177978.93724698504,68598.99561906443,81127.86050482713,767658.922260507,CORAZON_RN,200.0,QHEI4,YGUAJI,,,200.0,1.22,1278999.4697632014,60.0
51,ELZA_SLR_ESR1,285573.19233333337,216723.40518089998,0.0,0.0004370214054984,837.0717077998645,104377.34105546918,75518.35105718437,80437.68769413156,763467.0494658399,ELZA_SLR_RN,100.0,QENE16,Enel North America,100.0,Eliza Storage,100.0,1.79,1223752.1978794858,62.4
52,ANDMDSLR_ESR1,432753.8860833333,220694.66819677496,0.0,17721.37734645684,16364.840343050075,22230.59602267854,8148.586241598534,7370.991268590664,725284.945502483,ANDMDSLR_ALL,81.9,QIPLU2,YIPLU2,,,81.9,1.95,1140788.8969371335,63.6
53,CROSSTRL_ESR1,793710.5345833333,-317826.8256251,0.0,51695.07880626443,2.698944216166859e-05,129750.1960561356,36043.18780118194,24626.599111858064,717998.7707606627,CROSSTRL_RN,57.0,QGRIE4,Energy Vault,58.0,Cross Trails Storage,58.0,1.97,836059.6893833225,85.9
54,BLSUMMIT_ESR2,0.0,714248.7420557749,0.0,0.0,0.0,0.0,0.0,0.0,714248.7420557749,BLSMT1_5_A_6,150.0,QFPL48,NextEra Energy Resources,15.0,Blue Summit,15.0,0.42,25162.953285746604,2838.5
55,TDWLPR_1_ESR2,20502.31325,398495.636630125,0.0,499.58289494677064,2076.250270392941,22977.897332713277,115791.108087375,143710.11089259892,704052.899358152,TDWLPR_1_RN,0.0,QMEA6,Jupiter Power,102.0,Tidwell Prairie Storage U1,102.0,1.96,1114991.054980069,63.1
56,TDWLPR_1_ESR1,20550.073249999998,375868.8562148,0.0,499.6198672968989,1084.8881197535788,21583.335346823573,115803.0306521683,144097.64116595185,679487.4446167941,TDWLPR_1_RN,0.0,QMEA6,Jupiter Power,102.0,Tidwell Prairie Storage U1,102.0,1.96,1114991.054980069,60.9
57,PLATINUM_ESR1,147061.80966666667,497845.6705205833,0.0,8854.113520125356,4966.257777959114,4740.254668648393,2331.0566639059443,8289.466510699816,674088.6293285886,PLATINUM_RN,133.0,QSUE99,YSUEZ,,,133.0,1.91,1983142.158844874,34.0
58,WIG_ESS_ESR1,409753.98475,23326.262747499997,0.0,1204.4387614011252,905.1742324575066,136730.772696818,38661.26007222053,53060.03630941059,663641.9295698077,WIG_BESS_RN,120.0,QHEI1,UBS Asset Management,122.9,Wigeon Whistle BESS,122.9,1.42,1271423.6602639933,52.2
59,ALP_BESS_ESR1,349139.26083333336,141828.68670916668,0.0,851.1852328969302,588.2364956756717,86158.9969782316,34730.630745001275,43073.16853159688,656370.1655259023,ALP_BESS_RN,100.3,QHEI1,YHABIT,,,100.3,1.43,1182772.6970108598,55.5
60,CARTWHL_ESR1,0.0,655635.6684879332,0.0,0.0,0.0,0.0,0.0,0.0,655635.6684879332,CARTWHL_RN,150.0,QECNR,YEONCR,,,150.0,1.87,1615185.0051156438,40.6
61,TANZ_ESS_ESR2,192275.92525000003,-33650.35934703333,0.0,35482.05370044924,15475.534963313607,161631.07855036386,137386.46228510817,143427.94092376006,652028.6363259616,TANZ_ESS_RN,128.8,QSUE99,ENGIE,132.9,Tanzanite Storage U1,132.9,1.93,1783458.51012515,36.6
62,TSECA_ES_ESR1,0.0,640540.7943953082,0.0,338.4822134583335,2787.3708503979683,5092.574444142775,1810.1835464748688,-3866.9165736584546,646702.4888761238,TSECA_ES_RN,100.0,QTEN36,YTIERS,,,100.0,2.4,2075833.6095710013,31.2
63,PLATINUM_ESR2,163209.63241666663,452239.13150596665,0.0,9341.413981901118,5217.568292048647,4837.626060619972,2680.7917444810714,6086.766656652729,643612.9306583368,PLATINUM_RN,136.0,QSUE99,YSUEZ,,,136.0,1.84,2018527.9680351824,31.9
64,MUSTNGCK_ESR1,357633.8698333333,41209.553632575,0.0,6430.578945970629,4919.1376223275975,96969.61262209807,26277.16805475033,99491.35776401333,632931.2784750683,MUSTNGCK_ALL,71.0,QENE10,Enel North America,69.3,Mustang Creek Storage,69.3,1.18,466024.6668542986,135.8
65,LBRA_ESS_ESR1,-305419.24908333336,240987.15667419165,0.0,81379.10138776035,14568.951654698774,409963.590644577,181753.08982377703,0.0,623232.6411016714,LBRA_BES1,200.0,QSUE48,ENGIE,200.0,Libra BESS,200.0,1.0,1362439.0862358229,45.7
66,TANZ_ESS_ESR1,270785.40475000005,-140455.02845219165,0.0,34224.92338027407,13341.708192675384,155152.69289834032,137472.5521028488,133748.08410121925,604270.3369731662,TANZ_ESS_RN,128.8,QSUE99,ENGIE,132.9,Tanzanite Storage U1,132.9,1.93,1783458.51012515,33.9
67,JADE_SLR_ESR2,239014.7528333333,291122.39006433333,0.0,7594.107931888235,5130.95965990038,3382.696222527473,13695.119203878734,26642.906262835728,586582.9321786972,JADE_SLR_ALL,81.9,QIPLUM,Intersect Power,80.4,Jade Storage SLF 1,80.4,1.99,1133078.2182586207,51.8
68,ENDPARKS_ESR1,364570.10774999997,-15732.951915833326,0.0,84529.82602742124,49088.96557792865,1604.4270097305193,78801.81621558745,23310.978278835802,586173.1689436703,ENDPARK_ESS1,50.0,QGRIE4,Key Capture Energy,50.0,Endurance Park,50.0,1.98,725850.2300543255,80.8
69,JADE_SLR_ESR1,236789.02841666664,283505.8734021083,0.0,9073.076312642092,5111.676081327722,3190.342639194139,14336.621108065647,25882.549471405287,577889.1674314098,JADE_SLR_ALL,78.1,QIPLUM,Intersect Power,80.4,Jade Storage SLF 1,80.4,1.99,1133078.2182586207,51.0
70,BYP_ESR1,0.0,557476.554971425,0.0,0.0,0.0,0.0,42.822437965277786,343.6041404722222,557862.9815498624,BYP_RN,200.0,QEXELO,YEXELO,,,200.0,2.25,2013152.3142941333,27.7
71,BEXAR_ES_ESR1,569603.8602499999,-26590.890244074988,0.0,0.0,0.0,0.0,0.0,0.0,543012.970005925,BEXAR_ES_RN,100.0,QTEN32,YBEXES,,,100.0,0.88,621901.0202691674,87.3
72,SHEEPCRK_ESR1,-131488.99816666666,216986.37450637502,0.0,63081.31176736442,34215.00313961961,182707.3746028253,122591.93253174181,44492.85097904409,532585.8493603035,SHEEPCRK_1,135.0,QSUE70,ENGIE,142.0,Sheep Creek Storage,142.0,1.29,1436429.3514154425,37.1
73,SMTH_ESS_ESR1,84376.33333333334,426266.1481603083,0.0,11606.948714836253,4066.698496145834,1452.0317005293805,4821.117832875081,-37494.5833160152,495094.694922013,SMTH_ESS_RN,125.0,QSUE77,YBTSMS,,,125.0,2.04,1647339.662766767,30.1
74,HLY_ESR1,279624.96875,-12037.807796666664,0.0,630.8322154091463,898.7513466264232,130715.00438716836,44857.993950347976,49029.78502222855,493719.52787511377,HLY_RN,102.0,QHEI1,UBS Asset Management,104.7,Holy ESS U1,104.7,0.98,577820.961864939,85.4
75,HLY_ESR2,280704.7885833333,-16835.634493333324,0.0,663.754152687335,1421.5011540872445,130965.59661091573,44518.35239152459,49087.406661906956,490525.7650611219,HLY_RN,101.8,QHEI1,UBS Asset Management,104.7,Holy ESS U1,104.7,0.98,577820.961864939,84.9
76,FENCESLR_ESR1,248446.2018333333,26948.974056800012,0.0,3472.8396537631425,3531.2449645237275,115342.01261383496,19084.00754706935,73143.56925469193,489968.8499240164,FENCESLR_ALL,71.0,QENE13,ENGIE,86.6,Fence Post BESS,86.6,1.43,865495.8956611652,56.6
77,LUCKYBLU_ESR1,366711.1064166667,109477.43447770833,0.0,6674.852140916328,2149.8841507873035,0.0,1349.7374286501051,2676.408507890622,489039.42312261934,LUCKYBLU_RN,100.0,QBROOK,YLUCKB,,,100.0,2.14,1423899.970809768,34.3
78,STAM_SLR_ESR1,250180.56474999996,38495.79634016667,0.0,8.976251015954789,413.0803107182817,89582.41392271897,33653.79882631752,72979.53393529996,485314.16433623736,STAM_SLR_ALL,70.0,QENE12,Enel North America,71.5,Stampede BESS,71.5,1.57,796243.4684285837,61.0
79,CROSSETT_ESR2,0.0,359546.34355661663,0.0,3546.229570325562,4217.220483696357,48146.91983249383,12980.670115371144,21146.028221258955,449583.4117797625,CROSSETT_ALL,100.0,QJPEM1,Jupiter Power,101.5,Crossett Power 1,101.5,0.99,877560.3581340229,51.2
