rank,resource_name,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,settlement_point,hsl,qse,company,capacity_mw,site,eff_capacity_mw,duration_hours,theoretical_rev_total,optimization_rate
257,WORSHAM_ESR1,-6745.224999999999,6433.801783416667,0.0,0.0001496832112747,6.596728930542806e-05,1583.4775933586793,5337.03271072376,3924.518265241201,10533.605568390809,WRSBES_BESS1,9.7,QSHEL2,Key Capture Energy,9.9,Worsham (DGR),9.9,1.81,134515.13133617165,7.8
258,HEARN_RD_ESR1,8169.598916666666,2299.964780033333,0.0,0.0,0.0,0.0,0.0,0.0,10469.5636967,HEARN_RD_RN,9.8,QTEN30,Excelsior Energy Capital,9.9,Hearn Road BESS,9.9,1.0,53612.40467062864,19.5
259,PYR_ESR1,0.0,10168.63618665,0.0,0.0,0.0,0.0,0.0,0.0,10168.63618665,PYR_PYRON1,9.9,QECNR,RWE,13.3,Pyron,13.3,1.0,111097.2792628205,9.2
260,INDL_ESR1,0.0,10057.864433758334,0.0,6.56173469387755e-05,4.518367346938775e-05,0.0,0.0,0.0,10057.864544559354,IND_INADALE1,9.9,QECNR,RWE,9.9,Inadale,9.9,1.0,82696.4710302198,12.2
261,HI_LONEB_ESR1,1990.8043333333333,6637.056586841667,0.0,0.0,0.0,114.57504879166666,86.28695366666668,0.0,8828.722922633333,HI_LONEB_RN1,50.0,QENEL1,YENELT,,,50.0,1.33,550180.6349025388,1.6
262,E_HARRIS_ESR1,0.0,8158.923009458333,0.0,0.0,0.0,0.0,0.0,0.0,8158.923009458333,E_HARRIS_RN,9.9,QTEN26,YAGPC5,,,9.9,1.85,77820.90256519079,10.5
263,MESQUITE_ESR1,0.0,6151.200983524999,0.0,0.0,0.0,0.0,0.0,0.0,6151.200983524999,MESQUITE_RN,9.9,QTEN26,YBESLF,,,9.9,2.01,63819.41640133932,9.6
264,CAST_ESS_ESR1,0.0,5558.255037991667,0.0,0.0,0.0,0.0,0.0,0.0,5558.255037991667,CAST_ESS_RN,200.0,QSUE79,YSUEZ,,,200.0,1.42,285006.16483656585,2.0
265,OLMITO_ESR1,0.0,4314.296377566667,0.0,0.0,0.0,0.0,0.0,0.0,4314.296377566667,OLMITO_RN,9.9,QTEN26,YAGPC7,,,9.9,1.84,54858.196133620484,7.9
266,HV_ESR1,725.1216666666666,3555.3745048416663,0.0,0.0,0.0,0.0,0.0,0.0,4280.496171508333,HV_BESS1_RN,0.0,QTEN30,YREGHI,,,0.0,1.42,33813.498795798754,12.7
