resource_name,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,settlement_point,hsl,qse,company,capacity_mw,energy_mwh,site,eff_capacity_mw,tb_index,theoretical_rev,duration_hours,optimization_rate
ABINDUST_ESR1,0.0,155.02534137499998,0.0,0.0,0.0,0.0,0.0,0.0,155.02534137499998,ABINDUST_RN,9.9,QMP2M1,YDIST,,,,9.9,573.4120168417,5676.778966732831,1.42,2.7308680201128572
ADL_ESR1,0.0,8348.129625,0.0,-118.84687499999995,0.0,1108.9319364330636,41.72843894945759,181.77694860199014,9561.720073984512,ADL_RN,60.0,QTEN26,YLIB1S,,,,60.0,315.1876258741259,18911.257552447554,1.07,50.560995467734
AE_ESR1,770.90575,1290.41968,0.0,0.0,0.0,344.6625103450444,38.52795348803937,595.2556698393529,3039.771563672436,AE_RN,9.9,QTEN26,TotalEnergies,149.2,244.0,Myrtle Storage U1,149.2,452.4420110452551,67504.34804795205,1.64,4.503075211559882
ALAMO_ST_ESR1,0.0,4510.985341583333,0.0,0.0,0.0,0.0,0.0,0.0,4510.985341583333,ALAMO_ST_RN,9.4,QSYSO,YALCEC,,,,9.4,672.235536525974,6319.014043344156,1.91,71.38748720355785
ALP_BESS_ESR1,15008.571999999998,25676.810579166664,0.0,0.0,240.5267361111111,3434.6461440703997,36.283713358930214,2046.4406763559014,46443.279849063,ALP_BESS_RN,100.3,QHEI1,YHABIT,,,,100.3,542.0261269098548,54365.22052905844,1.4,85.42829293636154
ALVIN_ESR1,1025.6521666666667,-652.3479393916666,0.0,113.57702624346923,112.95473460741174,61.121516923076925,1.2822813680555556,54.75813585594497,716.9979222729585,ALVIN_RN,7.4,QSUE74,ENGIE,10.0,10.0,Alvin (DGR),10.0,299.0981818181818,2990.9818181818177,1.0,23.971992003241695
AMAD_ESS_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMAD_ESS_RN,0.0,QGRIE4,YBTAMS,,,,0.0,345.77706402501923,0.0,1.42,0.0
ANCHOR_ESR1,3802.1703333333335,4946.9455,0.0,0.0,0.0,185.98650185945823,18.247439476545203,1187.7652630437744,10141.11503771311,ANCHOR_ALL,35.2,QENE11,Enel North America,35.75,56.5,Anchor BESS 1,35.75,601.2517387158296,21494.749659090907,1.58,47.17949824283749
ANCHOR_ESR2,1498.3245,10585.896083333331,0.0,0.0,0.0,239.8482890854217,92.56418120355305,1287.7611833906385,13704.394237012944,ANCHOR_ALL,36.3,QENE11,Enel North America,35.75,56.5,Anchor BESS 1,35.75,601.2517387158296,21494.749659090907,1.58,63.7569381098461
ANDMDSLR_ESR1,40978.21466666667,-945.0946007333367,0.0,1336.3060848841374,653.8039348096344,1965.895694603952,43.80094511289565,5448.860887243176,49481.787612587126,ANDMDSLR_ALL,81.9,QIPLU2,YIPLU2,,,,81.9,722.7885499547674,59196.38224129546,1.94,83.58920889943943
ANDMDSLR_ESR2,44649.69899999999,-3147.5980035166644,0.0,1247.5062773916009,-55.13451648198411,2770.7262983123474,35.39323120598415,5760.660788622034,51261.253075533314,ANDMDSLR_ALL,78.1,QIPLU2,YIPLU2,,,,78.1,751.926905803211,58725.491343230766,2.05,87.2896112114729
ANEM_ESS_ESR1,0.0,51184.530330199996,0.0,222.48689239583334,0.0,0.0,0.0,4814.681310784722,56221.69853338055,ANEM_ESS_RN,195.0,QSUE53,Plus Power,205.0,400.0,Anemoi Energy Storage,205.0,567.7683797909408,116392.51785714286,1.95,48.30353322400465
ANGLETON_ESR1,1607.0339166666665,346.5417930416666,0.0,95.47055797521789,125.98902731088793,89.7949339703144,4.51545275415023,0.0,2269.345681718904,BRPANGLE_RN,9.9,QSUE74,ENGIE,19.9,19.9,BRP Angleton (DGR),19.9,301.5652922077922,6001.1493149350645,1.0,37.81518443594099
ANG_SLR_ESR1,0.0,42520.828762125,0.0,0.0,0.0,744.498009484375,874.0901814744108,1870.0241880053504,46009.44114108914,ANG_ALL,92.0,QTEN26,Apex Clean Energy,103.0,200.0,Angelo Storage,103.0,793.8375901525659,81765.27178571429,1.94,56.2701500725981
ANOL_ESS_ESR1,38255.40416666666,61459.479216374995,0.0,0.0,0.0,1445.74020909107,26.105470737144277,12979.129044471983,114165.85810734186,ANOL_ESS_RN,240.0,QESVEM,esVolta,247.1,480.0,Anole BESS,247.1,349.23713692115246,86296.49653321678,1.94,132.29489341250112
ANTL_ESS_ESR1,25608.514916666667,20390.825583333328,0.0,646.1510134580561,-230.2666389047474,733.3898386807155,63.73882827730429,521.2376880265692,47733.59122953788,ANTL_ESS_ES1,70.0,QSU100,ENGIE,72.4,140.0,Antlia BESS,72.4,723.6055811729707,52389.04407692308,1.93,91.11369002925579
APPLE_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLE_ESR_RN,0.0,QTEN26,YAPPFR,,,,0.0,591.680525333689,0.0,1.42,0.0
ARY_BESS_ESR1,0.0,-583.1351568416667,0.0,0.0,0.0,0.0,0.0,0.0,-583.1351568416667,ARY_BESS_RN,0.0,QTEN32,YBTCS,,,,0.0,323.95558124325123,0.0,1.42,0.0
