rank,resource_name,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,settlement_point,hsl,qse,company,capacity_mw,site,eff_capacity_mw,duration_hours
191,PIRATE_ESR1,24256.23358333333,7042.100910816667,0.0,15758.790015916855,4172.189471359547,13308.311476749732,2485.205827584456,8182.437865279302,75205.26915103989,PIRATE_RN,9.8,QTEN30,YREGSI,,,9.8,1.28
192,CAMWIND_ESR1,0.0,49628.95068066666,0.0,0.0004444336928398,0.000163659458146,3758.287564715274,1986.7997089436235,19581.453777624723,74955.49234004343,CAMWIND_RN,0.0,QTEN26,Ingka Investments,16.4,Cameron Storage,16.4,2.0
193,WR_ESR1,29609.85408333333,34055.628976424996,0.0,1413.28337339403,853.7508869632151,2757.429570347222,353.50772545130746,5478.46458696709,74521.9192028812,WR_RN,9.9,QAETEL,YIEYES,,,9.9,0.7
194,FRMRSVLW_ESR1,9339.71075,35894.48473333333,0.0,0.0001496832112747,450.16508900210647,10991.406532390714,9835.903887258588,6188.793331076641,72700.4644727446,FRMRSVLW_RN,9.9,QBEEP1,Adapture Renewables,9.9,Farmersville BESS (DGR),9.9,1.1
195,COYOTSPR_ESR1,11063.342916666665,38151.52091666666,0.0,0.0001496832112747,465.2317843550089,6761.291381856941,9662.056167228568,5818.255682168719,71921.69899862578,COYOTSPR_RN,9.9,QBEEP1,YBEEPR,,,9.9,0.9
196,SBEAN_ESR1,11044.80716666667,34167.15960833333,0.0,0.0001496832112747,468.336312996222,10550.666994972915,9161.329300196947,6003.35697676172,71395.65650961101,SBEAN_BESS,9.9,QBEEP1,Hunt Energy Network,9.9,Screwbean (DGR),9.9,1.0
197,SGSA_ESR1,15139.850416666664,50858.928155,0.0,5.66715626201461e-06,2.752850466166859e-05,625.9768297665001,782.5592884112531,2769.379091539733,70176.6938145798,SGSA_DGR,9.9,QAMA1,NW Group,9.9,Saragosa (DGR),9.9,2.02
198,PAULN_ESR1,8305.522833333333,33745.21988333333,0.0,0.0001496832112747,446.7746592580868,11054.844478394243,9844.31996322457,6198.626437998375,69595.30840522515,PAULN_RN,9.9,QBEEP1,Hunt Energy Network,9.9,Pauline BESS (DGR),9.9,1.0
199,GREGORY_ESR1,24104.65983333333,10132.226315516666,0.0,8498.234211781884,2843.08935265944,21514.384214817754,2360.7919107191506,0.0,69453.38583882822,GREGORY_RN,9.9,QTEN30,REX Storage Holdings,9.9,Gregory BESS,9.9,1.0
200,ZAPATA_ESR1,20361.474083333334,-4550.045387974999,0.0,13405.924739127897,2216.3942750874176,27121.53016110693,10883.97887053338,0.0,69439.25674121395,BRP_ZPT1_RN,9.9,QSUE74,YBRPIN,,,9.9,0.93
201,HOLCOMB_ESR1,5343.339666666667,37382.340066666664,0.0,0.0001496832112747,486.1021684761314,10772.483318757122,9299.207459015488,5851.546631689088,69135.01946095438,HOLCOMB_RN1,9.9,QBEEP1,Hunt Energy Network,9.9,Holcomb (DGR),9.9,1.0
202,ZAPATA_ESR2,19842.9595,-3232.735745266667,0.0,10419.057081806617,2090.351247682124,27785.63732776976,11906.448509667996,0.0,68811.71792165983,BRP_ZPT2_RN,9.9,QSUE74,ENGIE,19.8,Zapata 1 (DGR),19.8,1.01
203,LIGSW_ESR1,37714.97508333333,5449.443369083333,0.0,394.73627728767633,462.29088033715465,18330.86552387726,6004.255689316446,418.6107803170065,68775.1776035522,LIGSW_RN,9.8,QPROLO,Prologis,9.8,Liggett Switch BESS,9.8,0.97
204,CARRIZO_ESR1,36121.04266666666,27704.11255218333,0.0,3947.3230000000003,925.296,0.0,0.0,0.0,68697.77421885,CARRIZO_ESR1,9.8,QTEN30,YREGCS,,,9.8,1.08
205,DIBOL_ESR1,7854.181416666665,33518.04076666666,0.0,0.0001473787130048,446.9567720392641,10843.836491837654,9820.192101191942,6156.626831276471,68639.83452705738,DIBOL_RN,9.9,QBEEP1,YHENI1,,,9.9,0.97
206,W_HARLIN_ESR1,20664.63483333333,20955.317083891663,0.0,414.63514891444913,81.36448364070301,17186.47603546404,4914.199139860596,4330.591887634644,68547.21861273942,W_HRL_ESR_RN,9.9,QTEN24,YSMTTX,,,9.9,1.15
207,N_MERCED_ESR1,15469.262666666666,22172.25131780833,0.0,2667.1442465619575,92.74241917355847,16205.845605149214,7983.000785752868,3562.6584442616804,68152.90548537427,N_MRD_ESR_RN,9.9,QTEN24,SMT Energy,10.0,North Mercedes BESS (DGR),10.0,1.0
208,LOPENO_ESR1,24465.86708333333,-6486.731209433334,0.0,13435.845147146169,2033.961446860253,23480.88832759507,10642.415951878313,0.0,67572.24674737982,BRP_LOP1_RN,9.9,QSUE74,YSUEZ,,,9.9,0.95
209,MAINLAND_ESR1,8651.913416666666,29041.402175,0.0,0.0001485309621397,315.45794664387864,11041.868399345944,11599.879386191025,6845.945433547599,67496.46690592608,MAINLAND_RN,9.9,QBEEP1,Hunt Energy Network,9.9,Mainland BESS (DGR),9.9,1.0
210,N_ALAMO_ESR1,23659.476333333332,7707.35295105,0.0,7533.271460774768,51.71603722953409,7306.494628102199,10173.323847709069,10798.479594837272,67230.11485303617,N_AL_BESS_RN,9.9,QTEN24,SMT Energy,10.0,North Alamo Bess,10.0,1.0
211,DPCRK_ESR1,0.0,43502.34462916666,0.0,412.55479397130296,180.5171317493,0.0001800059320296,8665.214026817364,14407.130800550642,67167.7615622612,SNY_BESS_RN,9.9,QTEN26,Gore Street Energy Storage Fund,10.0,Snyder (DGR),10.0,2.0
212,MV_VALV4_ESR1,3172.600916666667,32437.79330833333,0.0,0.0001496832112747,315.4884091739676,11083.408465330758,11831.576589718898,7472.58814956719,66313.45598847402,MV_VALV4_RN,9.9,QBEEP1,Hunt Energy Network,10.0,Val Verde,10.0,1.0
213,FALFUR_ESR2,15565.256916666665,-2907.452661916667,0.0,18600.874552902216,1474.786224457949,7458.775561039943,16009.247204810405,9545.481189278204,65746.96898723872,FALFUR_RN2,9.8,QTEN30,Hunt Energy Network,9.9,Falfur BESS,9.9,1.15
214,L_463S_ESR1,19919.1825,-8246.496488158333,0.0,15500.356772647967,1802.3783139888371,21916.76279342355,14114.55041527311,0.0,65006.73430717514,BRP_LOOP_RN,9.9,QSUE74,YSUEZ,,,9.9,0.58
215,PUEBLO_ESR1,26544.466916666664,-911.7914597250001,0.0,5065.744407857731,1284.6018660766063,23588.12208556369,9233.866766921967,0.0,64805.010583361654,BRP_PBL1_RN,9.9,QSUE74,YSUEZ,,,9.9,0.99
216,BAY_CITY_ESR1,27316.059833333333,12627.599235374999,0.0,524.4900660336517,70.94274446166287,14380.938962579943,5169.6637275185085,4665.23728072749,64754.931850029585,BAYC_BESS_RN,9.9,QTEN24,SMT Energy,9.9,Bay City,9.9,1.0
217,LFSTH_ESR1,7854.208416666667,29810.6331,0.0,0.0001496832112747,446.5739327868852,11016.750486110306,9822.584118094821,5798.559231499712,64749.309434841605,LFSTH_RN,9.9,QBEEP1,Hunt Energy Network,9.9,Lufkin South BESS (DGR),9.9,1.0
218,PAVLOV_ESR1,3785.592083333333,31062.741475,0.0,0.0001496832112747,308.9213400019523,10704.7641442118,11452.070997154608,6852.13023154411,64166.220420929014,PAVLOV_BT_RN,9.9,QBEEP1,Hunt Energy Network,9.9,Pavlov BESS,9.9,1.0
219,TYNAN_ESR1,6923.360083333333,25056.77225833333,0.0,0.0001496832112747,439.26736941368796,11243.969664067548,11593.352273768069,7069.455687594546,62326.17748619374,TYNAN_RN,9.9,QBEEP1,Hunt Energy Network,9.9,Tynan BESS,9.9,1.09
220,L_FRESNO_ESR1,15692.202333333335,16434.941505058334,0.0,1404.3741421167836,267.321393578449,14649.274120904569,6006.557680478918,5997.302662416587,60451.97383788697,L_FRE_ESR_RN,9.9,QTEN24,SMT Energy,10.0,Los Fresnos (DGR),10.0,1.0
221,MAYBERRY_ESR2,24220.681416666666,8597.793193900001,0.0,1118.336810957667,116.61048215206094,7620.7075555174515,9442.703122637256,9026.889911425333,60143.722493256435,MYRY_BES2_RN,9.9,QTEN24,SMT Energy,9.9,Mayberry BESS 2,9.9,1.46
222,PUEBLO_ESR2,30748.435666666664,-6241.111907225,0.0,3958.498545713833,1065.3081507416628,20471.10583685764,8917.498154122724,0.0,58919.734446877526,BRP_PBL2_RN,7.4,QSUE74,ENGIE,19.8,Pueblo 1 (DGR),19.8,1.01
223,FALFUR_ESR1,3436.0951666666665,24413.211316666664,0.0,0.0001496832112747,309.3311082446792,11272.902534048704,11821.996042934072,7540.934096409409,58794.47041465341,FALFUR_RN,9.9,QBEEP1,Hunt Energy Network,9.9,Falfurrias BESS,9.9,1.0
224,EUNICE_ESR1,0.0,53272.307911791664,0.0,0.0,0.0,3289.905895037297,2168.822355393395,0.0,58731.03616222236,EUNICE_ALL,20.0,QTENSK,Orsted,40.3,Eunice,40.3,0.99
225,ODESW_ESR1,28768.753249999998,-9959.310968033333,0.0,5825.335814271987,905.3199627206722,20607.74946740767,9896.600497257188,2681.7689633428827,58726.21698696706,ODESW_RN,9.9,QSUE74,ENGIE,9.9,Odessa SW (DGR),9.9,1.0
226,ELSA_ESR1,18888.212999999996,10026.653028558334,0.0,1342.7115404201907,426.1520272046368,14814.386398104776,9605.85360902047,3532.3642211723945,58636.3338244808,ELSA_ESR_RN,9.9,QTEN24,SMT Energy,10.0,Elsa (DGR),10.0,1.0
227,SP_ESR1,15486.633333333333,22043.118165208332,0.0,75.50741913616976,0.0,6185.014091793382,3676.0100944374217,10790.24999892816,58256.5331028368,SP_RN,9.0,QTEN26,On.Energy,9.9,Spencer BESS,9.9,2.02
228,GARCENO_ESR1,22791.376666666667,3709.776554999999,0.0,1396.6336627682379,523.5824334507114,15131.42049771005,9009.632242757272,4863.390868660164,57425.812927013096,GARC_BESS_RN,9.9,QTEN24,SMT Energy,19.9,Garceno Bess (DGR),19.9,1.0
229,MUENSTER_ESR1,34330.43025,14176.005456691666,0.0,4483.9851053980665,1622.6206408314451,1892.7189648960555,527.9670586810885,0.0007090831670903,57033.72818558149,MUENSTER_RN,9.9,QTEN30,Excelsior Energy Capital,9.9,Muenster BESS,9.9,1.22
230,RIO_GRAN_ESR1,14988.131583333334,11290.689256233332,0.0,3856.09003196354,275.0250767500057,15330.180314009349,8392.317458516662,2421.5558253010117,56553.98954610723,RIOG_ESR_RN,9.9,QTEN24,SMT Energy,10.0,Rio Grande City BESS (DGR),10.0,1.0
231,K0_ESR1,19484.06308333333,-1456.5254669416656,0.0,8776.561676570329,1284.8856855504578,19922.397988544268,8031.058687940369,0.0,56042.441654997085,BRP_RN_UNIT1,9.9,QSUE74,YSUEZ,,,9.9,0.72
232,S_SNROSA_ESR1,22427.52491666667,4822.175051849999,0.0,675.242189965941,476.3329452764978,15375.987161814977,9174.127777314485,2620.910978913625,55572.30102180219,SROSA_ESR_RN,9.9,QTEN24,SMT Energy,10.0,Santa Rosa (DGR),10.0,1.0
233,WEIL_TRC_ESR1,3400.5530833333332,21087.22045833333,0.0,0.0001485309621397,315.3181055058971,11091.533481132765,11740.162818439254,7097.029244816736,54731.81734009228,WLTC_ESR_RN,9.9,QBEEP1,Hunt Energy Network,9.9,Weil Tract BESS,9.9,1.09
234,FLAT_TOP_ESR1,42.672,51211.641794849995,0.0,0.0001473648241159,0.0001202741295047,361.4607363087621,749.4990207311187,2228.7147004770295,54593.98852000586,FLTBES1,8.5,QSHEL2,YKEYCA,,,8.5,1.0
235,BRAZORIA_ESR1,10913.519666666667,-5891.7654827999995,0.0,11330.697227160315,2733.9337278943185,22241.043500836637,10678.270070546905,2157.861984912293,54163.560695217144,BRP_BRAZ_RN,9.9,QSUE74,ENGIE,10.0,Brazoria (DGR),10.0,1.0
236,SWEENY_ESR1,21819.622083333335,-8911.469169366666,0.0,9243.684798247314,1496.3174909343265,23288.315185806998,6825.942936529037,0.0,53762.41332548435,BRP_SWNY_RN,9.9,QSUE74,YSUEZ,,,9.9,0.78
237,HEIGHTTN_ESR1,7717.790416666666,-5355.234504474999,0.0,10792.307436032172,3044.311035784472,22959.333291354586,12263.953974330465,1809.2554265256665,53231.71707621902,BRHEIGHT_RN,9.9,QSUE74,ENGIE,9.9,Heights (DGR),9.9,1.0
238,PRCRK_ESR1,20092.201749999997,25882.211057525,0.0,676.7808716132722,75.99739531114818,2131.254912894365,1715.7406983068126,2531.4139558252277,53105.600641475816,PRCRK_RN,9.9,QTEN24,SMT Energy,9.9,Prairie Creek BESS,9.9,1.52
239,EMPCT_ESR1,32524.525999999998,13268.251760499998,0.0,470.226366042283,121.51924242828134,2602.7849666865013,1640.453917205584,2446.898952573747,53074.661205436394,EMPCT_RN,9.9,QTEN24,YSMTII,,,9.9,1.24
240,WCOLLOCL_ESR1,-8.82,4050.689166258333,0.0,0.0,0.0,39709.28210398574,8880.501970457472,0.0,52631.65324070154,BSS_U1,9.9,QHABIT,YGLIDE,,,9.9,1.42
241,MIDWY_ESR1,29741.068,13598.023032341667,0.0,211.00328363711355,598.2994257106642,7240.456991444355,1218.6511626012264,0.0,52607.50189573503,MIDWY_RN,9.9,QPROLO,Prologis,9.9,Midway BESS,9.9,1.0
242,MAYBERRY_ESR1,21024.932833333332,2864.540813675,0.0,917.9840565816776,312.02728614411274,14920.870009874166,8846.867066930023,3627.67534355094,52514.89741008925,MYRY_ESR_RN,9.9,QTEN24,SMT Energy,10.0,Mayberry Bess,10.0,1.0
243,LAURELES_ESR1,30548.443999999996,10547.539500066667,0.0,6025.606833333333,1757.7035889514534,0.0,0.0,3046.8785705128207,51926.17249286427,LAUR_BESS_RN,9.8,QTEN30,YREGL,,,9.8,1.19
244,ANGLETON_ESR1,9876.030166666667,-4888.720953058333,0.0,7234.175153223995,2698.3138896263504,24200.128330131593,12791.761122375106,0.0,51911.687708965386,BRPANGLE_RN,9.9,QSUE74,ENGIE,19.9,BRP Angleton (DGR),19.9,1.0
245,CFLAT_ES_ESR1,0.0,48893.35189963335,0.0,0.0,0.0,0.0,0.0,0.0,48893.35189963335,CFLAT_ES_RN,100.0,QTEN26,YCITFE,,,100.0,2.19
246,GOODWIN_ESR1,32586.79708333333,5352.877516266665,0.0,8913.377320573833,1144.786844437571,0.0,632.6733131652288,0.0,48630.51207777663,GOODWIN_ESR,9.9,QTEN30,YREGGO,,,9.9,1.2
247,MAGNO_TN_ESR1,4904.93425,4384.6808581999985,0.0,8773.463453180118,2597.5438506525074,19223.075438899872,5692.964731697045,0.0,45576.662582629535,BRPMAGNO_RN,7.4,QSUE74,YSUEZ,,,7.4,0.71
248,DICKNSON_ESR1,6516.556583333332,70.55658927500079,0.0,9121.014166397435,2349.562925334479,19918.05917315307,6128.765177606338,0.0,44104.51461509966,BRP_DIKN_RN,7.4,QSUE74,YSUEZ,,,7.4,0.52
249,GZ_ESR1,27679.366166666667,8976.203119791666,0.0,1118.637,842.587,2325.357,0.0,0.0,40942.15028645833,GZ_RN,8.0,QTEN30,YREGGE,,,8.0,1.64
250,POTEETS_ESR1,2133.0353333333333,24555.03235,0.0,0.0,103.77274725274724,7768.737440491752,4015.01220158291,2300.805588143117,40876.39566080386,POTEETS_RN,9.9,QBEEP1,YHENI1,,,9.9,1.0
251,ALVIN_ESR1,-648.5829166666679,-1977.8781116249993,0.0,9654.456116405132,2821.774513965017,19717.60811246458,8271.907719421231,1811.7939528132151,39651.07938677751,ALVIN_RN,7.4,QSUE74,ENGIE,10.0,Alvin (DGR),10.0,1.0
252,LYSSY_ESR1,59953.514749999995,-22037.567208041666,0.0,0.0,0.0,0.0,0.0,0.0,37915.947541958325,LYSSY_RN,9.9,QTEN30,YREGLY,,,9.9,1.06
253,STADIUM_ESR1,0.0,32362.79294855833,0.0,0.0,0.0,0.0,0.0,0.0,32362.79294855833,STADIUM_RN,9.9,QTEN26,YBESST,,,9.9,1.49
254,X4_ESR1,0.0,28606.2738334,0.0,872.9724659718268,1492.6673701934142,0.0,-1621.2485632148296,0.0,29350.665106350414,X443ESRN,10.0,QCPSE,CPS Energy,10.0,Commerce St (DGR),10.0,1.0
255,BLSUMMIT_ESR1,0.0,29343.764313333333,0.0,0.0,0.0,0.0,0.0,0.0,29343.764313333333,BLSMT1_5_A_6,30.0,QFPL12,NextEra Energy Resources,15.0,Blue Summit,15.0,0.42
256,HEARN_RD_ESR1,24342.451916666665,2856.595504875,0.0,0.0,0.0,0.0,0.0,0.0,27199.047421541665,HEARN_RD_RN,9.8,QTEN30,Excelsior Energy Capital,9.9,Hearn Road BESS,9.9,1.0
257,E_HARRIS_ESR1,0.0,27193.863785291665,0.0,0.0,0.0,0.0,0.0,0.0,27193.863785291665,E_HARRIS_RN,9.9,QTEN26,YAGPC5,,,9.9,1.85
258,GEORSO_ESR1,1964.677416666667,15393.148706941669,0.0,0.0027365401504721,14.11860599630163,7424.134941245615,295.1032301440206,314.7467593545744,25405.932396888995,RHESS2_ESS1,9.8,QEDIS9,Ormat,9.9,Rabbit Hill,9.9,1.0
259,CASL_GAP_ESR1,0.0,24789.986670833332,0.0,0.0,0.0,0.0,0.0,0.0,24789.986670833332,CASL_GAP_UN1,3.9,QLUMN1,Luminant,9.9,Castle Gap Battery,9.9,4.24
260,GZ_ESR2,2073.6645,21049.416044366666,0.0,95.1736791111111,81.3603094188202,591.7534274845596,417.1080452487436,361.3031954154864,24669.779201045385,GZ_RN,9.9,QPROLO,YESTH7,,,9.9,2.13
261,DA_ESR1,0.0,22342.098345,0.0,0.0001473787130048,0.0001566145715639,363.1109944156802,332.40126695066067,895.6212349771016,23933.23214533673,DA_BESS,5.0,QSHE16,YBACCH,,,5.0,2.04
262,JOHNCI_ESR1,-11621.198999999997,35071.886608333334,0.0,413.5386280677656,-204.97310256410256,0.0,0.0,0.0,23659.25313383699,JC_BAT_RN,1.3,QLCRA,Pedernales Electric Cooperative,2.3,Johnson City,2.3,1.0
263,OLMITO_ESR1,0.0,23349.4386059,0.0,0.0,0.0,0.0,0.0,0.0,23349.4386059,OLMITO_RN,9.9,QTEN26,YAGPC7,,,9.9,1.84
264,ELMCRK_ESR1,0.0,20907.861969366666,0.0,0.0,0.0,0.0,0.0,0.0,20907.861969366666,ELMCRK_RN,9.9,QMP2M1,YDGSP2,,,9.9,2.64
265,LANTANA_ESR1,0.0,19426.998346633332,0.0,0.0,0.0,0.0,0.0,0.0,19426.998346633332,LANTANA_RN,9.9,QTEN26,YAGPC2,,,9.9,2.01
266,PYR_ESR1,0.0,18027.389482666666,0.0,0.0,0.0,0.0,0.0,0.0,18027.389482666666,PYR_PYRON1,9.9,QECNR,RWE,13.3,Pyron,13.3,1.0
267,MESQUITE_ESR1,0.0,17598.203094999997,0.0,0.0,0.0,0.0,0.0,0.0,17598.203094999997,MESQUITE_RN,9.9,QTEN26,YBESLF,,,9.9,2.01
268,INDL_ESR1,0.0,17208.916966858334,0.0,6.56173469387755e-05,4.518367346938775e-05,0.0,0.0,0.0,17208.917077659353,IND_INADALE1,9.9,QECNR,RWE,9.9,Inadale,9.9,1.0
269,MDWPK_ESR1,0.0,15583.276632933335,0.0,0.0,0.0,0.0,0.0,0.0,15583.276632933335,MDWPK_RN,9.9,QTEN26,YMEADP,,,9.9,0.48
270,HV_ESR1,12678.478416666667,-2937.804264275001,0.0,517.884,1565.1094065934067,3542.993916666667,0.0,0.0,15366.66147565174,HV_BESS1_RN,0.0,QTEN30,YREGHI,,,0.0,1.42
271,WORSHAM_ESR1,-6745.224999999999,8501.702942166667,0.0,0.0001496832112747,6.596728930542806e-05,1771.8220327539843,5671.530783731456,4812.9449683753455,14012.775942677952,WRSBES_BESS1,9.7,QSHEL2,Key Capture Energy,9.9,Worsham (DGR),9.9,1.81
272,BY_ESR1,0.0,12950.368067166668,0.0,0.0,0.0,68.75717038793557,6.213780699919461,92.95350118017672,13118.292519434697,RN_BY_ESR1,9.9,QPROLO,YESTHB,,,9.9,0.75
273,ABINDUST_ESR1,0.0,12437.920266333333,0.0,0.0,0.0,0.0,0.0,0.0,12437.920266333333,ABINDUST_RN,9.9,QMP2M1,YDIST,,,9.9,0.48
274,UTOPIA_ESR1,17150.8225,-8183.354559591666,0.0,0.0,0.0,0.0,0.0,0.0,8967.467940408333,UTOPIA_RN,9.9,QTEN30,YREGUT,,,9.9,0.4
275,Z0_ESR1,1193.51,6817.825163766666,0.0,0.0,0.0,0.0,0.0,0.0,8011.3351637666665,Z0_DGR2_RN,9.9,QTEN26,YBEXCO,,,9.9,2.03
276,GODY_SLR_ESR1,0.0,7325.565295608332,0.0,0.0,0.0,0.0,0.0,0.0,7325.565295608332,GODY_SLR_RN,18.0,QTEN26,YMRGS,,,18.0,1.42
277,PRTLAVS_ESR1,0.0,352.3554486583333,0.0,0.0,0.0,2839.44182793246,0.0,0.0,3191.7972765907934,PTLBES_BESS1,6.0,QSTEC3,Key Capture Energy,9.9,Port Lavaca (DGR),9.9,1.2
278,CAST_ESS_ESR1,0.0,2667.9932376166676,0.0,0.0,0.0,0.0,0.0,0.0,2667.9932376166676,CAST_ESS_RN,200.0,QSUE79,YSUEZ,,,200.0,1.42
279,CONTINEN_ESR1,8188.199666666666,-10584.021916666667,0.0,1318.0602756410256,476.6980293040293,2626.97925,-329.7734166666666,0.0,1696.1418882783873,CONTINEN_RN,9.9,QTEN30,REX Storage Holdings,9.9,Continental BESS (DGR),9.9,1.0
280,PAD3_ESS_ESR3,0.0,933.7894166666669,0.0,0.0,0.0,0.0,0.0,0.0,933.7894166666669,RN_PAD3_ESS,0.0,QTEN25,Eolian,51.4,Padua BESS 1,51.4,2.37
281,HRMS_SLR_ESR1,0.0,177.0643277416667,0.0,0.0,0.0,0.0,0.0,0.0,177.0643277416667,HRMS_SLR_RN,20.0,QTOT11,YBELST,,,20.0,1.42
282,CARA_ESS_ESR1,0.0,128.1920316666658,0.0,0.0,0.0,0.0,0.0,0.0,128.1920316666658,CARA_ESS_RN,98.3,QHEI8,YHEI8,,,98.3,1.42
283,ELM_ST_ESR1,0.0,47.460441958333334,0.0,0.0,0.0,0.0,0.0,0.0,47.460441958333334,ELM_ST_RN,0.0,QTEN26,YELMST,,,0.0,1.42
