resource_name,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,settlement_point,hsl,qse,company,capacity_mw,energy_mwh,site,eff_capacity_mw,tb_index,theoretical_rev,duration_hours,optimization_rate
ABINDUST_ESR1,0.0,-4.266147808333333,0.0,0.0,0.0,0.0,0.0,0.0,-4.266147808333333,ABINDUST_RN,9.9,QMP2M1,YDIST,,,,9.9,76.4793766172389,757.1458285106651,1.42,-0.5634512728842487
ADL_ESR1,0.0,167.14840833333324,0.0,298.35,63.0,211.65,0.0,3.8880000000000003,744.0364083333333,ADL_RN,60.0,QTEN26,YLIB1S,,,,60.0,34.51345875,2070.8075249999997,0.9,35.92977132596297
AE_ESR1,86.27999999999999,576.2953991666666,0.0,0.0,0.0,39.603,2.6780000000000004,80.03999999999999,784.8963991666665,AE_RN,9.9,QTEN26,TotalEnergies,149.2,244.0,Myrtle Storage U1,149.2,54.30723190348526,8102.639,1.64,9.686922978632843
ALAMO_ST_ESR1,0.0,440.8029775916666,0.0,0.0,0.0,0.0,0.0,0.0,440.8029775916666,ALAMO_ST_RN,9.9,QSYSO,YALCEC,,,,9.9,66.42188999999999,657.5767109999999,1.06,67.03445700218337
ALP_BESS_ESR1,2282.0879999999997,5582.5142608333335,0.0,0.0,0.0,481.17900000000003,60.409,230.826,8637.016260833332,ALP_BESS_RN,100.3,QHEI1,YHABIT,,,,100.3,120.51340042372883,12087.4940625,1.49,71.4541510107429
ALVIN_ESR1,-60.983999999999995,91.97244174999999,0.0,46.492999999999995,19.966,2.52,9.535,0.0,109.50244174999999,ALVIN_RN,7.4,QSUE74,ENGIE,10.0,10.0,Alvin (DGR),10.0,36.290000000000006,362.9000000000001,1.0,30.174274386883425
AMAD_ESS_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMAD_ESS_RN,0.0,QGRIE4,YBTAMS,,,,0.0,68.72627919016381,0.0,1.42,0.0
ANCHOR_ESR1,127.65099999999998,-65.60166666666666,0.0,0.0,0.0,0.0,0.0,232.07999999999998,294.1293333333333,ANCHOR_ALL,35.2,QENE11,Enel North America,35.75,56.5,Anchor BESS 1,35.75,76.88634615384615,2748.686875,1.58,10.700721715831431
ANCHOR_ESR2,25.487999999999996,2477.8988333333327,0.0,0.0,0.0,0.0,0.0,198.481,2701.867833333333,ANCHOR_ALL,36.3,QENE11,Enel North America,35.75,56.5,Anchor BESS 1,35.75,76.88634615384615,2748.686875,1.58,98.29667605675648
ANDMDSLR_ESR1,1295.19,2771.998379641667,0.0,191.781,418.01,295.02,85.004,935.3610000000001,5992.364379641667,ANDMDSLR_ALL,81.9,QIPLU2,YIPXP,,,,81.9,58.52169502442001,4792.9268225,1.67,125.02515898033342
ANDMDSLR_ESR2,1295.19,2047.1374384166666,0.0,178.916,398.5,279.442,78.912,880.4979999999999,5158.595438416667,ANDMDSLR_ALL,78.1,QIPLU2,YIPXP,,,,78.1,60.66321085787452,4737.796767999999,1.77,108.8817374619955
ANEM_ESS_ESR1,0.0,3600.435998658333,0.0,0.0,0.0,0.0,0.0,0.0,3600.435998658333,ANEM_ESS_RN,200.0,QSUE53,Plus Power,205.0,400.0,Anemoi Energy Storage,205.0,89.25585365853657,18297.449999999997,1.95,19.67725556653159
ANGLETON_ESR1,139.002,-161.75769742499995,0.0,62.433,44.685,4.611000000000001,9.503,0.0,98.47630257500006,BRPANGLE_RN,9.9,QSUE74,ENGIE,19.9,19.9,BRP Angleton (DGR),19.9,36.38788461538462,724.1189038461539,1.0,13.599465785514461
ANG_SLR_ESR1,0.0,4651.246412058334,0.0,0.0,0.0,36.0,0.0,15.0,4702.246412058334,ANG_ALL,100.0,QTEN26,Apex Clean Energy,103.0,200.0,Angelo Storage,103.0,116.75660194174758,12025.93,1.94,39.10089624717867
