resource_name,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,settlement_point,hsl,qse,company,capacity_mw,energy_mwh,site,eff_capacity_mw,tb_index,theoretical_rev,duration_hours,optimization_rate
ABINDUST_ESR1,0.0,155.42638036666668,0.0,0.0,0.0,0.0,0.0,0.0,155.42638036666668,ABINDUST_RN,9.9,QMP2M1,YDIST,,,,9.9,31.313375757575752,310.00242,0.82,50.13715066052281
ADL_ESR1,1663.885,-1481.8275999999998,0.0,373.05,0.0,480.15,34.56,84.744,1154.5613999999998,ADL_RN,60.0,QTEN26,YLIB1S,,,,60.0,21.216580000000004,1272.9948000000002,0.89,90.69647417255747
AE_ESR1,-305.723,171.54348166666668,0.0,0.0,0.0,22.184,163.178,146.349,197.53148166666665,AE_RN,9.9,QTEN26,TotalEnergies,149.2,244.0,Myrtle Storage U1,149.2,36.01910857908847,5374.050999999999,1.64,3.675653276581609
ALAMO_ST_ESR1,0.0,1273.6512841499998,0.0,0.0,0.0,0.0,0.0,0.0,1273.6512841499998,ALAMO_ST_RN,9.9,QSYSO,YALCEC,,,,9.9,104.29644161616162,1032.534772,1.83,123.35190239481832
ALP_BESS_ESR1,2567.4449999999997,853.7274308333334,0.0,0.0,0.0,640.408,777.405,734.773,5573.7584308333335,ALP_BESS_RN,100.3,QHEI1,YHABIT,,,,100.3,69.25744257228314,6946.521489999998,1.33,80.23812261802036
ALVIN_ESR1,42.33833333333332,-32.57701924999999,0.0,81.619,41.76,9.16,70.066,3.981,216.34731408333332,ALVIN_RN,7.5,QSUE74,ENGIE,10.0,10.0,Alvin (DGR),10.0,24.015,240.15,1.0,90.08840894579777
AMAD_ESS_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMAD_ESS_RN,0.0,QGRIE4,YBTAMS,,,,0.0,32.71581972519388,0.0,1.42,0.0
ANCHOR_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANCHOR_ALL,0.0,QENE11,Enel North America,35.75,56.5,Anchor BESS 1,35.75,37.14152097902098,1327.809375,1.58,0.0
ANCHOR_ESR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANCHOR_ALL,0.0,QENE11,Enel North America,35.75,56.5,Anchor BESS 1,35.75,37.14152097902098,1327.809375,1.58,0.0
ANDMDSLR_ESR1,0.0,3214.8862766583334,0.0,37.022999999999996,407.76800000000003,151.244,2224.154,1598.317,7633.392276658334,ANDMDSLR_ALL,81.9,QIPLU2,YIPXP,,,,81.9,39.720257094017114,3253.089056000002,1.78,234.65057811987327
ANDMDSLR_ESR2,0.0,3153.2051065583332,0.0,35.217,388.587,139.756,2116.241,1497.417,7330.4231065583335,ANDMDSLR_ALL,78.1,QIPLU2,YIPXP,,,,78.1,39.98783449423817,3123.049874000001,1.79,234.72001416261503
ANEM_ESS_ESR1,0.0,5096.919783149999,0.0,0.0,0.0,0.0,0.0,0.0,5096.919783149999,ANEM_ESS_RN,200.0,QSUE53,Plus Power,205.0,400.0,Anemoi Energy Storage,205.0,41.08109756097561,8421.625,1.95,60.5218088332121
ANGLETON_ESR1,113.25974999999998,-18.977092500000005,0.0,41.908,21.067999999999998,15.471,68.07900000000001,0.0,240.80865749999998,BRPANGLE_RN,10.0,QSUE74,ENGIE,19.9,19.9,BRP Angleton (DGR),19.9,24.0325,478.24674999999996,1.0,50.35238765344459
ANG_SLR_ESR1,0.0,605.9439291333333,0.0,0.0,0.0,257.244,859.752,526.585,2249.5249291333334,ANG_ALL,100.0,QTEN26,Apex Clean Energy,103.0,200.0,Angelo Storage,103.0,94.67376213592233,9751.397500000001,1.94,23.06874403523529
