Site,Pnode Name,Owner,Capacity (MW),Energy capacity (MWh),,,,,,,,,,,,,
Desert Willow BESS,DSWL_BES1,esVolta,150.0,300.0,,,,,,,,,,,,,
Dickens BESS U1,DKNS_ESS_RN,ENGIE,50.0,50.0,,,,,,,,,,,,,
Dickens BESS U2,DKNS_ESS_RN,ENGIE,50.0,50.0,,,,,,,,,,,,,
Dickens BESS U3,DKNS_ESS_RN,ENGIE,50.0,50.0,,,,,,,,,,,,,
Dickens BESS U4,DKNS_ESS_RN,ENGIE,50.0,50.0,,,,,,,,,,,,,
Dickinson (DGR),DKNS_ESS_RN,ENGIE,9.9,9.9,,,,,,,,,,,,,
Dogfish BESS,DGFS_ESR_RN,Gore Street Energy Storage Fund,75.0,91.5,,,,,,,,,,,,,
Ebony Energy Storage,EBNY_ESS_RN,Plus Power,203.5,400.0,,,,,,,,,,,,,
Eliza Storage,ELZA_SLR_RN,Enel North America,100.0,178.6,,,,,,,,,,,,,
Elsa (DGR),ELSA_ESR_RN,SMT Energy,10.0,10.0,,,,,,,,,,,,,
Endurance Park,ENDPARK_ESS1,Key Capture Energy,50.0,99.0,,,,,,,,,,,,,
Estonian Storage,ESTONIAN_ALL,Enel North America,101.6,177.2,,,,,,,,,,,,,
Eunice,EUNICE_ALL,Orsted,40.3,40.0,,,,,,,,,,,,,
Evelyn BESS,EVLN_ESS_RN,Excelsior Energy Capital,167.5,333.0,,,,,,,,,,,,,
Falfur BESS,FALFUR_RN2,Hunt Energy Network,9.9,11.4,,,,,,,,,,,,,
Falfurrias BESS,FALFUR_RN,Hunt Energy Network,9.9,9.9,,,,,,,,,,,,,
Farmersville BESS (DGR),FRMRSVLW_RN,Adapture Renewables,9.9,10.9,,,,,,,,,,,,,
Farmersville West BESS 2 (DGR),FRMR_BS2_RN1,Hunt Energy Network,9.9,15.0,,,,,,,,,,,,,
Faulkner (DGR),FAULKNER_RN,Enel North America,15.9,19.4,,,,,,,,,,,,,
Fence Post BESS,FENCESLR_ALL,ENGIE,86.6,123.6,,,,,,,,,,,,,
Five Wells BESS,FIVEWSLR_ALL,Key Capture Energy,199.7,200.4,,,,,,,,,,,,,
Flat Top (DGR),-,Jupiter Power,9.9,16.9,,,,,,,,,,,,,
Flower Valley 1 (DGR),FLOWERII_RN,Jupiter Power,19.0,37.8,,,,,,,,,,,,,
Flower Valley 2,FLOWERII_RN,Recurrent Energy,100.9,200.0,,,,,,,,,,,,,
Fort Duncan BESS,FTDUNCAN_RN,Excelsior Energy Capital,87.1,172.9,,,,,,,,,,,,,
Gambit,GAMBIT_RN,Plus Power,100.0,175.0,,,,,,,,,,,,,
Garceno Bess (DGR),GARC_BESS_RN,SMT Energy,10.0,10.0,,,,,,,,,,,,,
Garden City East BESS (DGR),GARC_BESS_RN,Hunt Energy Network,9.9,9.9,,,,,,,,,,,,,
Giga Texas Energy Storage,GIGA_ESS_RN,Tesla,128.0,249.0,,,,,,,,,,,,,
Gomez (DGR),GOMZ_RN,Hunt Energy Network,9.9,9.9,,,,,,,,,,,,,
Great Kiskadee Storage,GKS_BESS_RN,SA Grid Solutions,103.0,200.0,,,,,,,,,,,,,
Gregory BESS,GREGORY_RN,REX Storage Holdings,9.9,9.9,,,,,,,,,,,,,
Hamilton Bess (DGR) U1,HAMI_BESS_RN,Hunt Energy Network,9.9,9.9,,,,,,,,,,,,,
Harlingen II,HARLIN_1_RN,SMT Energy,10.0,10.0,,,,,,,,,,,,,
Hearn Road BESS,HEARN_RD_RN,Excelsior Energy Capital,9.9,9.9,,,,,,,,,,,,,
Heights (DGR),BRHEIGHT_RN,ENGIE,9.9,9.9,,,,,,,,,,,,,
Holcomb (DGR),HOLCOMB_RN1,Hunt Energy Network,9.9,9.9,,,,,,,,,,,,,
Holy ESS U1,HLY_RN,UBS Asset Management,104.7,102.2,,,,,,,,,,,,,
Holy ESS U2,HLY_RN,UBS Asset Management,104.7,102.2,,,,,,,,,,,,,
House Mountain BESS,HOUSEMTN_RN,Jupiter Power,60.0,134.6,,,,,,,,,,,,,
Hummingbird Storage,HMNG_ESS_RN,Key Capture Energy,103.8,227.0,,,,,,,,,,,,,
Hydra BESS,HYDR_ESS_RN,ENGIE,200.8,200.8,,,,,,,,,,,,,
Inadale,IND_INADALE1,RWE,9.9,9.9,,,,,,,,,,,,,
