DATETIME,ERCOT (LOAD_FORECAST),ERCOT (NET_LOAD_FORECAST_BID_CLOSE),ERCOT (WIND_STWPF_BIDCLOSE),ERCOT (WIND_COPHSL_BIDCLOSE),ERCOT (SOLAR_COPHSL_BIDCLOSE),ERCOT (RTLOAD),ERCOT (WIND_RTI),ERCOT (SOLAR_GENERATION),HOURENDING,MARKETDAY,PEAKTYPE,MONTH,YEAR
01/02/2026 04:00:00,40813.240417,13961.3797,27546.4,26666.1,0,41016.18,24009.63,,4,01/02/2026,OFFPEAK,JANUARY,2026
01/02/2026 05:00:00,41315.42041,15145.8298,26736.9,25836.7,0,41447.59,23583.92,,5,01/02/2026,OFFPEAK,JANUARY,2026
01/02/2026 06:00:00,42720.119629,17151.5891,26072.7,25175.4,0,42430.75,23620.95,,6,01/02/2026,OFFPEAK,JANUARY,2026
01/02/2026 07:00:00,44718.789551,19790.5289,25435.6,24556.3,0,44131.57,23387.28,,7,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 08:00:00,45962.550171,21661.0596,24615.5,23755.1,355.5,45486.96,23373.61,,8,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 09:00:00,46653.739624,18446.5495,21131.7,20405.2,7751,46141.26,20920.64,,9,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 10:00:00,47293.780762,10147.7007,18832.1,18148.7,18981,46683.57,16382.39,,10,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 11:00:00,47543.909546,8969.0508,17115.3,16430.9,22221.7,47263.45,15960.58,,11,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 12:00:00,48537.550293,9590.1195,16559.9,15854.6,22590.4,47887.46,15871.26,,12,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 13:00:00,49158.140259,11284.1394,15942.9,15228,22260.4,48882.58,15341.89,,13,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 14:00:00,50237.440674,12720.6207,15110.2,14452.6,22523.8,49931.54,14824.31,,14,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 15:00:00,50953.239746,13284.0896,14285.8,13610.5,23574.7,50979.74,14453.74,,15,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 16:00:00,51972.779663,14994.2399,13689.4,12999.8,23122.7,51964.14,14126.77,,16,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 17:00:00,52204.92981,25117.8808,13055.6,12394.3,13915.5,52538.74,15083.94,,17,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 18:00:00,52273.630127,35910.9,14853.7,14208.7,1507.8,52167.5,15293.28,,18,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 19:00:00,52680.659912,35902.2402,16406.8,15778.4,.1,52163.16,17203.98,,19,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 20:00:00,51356.269531,32525.6296,18580.4,17926.8,0,50894.59,19565.81,,20,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 21:00:00,50339.530151,30144.1897,20171.7,19592.2,0,49899.63,20873.59,,21,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 22:00:00,49261.480347,28092.3997,21025.8,20416.7,0,48798.81,21012.38,,22,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 23:00:00,47740.610229,26390.5401,21286,20686.5,0,47306.44,22015.52,,23,01/02/2026,OFFPEAK,JANUARY,2026
01/03/2026 00:00:00,45705.19043,24461.6899,21435.5,20870,0,45631.1,22522.08,,24,01/02/2026,OFFPEAK,JANUARY,2026
01/03/2026 01:00:00,44526.459473,22678.0002,20702.8,20241.6,0,44049.28,21202.29,,1,01/03/2026,OFFPEAK,JANUARY,2026
01/03/2026 02:00:00,43415.440063,23283.5534,19176.9,18723.2,0,42863.91,20237.52,,2,01/03/2026,OFFPEAK,JANUARY,2026
01/03/2026 03:00:00,42554.390137,24127.4966,17897.5,17441,0,42010.11,18676.78,,3,01/03/2026,OFFPEAK,JANUARY,2026
01/03/2026 04:00:00,42165.90918,25068.2727,16664.3,16216,0,41431.84,18567.4,,4,01/03/2026,OFFPEAK,JANUARY,2026
01/03/2026 05:00:00,41919.076233,26745.2274,15399.2,14957,0,41298.5,18311.81,,5,01/03/2026,OFFPEAK,JANUARY,2026
01/03/2026 06:00:00,42284.721436,29868.6703,14352.2,13947.6,0,41621.64,16961.79,,6,01/03/2026,OFFPEAK,JANUARY,2026
01/03/2026 07:00:00,43130.499939,33199.2496,13101.9,12734.3,0,42555.27,15270.58,,7,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 08:00:00,43887.339172,36288.2092,11592.5,11293.4,409.6,43711.16,14604.86,,8,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 09:00:00,44590.77655,31948.1702,9519,9332,7736.5,45115.12,12530.99,,9,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 10:00:00,45993.587646,24846.8795,6579.2,6479.5,18441.9,46226.92,7219.94,,10,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 11:00:00,46778.239868,22017.9404,6023.8,5911.1,21454,46821.38,4996.1,,11,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 12:00:00,47761.630188,21101.5499,5522.8,5431.3,21966.8,47306.74,4823.1,,12,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 13:00:00,48439.531494,20694.5195,4958.5,4883.1,21901.4,47823.97,4842.18,,13,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 14:00:00,48820.628784,20250.4743,4142.9,4081.2,22181.8,48207.38,3470.2,,14,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 15:00:00,49352.479004,19127.9999,3548.3,3503,23215.1,48498.41,3122.62,,15,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 16:00:00,49775.319214,19324.1774,3270.1,3235.9,23153.6,48893.72,3088.23,,16,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 17:00:00,49980.699951,28550.9064,3266,3227.7,14273.6,49133.49,2849.64,,17,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 18:00:00,51026.680054,42117.6386,3901.3,3849.2,1642.6,49547.33,2771,,18,01/03/2026,WEPEAK,JANUARY,2026
