flowday,da_energy_revenue,rt_energy_revenue,as_revenue_nonspin,as_revenue_rrs,as_revenue_ecrs,as_revenue_regup,as_revenue_regdown,dart_virtual_revenue,energy_injection_mwh,energy_consumption_mwh,total_revenue
2026-07-02,8721.28,-10491.75,3783.2,0.0,0.0,0.0,0.0,0.0,0.466,142.545,2012.73
2026-07-19,-4886.0,8264.31,3338.1,0.0,0.0,0.0,0.0,109.84,101.08,9.8,6716.41
2026-07-25,-8971.93,7230.4025,2549.2,0.0,282.8,0.0,0.0,0.0,97.27080000000001,129.2895795923873,1090.4724999999999
