node,date,total_offer_mw,total_bid_mw,offer_revenue,bid_revenue,net_revenue,avg_da_lmp,avg_rt_lmp,avg_dart_spread,hours_positive,hours_negative,hours_participated,positive_revenue,negative_revenue,win_rate,profit_loss_ratio,hsl,total_awarded_mw,max_possible_mw,participation_rate
ABINDUST_RN,2026-03-27,0.0,-51.2,0.0,-41.339,-41.339,0.0,0.0,0.0,5,2,7,123.87974999999999,-165.21875,71.4,0.3,9.9,51.2,237.60000000000002,21.5
ADL_RN,2026-03-27,7.7,-24.6,172.6,588.6495,761.2495,9.24375,4.530625,4.713125,8,0,8,761.2495,0.0,100.0,99.99,60.0,32.300000000000004,1440.0,2.2
AE_RN,2026-03-27,47.6,-19.9,516.473,29.58724999999999,546.06025,15.472083333333336,10.694375,4.777708333333334,11,1,12,553.473,-7.412749999999981,91.7,6.79,9.9,67.5,237.60000000000002,28.4
ALAMO_ST_RN,2026-03-27,0.0,0.0,0.0,0.0,0.0,1.0675000000000001,0.3159375,0.7515625,0,0,0,0.0,0.0,0.0,0.0,9.9,0.0,237.60000000000002,0.0
ALP_BESS_RN,2026-03-27,5.0,-44.7,3.4375,88.46775,91.90525,2.5075,0.56,1.9475,9,3,12,152.20875,-60.30350000000001,75.0,0.84,100.3,49.7,2407.2,2.1
ALVIN_RN,2026-03-27,5.0,-67.6,58.999999999999986,202.60699999999989,261.60699999999986,1.3991666666666667,0.9075000000000001,0.49166666666666653,5,1,6,550.017,-288.41000000000014,83.3,0.38,7.4,72.6,177.60000000000002,40.9
AMAD_ESS_RN,2026-03-27,0.0,0.0,0.0,0.0,0.0,1.2041666666666666,1.0563541666666667,0.1478125,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANCHOR_ALL,2026-03-27,238.4,-76.1,-986.735,62.70549999999999,-924.0295,0.7695833333333333,5.08,-4.310416666666667,9,12,21,503.01275000000004,-1427.04225,42.9,0.47,36.3,314.5,871.1999999999999,36.1
ANDMDSLR_ALL,2026-03-27,56.4,-3.1,-462.0295,-19.8315,-481.861,-4.46875,-0.9369791666666666,-3.5317708333333333,3,11,14,31.018499999999996,-512.8795,21.4,0.22,81.9,59.5,1965.6000000000001,3.0
ANEM_ESS_RN,2026-03-27,1.5,-4.1,0.0,-25.225249999999992,-25.225249999999992,16.195416666666667,15.501145833333334,0.6942708333333331,0,1,1,0.0,-25.225249999999992,0.0,0.0,200.0,5.6,4800.0,0.1
ANG_ALL,2026-03-27,140.6,-9.0,-36.61825000000005,-85.4135,-122.03175000000003,-11.158333333333333,-10.137604166666666,-1.020729166666667,7,8,15,290.69424999999995,-412.72599999999994,46.7,0.8,0.0,149.6,0.0,0.0
ANOL_ESS_RN,2026-03-27,0.0,-80.0,0.0,330.0,330.0,0.48666666666666664,0.27760416666666665,0.2090625,3,1,4,523.9000000000001,-193.9,75.0,0.9,240.0,80.0,5760.0,1.4
ANTL_ESS_ES1,2026-03-27,0.0,-51.2,0.0,369.07849999999996,369.07849999999996,-5.739583333333333,-7.906145833333333,2.1665625,5,9,14,483.651,-114.5725,35.7,7.6,70.0,51.2,1680.0,3.0
APPLE_ESR_RN,2026-03-27,0.0,0.0,0.0,0.0,0.0,2.8949999999999996,6.915,-4.0200000000000005,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARY_BESS_RN,2026-03-27,1.0,-22.5,16.8625,-131.55575,-114.69324999999999,1.56375,0.8611458333333334,0.7026041666666667,5,4,9,85.02325000000002,-199.7165,55.6,0.34,0.0,23.5,0.0,0.0
AVIL_ESS_RN,2026-03-27,5.0,-69.6,-61.537499999999994,-246.43025000000006,-307.96775,-0.9129166666666667,-0.07604166666666667,-0.836875,2,7,9,106.46924999999997,-414.437,22.2,0.9,160.0,74.6,3840.0,1.9
AZURE_RN,2026-03-27,68.3,-37.0,-334.478,-72.3815,-406.8595,-3.9462500000000005,0.2663541666666667,-4.212604166666666,7,11,18,73.0235,-479.883,38.9,0.24,77.6,105.3,1862.3999999999999,5.7
BATCAVE_RN,2026-03-27,482.3,-22.8,4576.19775,153.05275,4729.2505,25.6975,14.792812499999998,10.9046875,23,0,23,4729.2505,0.0,100.0,99.99,100.5,505.1,2412.0,20.9
BAYC_BESS_RN,2026-03-27,0.0,0.0,0.0,0.0,0.0,3.93125,2.888854166666667,1.0423958333333332,0,0,0,0.0,0.0,0.0,0.0,9.9,0.0,237.60000000000002,0.0
BCK_RN,2026-03-27,1208.0,0.0,14782.6775,0.0,14782.6775,15.275833333333333,9.681354166666667,5.594479166666666,11,0,11,14782.677499999998,0.0,100.0,99.99,126.5,1208.0,3036.0,39.8
BCNV_RN,2026-03-27,7.1,-2.0,87.00699999999999,23.264999999999997,110.27199999999998,5.437083333333334,3.8169791666666666,1.6201041666666665,4,0,4,110.27199999999999,0.0,100.0,99.99,150.0,9.1,3600.0,0.3
BEXAR_ES_RN,2026-03-27,1605.6,-1.0,7815.377999999999,17.467499999999998,7832.8454999999985,30.781666666666666,25.777083333333334,5.004583333333333,13,4,17,8841.8455,-1009.0000000000007,76.5,2.7,100.0,1606.6,2400.0,66.9
BIGSTAR_ALL,2026-03-27,95.6,-37.7,640.645,306.8945,947.5395,17.481666666666666,15.34375,2.137916666666667,8,6,14,1098.277,-150.73749999999993,57.1,5.46,80.0,133.3,1920.0,6.9
BKSL_RN,2026-03-27,0.0,-8.600000000000001,0.0,1.4367500000000017,1.4367500000000017,0.0,0.0,0.0,3,4,7,17.527,-16.090249999999997,42.9,1.45,100.0,8.600000000000001,2400.0,0.4
BLACKSPR_RN,2026-03-27,43.0,-5.0,47.15500000000001,29.762500000000003,76.91750000000002,7.388333333333333,6.236354166666666,1.1519791666666668,6,4,10,153.8375,-76.92,60.0,1.33,120.0,48.0,2880.0,1.7
BLSMT1_5_A_6,2026-03-27,208.6,-19.0,-274.964,22.622500000000002,-252.3415,-2.74625,-0.3315624999999999,-2.4146875,9,14,23,682.732,-935.0735,39.1,1.14,150.0,227.6,3600.0,6.3
BLUEJAY_RN,2026-03-27,57.7,-239.8,-58.061250000000015,-1053.35875,-1111.42,8.945,9.604270833333333,-0.6592708333333334,6,5,11,426.26374999999996,-1537.6837500000001,54.5,0.23,50.0,297.5,1200.0,24.8
BLVN_RN,2026-03-27,1314.6,-1.0,-492.21674999999976,7.785000000000004,-484.4317499999999,13.472499999999998,13.883333333333333,-0.41083333333333316,8,5,13,8711.603,-9196.03475,61.5,0.59,180.0,1315.6,4320.0,30.5
BOCO_ESS_RN,2026-03-27,25.0,-27.9,134.86874999999998,1.775500000000008,136.64425,-1.8733333333333333,-1.7531249999999998,-0.12020833333333336,9,3,12,183.13425,-46.489999999999995,75.0,1.31,150.0,52.9,3600.0,1.5
BRHEIGHT_RN,2026-03-27,20.2,0.0,258.599,0.0,258.599,14.7125,9.791145833333333,4.921354166666666,8,1,9,270.5755,-11.976500000000003,88.9,2.82,9.9,20.2,237.60000000000002,8.5
