node,date,total_offer_mw,total_bid_mw,offer_revenue,bid_revenue,net_revenue,avg_da_lmp,avg_rt_lmp,avg_dart_spread,hours_positive,hours_negative,hours_participated,positive_revenue,negative_revenue,win_rate,profit_loss_ratio,hsl,total_awarded_mw,max_possible_mw,participation_rate
ABINDUST_RN,2026-07-10,7.8,-45.5,11.998,205.33875,217.33675,16.46708333333333,14.736145833333333,1.7309375000000002,15,7,22,220.91675,-3.5799999999999987,68.2,28.8,9.9,53.3,237.60000000000002,22.4
ADL_RN,2026-07-10,20.5,-29.5,-48.153499999999994,-113.53574999999995,-161.68924999999996,27.090416666666666,29.306145833333332,-2.2157291666666663,9,13,22,42.91775000000001,-204.60699999999994,40.9,0.3,60.0,50.0,1440.0,3.5
AE_RN,2026-07-10,32.5,-10.4,201.03249999999997,11.29450000000001,212.32699999999997,26.337083333333336,25.831875,0.505208333333333,12,7,19,219.524,-7.197000000000001,63.2,17.79,9.9,42.9,237.60000000000002,18.1
ALAMO_ST_RN,2026-07-10,53.2,0.0,45.48124999999999,0.0,45.48124999999999,6.423750000000001,7.252187500000001,-0.8284375,10,3,13,104.77424999999998,-59.29299999999999,76.9,0.53,9.9,53.2,237.60000000000002,22.4
ALP_BESS_RN,2026-07-10,14.799999999999999,-68.1,-789.1514999999999,-1339.7632499999997,-2128.91475,18.435,48.1809375,-29.745937499999997,16,7,23,298.387,-2427.3017499999996,69.6,0.05,100.3,82.89999999999999,2407.2,3.4
ALVIN_RN,2026-07-10,25.7,-20.1,208.18625,195.94175000000004,404.128,28.484166666666667,24.599895833333335,3.8842708333333333,17,5,22,407.02000000000004,-2.8920000000000012,77.3,41.39,7.5,45.8,180.0,25.4
AMAD_ESS_RN,2026-07-10,73.7,-89.7,277.43474999999995,640.14325,917.578,15.902500000000002,15.596979166666666,0.3055208333333332,6,7,13,1137.337,-219.75900000000007,46.2,6.04,0.0,163.4,0.0,0.0
ANCHOR_ALL,2026-07-10,305.3,-150.2,32.21749999999997,157.55524999999997,189.77274999999995,14.246666666666668,13.833333333333334,0.4133333333333331,17,6,23,513.6684999999998,-323.8957499999998,73.9,0.56,36.3,455.5,871.1999999999999,52.3
ANDMDSLR_ALL,2026-07-10,32.2,-2.0,76.50825,2.6565000000000003,79.16475,15.225,13.316666666666668,1.9083333333333332,19,3,22,83.52475,-4.360000000000001,86.4,3.02,81.9,34.2,1965.6000000000001,1.7
ANEM_ESS_RN,2026-07-10,14.6,-1.1,112.44075,-1.6352499999999992,110.8055,23.912916666666664,22.515208333333334,1.397708333333334,14,9,23,116.287,-5.481499999999998,60.9,13.64,200.0,15.7,4800.0,0.3
