node,date,total_offer_mw,total_bid_mw,offer_revenue,bid_revenue,net_revenue,avg_da_lmp,avg_rt_lmp,avg_dart_spread,hours_positive,hours_negative,hours_participated,positive_revenue,negative_revenue,win_rate,profit_loss_ratio,hsl,total_awarded_mw,max_possible_mw,participation_rate
ABINDUST_RN,2026-06-16,5.1000000000000005,-5.3,5.09125,-7.429999999999984,-2.338749999999984,34.9975,33.6925,1.3050000000000002,16,6,22,15.27775,-17.616499999999984,72.7,0.33,9.9,10.4,237.60000000000002,4.4
ADL_RN,2026-06-16,2.1,-124.5,2.1544999999999983,-4.681000000000082,-2.5265000000000715,34.32041666666667,31.762395833333333,2.5580208333333325,12,10,22,310.81924999999995,-313.34575000000007,54.5,0.83,60.0,126.6,1440.0,8.8
AE_RN,2026-06-16,5.1000000000000005,-0.2,-20.524500000000018,2.9944999999999995,-17.53000000000002,34.335,32.10333333333333,2.231666666666666,12,10,22,8.51675,-26.046750000000024,54.5,0.27,9.9,5.300000000000001,237.60000000000002,2.2
ALAMO_ST_RN,2026-06-16,3.0,0.0,51.742499999999986,0.0,51.742499999999986,4.212916666666667,3.473125,0.7397916666666665,1,0,1,51.742499999999986,0.0,100.0,99.99,9.9,3.0,237.60000000000002,1.3
ALP_BESS_RN,2026-06-16,8.2,-13.9,-235.57874999999996,55.750500000000045,-179.8282499999999,47.59375,51.971666666666664,-4.377916666666665,17,5,22,75.37125000000005,-255.19949999999994,77.3,0.09,100.3,22.1,2407.2,0.9
ALVIN_RN,2026-06-16,23.599999999999998,-86.0,-45.332500000000046,100.4095000000001,55.07700000000004,34.52708333333333,31.9884375,2.5386458333333333,12,10,22,314.42525000000006,-259.34825,54.5,1.01,9.9,109.6,237.60000000000002,46.1
AMAD_ESS_RN,2026-06-16,0.0,-7.0,0.0,37.919999999999995,37.919999999999995,1.2225,0.93375,0.28875,2,0,2,37.919999999999995,0.0,100.0,99.99,0.0,7.0,0.0,0.0
ANCHOR_ALL,2026-06-16,54.2,-67.1,920.7927500000001,124.84725000000009,1045.6400000000003,32.97166666666667,27.58,5.391666666666667,18,5,23,1197.9722500000003,-152.33225,78.3,2.18,36.3,121.3,871.1999999999999,13.9
ANDMDSLR_ALL,2026-06-16,84.0,-88.89999999999999,1045.1580000000001,-142.97875,902.17925,31.655,22.9328125,8.7221875,15,8,23,1183.09025,-280.911,65.2,2.25,81.9,172.89999999999998,1965.6000000000001,8.8
ANEM_ESS_RN,2026-06-16,21.1,-0.2,223.54800000000003,2.4377500000000003,225.98575000000005,34.71666666666666,33.69708333333333,1.0195833333333326,12,10,22,231.05875000000006,-5.073000000000001,54.5,37.96,200.0,21.3,4800.0,0.4
ANG_ALL,2026-06-16,672.1999999999999,-66.2,943.2547499999998,177.38949999999997,1120.64425,37.61333333333334,35.666354166666665,1.9469791666666663,14,9,23,2407.525,-1286.88075,60.9,1.2,100.0,738.4,2400.0,30.8
ANOL_ESS_RN,2026-06-16,14.200000000000001,-20.2,59.75450000000001,3.6039999999999996,63.35850000000001,33.56,28.563645833333336,4.996354166666666,16,6,22,75.65875000000001,-12.300250000000009,72.7,2.31,240.0,34.4,5760.0,0.6
ANTL_ESS_ES1,2026-06-16,1.2000000000000002,-56.2,6.593999999999999,444.41049999999996,451.00449999999995,58.312083333333334,51.584375,6.727708333333332,19,4,23,476.746,-25.74150000000001,82.6,3.9,70.0,57.400000000000006,1680.0,3.4
APPLE_ESR_RN,2026-06-16,3.0,-19.0,22.402500000000003,68.63750000000002,91.04000000000002,3.61375,3.2689583333333334,0.3447916666666668,12,2,14,110.30000000000003,-19.259999999999998,85.7,0.95,0.0,22.0,0.0,0.0
ARY_BESS_RN,2026-06-16,3.0,-59.5,29.872499999999988,121.15249999999997,151.02499999999998,4.8620833333333335,4.8878125,-0.025729166666666952,6,3,9,250.21374999999995,-99.18875,66.7,1.26,0.0,62.5,0.0,0.0
AVIL_ESS_RN,2026-06-16,4.300000000000001,-1.4000000000000001,14.253000000000005,12.909499999999998,27.1625,48.165,43.10489583333333,5.060104166666666,18,4,22,28.091500000000007,-0.9289999999999996,81.8,6.72,160.0,5.700000000000001,3840.0,0.1
AZURE_RN,2026-06-16,75.7,-98.7,767.6465,-158.27150000000012,609.3749999999999,32.27708333333333,25.279375,6.997708333333333,17,6,23,820.4144999999999,-211.03950000000003,73.9,1.37,77.6,174.4,1862.3999999999999,9.4
BATCAVE_RN,2026-06-16,517.3,-191.20000000000002,-7325.51325,-1132.0410000000002,-8457.554250000001,28.4825,33.60104166666667,-5.118541666666667,9,14,23,515.6187500000001,-8973.172999999999,39.1,0.09,100.5,708.5,2412.0,29.4
BAYC_BESS_RN,2026-06-16,5.3,-16.3,15.336749999999986,-0.7352500000000006,14.601499999999987,34.44,32.690729166666664,1.749270833333334,12,10,22,45.130499999999984,-30.529,54.5,1.23,9.9,21.6,237.60000000000002,9.1
BCK_RN,2026-06-16,1031.9,-371.7,3266.486749999999,-989.8887500000002,2276.597999999999,34.29291666666666,32.12927083333333,2.163645833333333,13,10,23,4999.64075,-2723.0427500000005,56.5,1.41,126.5,1403.6000000000001,3036.0,46.2
BCNV2_ES_RN,2026-06-16,6.0,0.0,82.635,0.0,82.635,8.23375,6.638854166666666,1.5948958333333334,2,0,2,82.635,0.0,100.0,99.99,0.0,6.0,0.0,0.0
BCNV_RN,2026-06-16,6.0,-4.0,-14.460000000000022,41.705000000000005,27.244999999999983,5.357083333333333,4.966979166666667,0.39010416666666653,2,2,4,41.705000000000005,-14.460000000000022,50.0,2.88,150.0,10.0,3600.0,0.3
BEXAR_ES_RN,2026-06-16,1105.3999999999999,-44.2,-352.0982499999982,-158.67625,-510.7744999999984,34.67541666666667,33.87489583333333,0.800520833333334,13,10,23,2001.4222500000012,-2512.1967499999996,56.5,0.61,100.0,1149.6,2400.0,47.9
BIGSTAR_ALL,2026-06-16,35.5,-55.1,55.040500000000065,-144.76374999999993,-89.72324999999988,34.48875,33.391979166666665,1.0967708333333337,13,10,23,228.44750000000002,-318.17074999999994,56.5,0.55,80.0,90.6,1920.0,4.7
BKSL_RN,2026-06-16,14.200000000000001,-6.1000000000000005,11.632249999999985,218.1175,229.74975,30.93041666666667,23.989375,6.941041666666666,16,6,22,231.7005,-1.9507499999999958,72.7,44.54,100.0,20.3,2400.0,0.8
BLACKSPR_RN,2026-06-16,3.0,-67.0,25.942500000000003,-3827.94,-3801.9975,2.920833333333333,2.668854166666667,0.25197916666666664,7,5,12,360.2475,-4162.245,58.3,0.06,120.0,70.0,2880.0,2.4
BLSMT1_5_A_6,2026-06-16,89.4,-110.3,1545.266,-153.5444999999997,1391.7215000000006,32.19416666666667,26.621666666666666,5.572500000000001,18,5,23,1644.0132500000002,-252.2917499999998,78.3,1.81,150.0,199.7,3600.0,5.5
