rank,node,net_revenue,offer_revenue,bid_revenue,avg_win_rate,avg_profit_loss,avg_dart_spread,avg_participation,total_offered_mw,total_bid_mw,days_active,hsl
1,RRANCHES_ALL,1255888.58454,1243814.1145399997,12074.470000000001,35.44305555555556,8.077569444444444,6.547935534246098,15.115972222222224,6685.8,-71579.7,144,150.0
2,EBNY_ESS_RN,832109.42825,831147.5804999999,961.8477500000001,35.517361111111114,13.290486111111111,7.063250137454384,0.5284722222222222,3312.0,-477.1,144,200.0
3,BLVN_RN,413067.35175000003,415804.048,-2736.69625,34.06830985915493,37.59021126760564,3.574477893985209,24.533802816901407,147527.9,-3072.9,142,180.0
4,SG_BES_BESS1,379828.81155,369600.88055,10227.931,34.62013888888889,9.508333333333333,2.452058781199678,9.96875,8202.9,-26299.4,144,100.0
5,RADN_SLR_ALL,304039.91249,288013.05324,16026.859249999996,36.916783216783216,7.88041958041958,10.025000759756836,19.456643356643358,14836.3,-39791.7,143,81.9
6,BCK_RN,272845.30575,276623.3355,-3778.0297500000006,35.074125874125876,20.89097902097902,4.605859590524064,36.7979020979021,157497.80000000002,-2325.3,143,126.5
7,GIGA_ESS_RN,250173.48500000002,256199.54075000001,-6026.05575,35.032167832167836,11.129510489510489,7.54246702767334,2.6734265734265734,4173.4,-7352.2,143,125.0
8,CORALSLR_ALL,208245.6995,216560.47825,-8314.778750000001,32.72638888888889,8.358749999999999,3.144271796132736,61.952083333333334,106806.59999999999,-3217.7,144,51.4
9,PALACIOS_RN,207754.55605,211931.85505,-4177.299,40.58680555555556,10.563263888888889,16.383451155105977,83.0923611111111,23551.5,-2202.5,144,3.0
10,TBWF_ES_BES1,188697.82175,173839.80125000002,14858.020499999999,33.08263888888889,21.07375,4.747961305139691,0.3986111111111111,937.6999999999999,-1077.8,144,150.0
11,CROSSETT_ALL,172291.6402,178228.47525,-5936.835049999999,33.94236111111111,10.67611111111111,0.8309730399557166,6.063888888888888,2102.6,-18790.4,144,100.0
12,MUSTNGCK_ALL,160411.81754,149451.973,10959.84454,33.548611111111114,4.6554166666666665,2.759474319234558,7.246527777777778,12955.7,-4836.0,144,71.0
13,FLOWERII_RN,133295.05075,117823.41225,15471.6385,34.989583333333336,10.033125,1.365551904346911,6.692361111111111,3459.3,-18513.1,144,95.0
14,FIVEWSLR_ALL,130673.7842,115877.90945,14795.874749999999,34.26923076923077,15.372097902097902,1.8435357262241017,10.744055944055942,79637.4,-1362.9,143,220.0
15,ANG_ALL,124782.1545,89554.66274999999,35227.49175,35.824305555555554,10.847291666666667,0.7485968269426939,31.67986111111111,108443.5,-9306.2,144,81.0
16,NOBLESLR_ALL,102510.79169999999,113151.42429999998,-10640.6326,35.30763888888889,7.053194444444444,0.6072551402499038,96.96597222222222,199890.2,-9579.1,144,62.5
17,ZIER_SLR_ALL,100920.51225,75640.18950000001,25280.32275,34.196503496503496,5.17986013986014,-0.5090389797949088,45.268531468531464,35743.5,-26417.8,143,40.0
18,PHO_ALL,91213.5935,91690.03425,-476.4407499999999,33.39565217391305,18.57231884057971,3.2536875359325013,1.7565217391304349,6724.0,-1962.7,138,150.0
19,ROSELAND_ALL,90032.4428,91732.6153,-1700.1725,34.35625,9.247916666666667,2.5186480664326187,39.787499999999994,64360.799999999996,-3963.6,144,50.0
20,SUNVASLR_ALL,87358.1715,86302.22755,1055.94395,33.34166666666667,8.749166666666666,2.530433123058922,18.424999999999997,30625.8,-3140.9,144,53.0
21,HOUSEMTN_RN,83028.0664,69952.6948,13075.371599999999,34.81944444444444,9.70236111111111,1.642585445963015,7.631944444444445,2334.3,-13464.2,144,60.0
22,ANEM_ESS_RN,80382.762,83543.68749999999,-3160.9255000000003,32.19166666666667,6.750555555555555,2.9531173149652137,0.6625000000000001,3152.5,-1290.3,144,200.0
23,EUNICE_ALL,76475.51145,85811.18157999999,-9335.67013,36.075694444444444,39.30215277777777,1.7845894876810522,127.16805555555555,63977.3,-21604.2,144,18.0
24,DAN_ALL,68292.21825,80001.617,-11709.398749999998,33.44305555555556,11.945069444444444,2.434605430912612,3.713194444444445,7157.7,-2655.5,144,76.3
25,NF_BRP_RN,61851.399699999994,4845.085499999999,57006.31419999999,38.15069444444444,7.417916666666666,2.4166467853093208,4.850694444444445,6549.1,-10313.2,144,100.5
26,BATCAVE_RN,50852.877199999995,21560.680450000003,29292.19675,39.28472222222222,9.512222222222222,2.0106402172279214,11.475000000000001,34903.8,-4952.5,144,100.5
27,MUENSTER_RN,49316.94025,51727.59225,-2410.6520000000005,32.23916083916084,10.734265734265735,4.1131268893950255,26.297902097902096,5717.900000000001,-1921.4,143,9.9
28,RHESS2_ESS1,45102.8935,-6549.983749999999,51652.87725,36.44305555555556,8.229375,-0.07009826973715175,85.04513888888889,10335.1,-19384.2,144,9.9
29,HV_BESS1_RN,37512.202170000004,36173.80275,1338.39942,29.345833333333335,6.5193055555555555,2.881185935481538,17.039583333333333,18559.2,-1240.9,144,9.9
30,WOV_BESS_RN,37467.763,2742.1287500000008,34725.634249999996,36.725174825174825,11.406433566433567,0.6254458489452829,95.78461538461538,14791.599999999999,-17758.1,143,9.9
31,RN_SOLC_SLR,36464.72025,30600.60025,5864.12,23.551546391752577,8.834536082474227,0.40472966513011616,0.0,8750.5,-1736.0,97,0.0
32,RRC_WIND_ALL,36023.44902,20988.405769999998,15035.043249999999,34.386805555555554,8.654097222222223,2.82862976308,14.297916666666667,28446.6,-1596.6,144,75.0
33,VORT_ALL_RN,31958.831629999997,30363.971129999998,1594.8604999999993,34.72083333333333,13.692847222222222,4.378836222974431,12.497916666666667,50908.799999999996,-1753.5,144,121.8
34,ANCHOR_ALL,30607.9275,25031.53925,5576.388250000001,35.24583333333333,7.893263888888888,2.373185165907345,37.09652777777777,37918.0,-8848.5,144,36.3
35,MYR_ALL,23549.277000000002,16245.754500000001,7303.522500000001,31.073239436619716,9.912464788732393,1.9013302101598557,2.276760563380282,4051.2999999999997,-1769.2,142,75.6
36,TORR_ALL,23329.675500000005,22879.416250000006,450.2592500000011,33.16180555555556,2.967013888888889,3.419166571032966,0.0,61780.0,-9983.9,144,0.0
37,AZURE_RN,22451.04771,26379.58946,-3928.541749999999,34.363194444444446,8.256805555555555,2.7257848627922723,4.714583333333334,9729.1,-3381.5,144,77.6
38,MIDWY_RN,21968.44788,-210.27919999999997,22178.72708,35.51111111111111,8.34388888888889,0.09111851516137078,83.54027777777777,572.3,-19118.9,144,0.0
39,JADE_SLR_ALL,21638.16651,23699.991009999998,-2061.8245000000006,33.97291666666667,9.391527777777776,0.36261339038857754,13.05625,33087.3,-3826.6,144,81.9
40,BRP_PBL2_RN,19327.85975,-1805.0552500000001,21132.915,55.38333333333333,31.669166666666666,-3.215416666666667,15.194444444444445,94.9,-884.4,36,9.9
41,FLVABES1_ESR,17802.995000000003,14079.74225,3723.2527500000006,36.41111111111111,15.679305555555553,1.7762959188808376,9.291666666666666,862.9,-2315.0,144,9.9
42,PYR_PYRON1,16865.86675,18006.789249999998,-1140.9224999999997,36.704166666666666,11.168888888888889,3.8410237165960175,27.186111111111114,13071.2,-1112.6,144,15.1
43,SHEEPCRK_1,16190.48803,17757.138030000002,-1566.6500000000008,34.77916666666667,8.980833333333333,1.9405042168895887,3.3062500000000004,11930.0,-2655.0,144,135.0
44,SHAMROCK_RN,15100.133,24783.52625,-9683.39325,36.69166666666667,11.232569444444444,2.794113880165171,7.904861111111111,15587.8,-4790.5,144,99.3
45,CATARINA_B1,13543.418749999999,-1171.8370000000011,14715.25575,36.047916666666666,5.499236111111111,-0.01485219402777193,37.14513888888889,4042.4,-8407.4,144,8.2
46,FORTMA_RN,13220.80129,13048.3505,172.4507899999996,35.75633802816901,9.491549295774648,1.2946560839045316,54.98098591549295,17417.7,-971.4,142,9.8
47,BRP_RN_UNIT1,12890.2385,10304.52875,2585.7097500000004,36.72013888888889,14.305069444444444,1.1290709027582355,47.81180555555556,13686.8,-2670.0,144,9.9
48,BEXAR_ES_RN,12686.657749999998,14714.090249999994,-2027.4325,34.511188811188816,12.034405594405593,4.016885128154967,41.72727272727273,131908.0,-1858.0,143,100.0
49,BCNV_RN,12515.46872,6820.067000000001,5695.40172,64.13589743589743,22.258205128205127,4.363101791200416,2.184615384615385,1679.2,-1173.1000000000001,39,150.0
50,INRT_W_ALL,12348.37283,12068.018580000002,280.35425000000004,33.67916666666667,10.320347222222221,4.769920801168121,26.94027777777778,10390.5,-1720.7,144,13.0
51,JDKNS_RN,11841.10367,3561.4402499999997,8279.66342,34.62222222222223,7.315416666666666,0.2259648807754161,61.243750000000006,1930.6999999999998,-19017.4,144,9.9
52,CORAZON_RN,11001.453499999996,9266.462249999999,1734.991249999995,32.184615384615384,3.7717482517482517,1.399207232209273,7.072727272727272,42409.0,-6196.7,143,200.0
53,LON_RN1,10810.7455,7742.1365,3068.609,31.775000000000002,12.480555555555554,2.472811578587302,1.0381944444444444,4824.099999999999,-1305.1,144,174.0
54,FENCESLR_ALL,10330.91018,9473.90625,857.0039299999999,36.91048951048951,14.074405594405594,0.7527691585870102,3.8363636363636364,4411.0,-4875.8,143,71.0
55,X443ESRN,10251.812660000001,8903.540910000002,1348.2717499999999,35.10845070422535,13.313169014084506,4.281069530670488,13.950704225352112,3984.3,-771.2,142,10.0
56,ODESW_RN,9926.057299999999,-11980.524450000003,21906.58175,33.765492957746474,9.714014084507042,-0.7047315577612103,63.69295774647887,3142.6,-18348.1,142,9.9
57,JUNCTION_RN,9841.372000000003,19303.784000000003,-9462.411999999998,37.90763888888889,9.64125,-0.8010313347940017,38.80347222222222,9410.0,-3862.9,144,9.9
58,CAST_ESS_RN,9537.080249999999,4.52,9532.560249999999,8.522727272727273,7.633030303030303,0.06848484848484848,0.20606060606060606,60.0,-656.4,66,200.0
59,STADIUM_RN,9134.38675,6725.46925,2408.9175,30.85166666666667,8.784083333333333,0.4602489272088312,32.78333333333333,8146.9,-1201.5,120,9.9
60,POTSVIL_RN,8784.635530000001,10374.119250000003,-1589.483720000001,34.25174825174825,16.71972027972028,0.8421072074335414,85.74755244755245,9533.8,-19601.5,143,9.9
61,BUDA_RN,8719.16,-63.632499999999965,8782.7925,28.48888888888889,10.91851851851852,-1.144639762120385,0.0,4628.0,-365.0,108,0.0
62,IND_INADALE1,8010.868999999999,7580.064249999999,430.8047500000008,37.29236111111111,13.682222222222222,2.268163977413492,24.733333333333334,6354.8,-2113.6,144,9.9
63,SWOOSE1_U1,7908.26165,10670.803300000001,-2762.54165,35.635416666666664,16.187152777777776,1.9542402740036229,10.897916666666667,1089.7,-2637.2999999999997,144,9.9
