node,net_revenue,offer_revenue,bid_revenue,days_active,total_offer_mw,total_bid_mw,hsl,rank
BLUEJAY_RN,9973.84475,12574.41625,-2600.5714999999996,184.0,40398.4,-9089.8,50.0,59
IND_INADALE1,9904.839,10697.83225,-792.9932499999983,184.0,7794.8,-3577.6,9.9,60
CAST_ESS_RN,9874.644250000001,381.594,9493.05025,91.0,102.6,-665.4,200.0,61
PIRATE_RN,9626.041000000003,6593.637249999999,3032.4037500000004,182.0,22518.7,-1800.8,9.8,62
LYSSY_RN,9586.27575,9116.166500000003,470.10925,182.0,21150.800000000003,-2142.8,9.9,63
BUDA_RN,9269.89025,197.49450000000004,9072.39575,148.0,5032.2,-2795.3,0.0,64
BOCO_ESS_RN,9053.2065,6833.164500000001,2220.0420000000004,184.0,3662.2,-3570.1000000000004,150.0,65
CROSSTRL_RN,8352.1042,108.8092000000006,8243.295,183.0,2564.3999999999996,-5819.4,57.0,66
JDKNS_RN,7882.426920000001,4633.17,3249.2569200000007,184.0,2203.0,-21610.7,9.9,67
JC_BAT_RN,7874.838999999999,7069.50775,805.3312499999998,177.0,3680.8,-322.4,1.7,68
BKSL_RN,7381.031,7698.72575,-317.6947500000001,183.0,2999.1000000000004,-5216.0,100.0,69
SWOOSE1_U1,6128.38465,11028.6218,-4900.23715,184.0,1881.1,-3088.7000000000003,9.9,70
ANDMDSLR_ALL,5350.973030000003,11624.11503,-6273.141999999999,183.0,12235.6,-4067.7,81.9,71
ESCONDID_ESR,5280.057,-1119.0295,6399.0865,181.0,409.59999999999997,-3643.6000000000004,0.0,72
LUCKYBLU_RN,5270.04575,2169.5069999999996,3100.53875,167.0,3671.3999999999996,-7395.400000000001,100.0,73
GZ_RN,5103.285169999999,5638.056419999999,-534.7712499999996,182.0,20069.0,-1025.1,9.9,74
SWT_BESS_RN,4598.228790000001,4530.588500000001,67.64028999999982,183.0,10157.9,-5568.4,9.9,75
SLCN_ESS_ALL,4586.850250000001,868.8930000000005,3717.9572500000004,183.0,2095.2,-3469.2,50.0,76
RVRVLYS_ALL,4346.284499999995,5845.127749999998,-1498.8432499999994,180.0,6669.0,-1112.4,50.0,77
ARY_BESS_RN,3899.84275,-333.79249999999996,4233.63525,108.0,133.0,-3514.4,0.0,78
