node,net_revenue,offer_revenue,bid_revenue,days_active,total_offer_mw,total_bid_mw,hsl,rank
SROSA_ESR_RN,-10434.4895,-2190.4475,-8244.042000000001,182.0,3983.9,-3021.4,9.9,249
CORAZON_RN,-10812.105750000002,-10815.04525,2.939499999995178,183.0,52219.6,-9598.5,200.0,250
WIG_BESS_RN,-10949.1275,1303.8245000000002,-12252.952,183.0,1403.9,-3024.0,120.0,251
HI_LONEB_RN1,-11461.94175,-11511.001499999998,49.059749999999894,173.0,2952.5,-1415.1,50.0,252
RIOG_ESR_RN,-12041.8845,-8775.61575,-3266.26875,181.0,1652.9,-890.3000000000001,9.9,253
BRPMAGNO_RN,-12434.858950000002,-10367.5862,-2067.2727500000005,182.0,4067.4,-4306.3,9.9,254
UTOPIA_RN,-12977.30125,-12503.09875,-474.2024999999999,123.0,20720.7,-4925.5,9.9,255
FALFUR_RN,-13393.471749999999,-5229.8099999999995,-8163.661750000001,183.0,18056.1,-5872.700000000001,9.9,256
BIGSTAR_ALL,-14464.14026,-151.59179999999878,-14312.548460000002,184.0,9679.5,-18983.9,80.0,257
PALE_ESS_EN,-14576.33325,-578.8880000000003,-13997.44525,184.0,2331.2999999999997,-4205.5,200.0,258
DC2SES_ALL,-14642.661249999997,-6128.258249999999,-8514.402999999998,184.0,17416.6,-29964.899999999998,66.5,259
MU_RN,-15211.948000000002,-4344.330000000002,-10867.617999999999,177.0,1471.4,-2698.3,9.9,260
HOLCOMB_RN1,-16106.8565,-8810.809250000002,-7296.04725,184.0,4408.099999999999,-6116.7,9.9,261
LILY_RN,-16162.875250000001,-8107.899749999999,-8054.9755000000005,184.0,9773.4,-4772.6,50.0,262
PRCRK_RN,-17091.2045,-7170.73,-9920.4745,176.0,508.8,-2677.7,9.9,263
MILTON_RN,-18709.21125,-18541.32,-167.89125000000058,182.0,22196.6,-2198.4,9.9,264
STRG_SLR_ALL,-18849.16375,-6637.037499999999,-12212.12625,179.0,4047.9,-6730.5,100.0,265
QUEEN_BA_RN,-20082.43675,-1527.28025,-18555.156500000005,171.0,3872.1,-28557.4,50.0,266
CARRIZO_ESR1,-21801.610250000005,-36782.80825,14981.197999999999,181.0,16964.0,-1549.4,9.8,267
WFTANK_ESS1,-22487.035000000003,-4967.145,-17519.890000000003,184.0,2674.2999999999997,-12698.7,150.0,268
CFLAT_ES_RN,-24690.90025,639.6674999999993,-25330.567750000002,159.0,3104.8,-9434.5,100.0,269
SEVNF_ES_RN,-25620.211500000005,-38467.565,12847.3535,173.0,3153.4,-16744.4,100.0,270
SP_RN,-28286.922000000002,-13471.8665,-14815.055500000002,181.0,3910.9,-5147.3,9.9,271
SPTX12B_RN,-32150.35166,-24753.645999999997,-7396.70566,183.0,10031.2,-5111.5,24.9,272
PTLBES_BESS1,-32781.093230000006,-32514.761230000004,-266.3319999999985,184.0,19183.600000000002,-2542.1,6.0,273
CLO_RN,-33827.38799999999,-9830.1505,-23997.2375,177.0,2138.3,-8007.1,100.0,274
CONTINEN_RN,-34079.57592,-27229.283669999997,-6850.29225,181.0,10951.9,-2091.6000000000004,0.0,275
ALVIN_RN,-39858.13381,-41734.48281000001,1876.348999999998,184.0,3843.2000000000003,-9638.7,9.9,276
CAMWIND_RN,-48122.18861,-36831.3158,-11290.87281,184.0,49786.899999999994,-16134.0,16.4,277
CATARINA_B1,-57570.73550000001,-36947.892,-20622.8435,184.0,7756.5,-15983.7,9.9,278
CISC_RN,-61250.56675,-7541.2835,-53709.28324999999,183.0,3874.2,-7280.5,9.9,279
NWF_NWF1,-70367.57949999999,-94180.17025,23812.59075,184.0,69137.9,-18791.1,36.0,280
RUSSEKST_RN,-86541.61849999998,-7473.643000000002,-79067.97549999999,184.0,7552.299999999999,-9657.2,9.9,281
GKS_BESS_RN,-183993.118,-149474.7935,-34518.3245,183.0,82151.5,-26776.199999999997,100.0,282
