node,date,total_offer_mw,total_bid_mw,offer_revenue,bid_revenue,net_revenue,avg_da_lmp,avg_rt_lmp,avg_dart_spread,hours_positive,hours_negative,hours_participated,positive_revenue,negative_revenue,win_rate,profit_loss_ratio,hsl,total_awarded_mw,max_possible_mw,participation_rate
ABINDUST_RN,2026-06-23,14.8,-3.1,-41.53774999999999,16.872750000000003,-24.664999999999985,24.113333333333333,26.017916666666665,-1.9045833333333324,14,8,22,67.91925,-92.58425,63.6,0.42,9.9,17.900000000000002,237.60000000000002,7.5
ADL_RN,2026-06-23,28.5,-0.6000000000000001,25.597000000000005,2.8252499999999996,28.422250000000005,32.10666666666666,31.449583333333333,0.657083333333333,17,6,23,73.46525,-45.043,73.9,0.58,60.0,29.1,1440.0,2.0
AE_RN,2026-06-23,5.4,-89.7,-9.121000000000002,182.77875000000006,173.65775000000005,29.902083333333334,32.416979166666664,-2.514895833333333,12,11,23,213.71800000000005,-40.06024999999998,52.2,4.89,9.9,95.10000000000001,237.60000000000002,40.0
ALAMO_ST_RN,2026-06-23,0.0,0.0,0.0,0.0,0.0,3.480833333333333,2.0946875,1.3861458333333332,0,0,0,0.0,0.0,0.0,0.0,9.9,0.0,237.60000000000002,0.0
ALP_BESS_RN,2026-06-23,12.0,-21.3,105.7595,237.02974999999998,342.78925,28.629583333333333,20.242916666666666,8.386666666666667,23,0,23,342.7892499999999,0.0,100.0,99.99,100.3,33.3,2407.2,1.4
ALVIN_RN,2026-06-23,10.4,-89.4,28.373,316.00600000000003,344.379,31.96875,31.105104166666667,0.8636458333333336,18,5,23,363.547,-19.167999999999996,78.3,5.27,7.5,99.80000000000001,180.0,55.4
AMAD_ESS_RN,2026-06-23,1.0,0.0,1.4450000000000003,0.0,1.4450000000000003,5.260416666666667,9.408333333333333,-4.147916666666666,1,0,1,1.4450000000000003,0.0,100.0,99.99,0.0,1.0,0.0,0.0
ANCHOR_ALL,2026-06-23,219.3,-1.8,-654.30675,-9.916500000000001,-664.2232499999999,22.821250000000003,25.4803125,-2.6590624999999997,12,11,23,316.44800000000004,-980.6712499999999,52.2,0.3,36.3,221.10000000000002,871.1999999999999,25.4
ANDMDSLR_ALL,2026-06-23,36.300000000000004,-10.0,-24.978750000000016,12.337249999999992,-12.641500000000017,21.532083333333333,22.100520833333334,-0.5684375000000004,12,11,23,61.45699999999999,-74.09850000000002,52.2,0.76,81.9,46.300000000000004,1965.6000000000001,2.4
ANEM_ESS_RN,2026-06-23,13.8,-2.4000000000000004,239.36400000000003,26.786,266.15000000000003,20.153333333333332,11.4521875,8.701145833333333,19,4,23,271.9845,-5.8345,82.6,9.81,200.0,16.200000000000003,4800.0,0.3
ANG_ALL,2026-06-23,978.7,-88.0,11565.23275,1282.4645,12847.69725,20.888333333333332,16.342708333333334,4.545625,20,3,23,13102.42275,-254.72550000000007,87.0,7.72,100.0,1066.7,2400.0,44.4
ANOL_ESS_RN,2026-06-23,5.800000000000001,-0.4,-30.622,2.410499999999999,-28.2115,28.669583333333332,33.62197916666667,-4.952395833333333,13,10,23,6.82325,-35.03475,56.5,0.15,240.0,6.200000000000001,5760.0,0.1
ANTL_ESS_ES1,2026-06-23,4.4,-58.5,6.942500000000002,256.60300000000007,263.54550000000006,24.068749999999998,21.39135416666667,2.677395833333334,13,10,23,406.83500000000004,-143.28949999999998,56.5,2.18,70.0,62.9,1680.0,3.7
APPLE_ESR_RN,2026-06-23,1.0,-52.0,0.9074999999999989,421.6325,422.53999999999996,1.4245833333333333,0.9229166666666666,0.5016666666666666,18,0,18,422.54,0.0,100.0,99.99,0.0,53.0,0.0,0.0
ARY_BESS_RN,2026-06-23,11.0,-58.0,112.73625000000001,3.8850000000000193,116.62125000000002,3.1,2.4875,0.6125,9,4,13,274.65000000000003,-158.02874999999997,69.2,0.77,0.0,69.0,0.0,0.0
AVIL_ESS_RN,2026-06-23,4.2,-1.7000000000000002,39.30500000000001,13.415000000000003,52.720000000000006,24.363333333333333,16.2221875,8.141145833333335,23,0,23,52.720000000000006,0.0,100.0,99.99,160.0,5.9,3840.0,0.2
AZURE_RN,2026-06-23,71.3,-13.0,-250.22299999999993,35.85975,-214.36324999999994,22.101250000000004,22.505,-0.40374999999999966,12,11,23,115.5815,-329.94474999999994,52.2,0.32,77.6,84.3,1862.3999999999999,4.5
BATCAVE_RN,2026-06-23,91.3,-168.9,1711.0202499999998,2499.978,4210.99825,48.654583333333335,27.45322916666667,21.201354166666665,23,0,23,4210.998250000001,0.0,100.0,99.99,100.5,260.2,2412.0,10.8
BAYC_BESS_RN,2026-06-23,6.4,-0.6000000000000001,-278.5715,2.5470000000000006,-276.0245,28.755416666666665,87.75510416666667,-58.9996875,12,11,23,13.919500000000008,-289.9440000000001,52.2,0.04,9.9,7.0,237.60000000000002,2.9
