rank,node,offer_revenue,bid_revenue,net_revenue,total_offer_mw,total_bid_mw,win_rate,avg_win_rate,profit_loss_ratio,avg_profit_loss_ratio,participation_rate,avg_dart_spread,hsl,days_active
1,RRANCHES_ALL,1129916.9471999996,-20028.76150000001,1109888.1857,11023.1,-115502.7,49.65336134453781,56.81520833333333,7.278815126050421,8.433604166666667,14.203193277310923,1.4399587272408965,150.0,211.0
2,EBNY_ESS_RN,812050.0983399999,550.2905,812600.38884,7554.7,-1070.2,51.12008403361345,54.85870833333334,2.8236302521008403,15.261674999999999,0.36273109243697477,1.8821802345938377,200.0,211.0
3,BLVN_RN,414793.61389,-5833.5165,408960.09739,209338.6,-6438.5,51.532689075630245,54.960883838383836,17.20016806722689,9.396919191919192,12.00672268907563,1.865609506302521,180.0,209.0
4,SG_BES_BESS1,359822.21846,-15002.811250000002,344819.40721,20043.600000000002,-40081.5,49.84449579831933,57.43025,2.7973613445378147,4.3336125,14.89201680672269,1.619950586484594,100.0,211.0
5,RADN_SLR_ALL,266910.99993,30086.4395,296997.43943,40986.700000000004,-48898.200000000004,46.788193277310924,54.95929229480737,2.157453781512605,3.9629413735343384,11.28798319327731,1.2317903098739496,81.9,210.0
6,GIGA_ESS_RN,253261.70784000002,-5540.385250000001,247721.32259,6087.800000000001,-11077.0,53.318151260504195,59.54653266331658,4.500344537815126,7.3241905360134,1.2228571428571429,1.8722584908963587,125.0,210.0
7,PALACIOS_RN,230700.97134,1926.7419999999997,232627.71334000002,36428.50000000001,-5098.400000000001,52.49403361344538,60.70975,5.211088235294117,8.1344,111.95852941176472,1.8190054271708684,3.0,211.0
8,BCK_RN,250513.71633999998,-32365.26375,218148.45259,283922.30000000005,-12681.800000000001,48.94533613445378,54.82064070351759,2.7320840336134453,5.393635259631491,62.35773109243697,1.3630358893557426,126.5,210.0
9,CORALSLR_ALL,198875.57251,-15036.36325,183839.20926,143718.59999999998,-6476.7,51.82474789915967,55.26366666666667,6.9893277310924375,5.454845833333334,23.215504201680673,1.9860611869747902,51.4,211.0
10,TBWF_ES_BES1,155454.39930000005,5995.75825,161450.15755,3416.7,-3781.2999999999997,59.747184873949585,59.38320833333334,32.886567226890755,32.925216666666664,2.3945378151260504,1.2314422706582635,150.0,211.0
11,MUSTNGCK_ALL,152120.70796000003,2566.286289999999,154686.99425,19127.2,-8637.8,51.12974789915967,58.17016666666667,3.5454117647058827,9.3698625,5.9853781512605035,1.5494492296918767,71.0,211.0
12,CROSSETT_ALL,169322.70241000006,-25806.99515,143515.70726,10542.5,-29968.100000000002,52.08613445378151,56.89425,4.503739495798319,5.938770833333333,11.096008403361346,1.6222981880252103,100.0,211.0
13,FIVEWSLR_ALL,120268.13578,9427.13247,129695.26825000001,184467.00000000003,-3332.4,49.47768907563025,54.26536432160805,11.383382352941176,4.474382328308208,32.656722689075636,1.162329525560224,220.0,210.0
14,VORT_ALL_RN,113042.26586,-1323.9916700000006,111718.27419000001,82237.6,-4100.4,48.44155462184874,53.86058333333334,2.339327731092437,4.870208333333333,7.504495798319328,1.3457572654061625,121.8,211.0
15,ROSELAND_ALL,114971.81279000001,-19573.612000000005,95398.20078999999,93184.2,-19502.6,51.95571428571428,55.48716666666667,5.674714285714285,3.8570791666666664,39.70483193277312,1.8631943714985995,50.0,211.0
16,FLOWERII_RN,101502.52059,-8267.466000000004,93235.05458999999,9526.0,-27698.100000000002,50.22899159663865,57.1905,6.189705882352942,8.557645833333332,7.92218487394958,1.5294500612745099,95.0,211.0
17,SUNVASLR_ALL,83761.87045999999,6230.871700000001,89992.74216000001,62063.100000000006,-7138.499999999999,47.6436974789916,52.841,1.8386008403361347,2.9222083333333333,30.799747899159666,1.0831839110644257,53.0,211.0
18,EUNICE_ALL,93469.80483,-4731.74663,88738.0582,111006.5,-36422.1,50.40016806722689,57.84,3.8108613445378148,10.477179166666666,224.52394957983194,1.0258354779411767,18.0,211.0
19,PHO_ALL,80310.82111,961.1352499999999,81271.95636,13973.099999999999,-2964.8999999999996,49.062899159663864,55.94017182130584,2.6863907563025213,6.99257560137457,2.6019327731092434,1.0181052608543417,150.0,205.0
20,DAN_ALL,87464.66199,-13613.52675,73851.13524,20508.7,-3848.0,48.621554621848745,54.345984848484854,3.8054747899159658,5.746795454545454,12.394243697478991,1.3288680409663867,76.3,209.0
21,ANCHOR_ALL,71664.33212,2038.4659700000007,73702.79809,67577.6,-13165.9,48.2313025210084,55.58354166666666,1.985344537815126,4.0714958333333335,32.62138655462185,1.3778153011204484,36.3,211.0
22,NF_BRP_RN,9407.723999999998,61411.7402,70819.4642,13718.2,-14126.4,57.80336134453782,66.76080402010051,13.954521008403361,19.580555276381908,7.261932773109244,1.0117408525910363,100.5,210.0
23,RN_SOLC_SLR,59091.401999999995,7170.166249999998,66261.56825,62028.3,-4836.5,53.001680672268904,56.52393790849673,28.529214285714286,25.286040849673203,13.214915966386554,0.12630484068627446,0.0,164.0
24,HOUSEMTN_RN,60805.41520999999,989.5770999999982,61794.99230999999,6107.599999999999,-18133.7,49.36256302521008,56.08745833333333,4.272302521008404,6.3658125000000005,7.397016806722689,1.5245529586834736,60.0,211.0
25,MUENSTER_RN,56031.38175000001,3620.4895,59651.87125,13731.099999999999,-4459.099999999999,56.81987394957983,59.79963567839196,8.63605462184874,6.69080862646566,39.70521008403361,1.3768965336134453,9.9,210.0
26,ANG_ALL,31914.982,27294.90125,59209.883249999984,177366.80000000002,-13397.1,49.37424369747899,48.92966666666666,3.0012268907563024,5.335333333333333,43.041722689075634,1.3916123949579833,81.0,211.0
27,BATCAVE_RN,41368.08843999999,10641.95245,52010.040890000004,59468.5,-15254.0,51.16016806722689,53.437759631490785,3.100029411764706,3.795478224455612,15.071680672268908,2.832245185574229,100.5,210.0
28,POTSVIL_RN,21737.283250000008,22587.90253,44325.18578000001,28484.3,-32193.5,61.0510924369748,62.407939698492456,11.7483487394958,6.50556407035176,175.2871008403361,3.4810193014705884,9.9,210.0
29,STADIUM_RN,20956.79135,19843.01325,40799.8046,11854.4,-4730.7,57.15953781512604,60.20808712121212,14.72304201680672,16.05375284090909,19.50142857142857,0.966921787464986,9.9,187.0
30,JUNCTION_RN,50643.30854,-10430.6785,40212.630040000004,16874.4,-7631.099999999999,60.88542016806723,61.16320833333333,6.5060882352941185,7.509829166666667,77.91226890756303,13.485925726540618,9.9,211.0
31,RRC_WIND_ALL,23772.96902,13361.850749999996,37134.81977,36199.0,-3105.7,48.890840336134445,56.76358333333333,1.6865462184873952,4.031675,7.321848739495798,1.3767761292016805,75.0,211.0
32,WOV_BESS_RN,1347.381330000001,34731.18474999999,36078.56608,18427.9,-20913.3,49.487016806722686,58.17073283082077,25.143525210084032,26.377656616415408,24.443109243697478,1.601770089285714,9.9,210.0
33,HV_BESS1_RN,33082.756,230.85566999999983,33313.611670000006,25179.1,-3425.0,43.01067226890756,46.177499999999995,1.1513067226890756,4.546991666666667,18.36424369747899,1.1699723389355743,9.9,211.0
34,JADE_SLR_ALL,39169.325860000004,-7201.141090000003,31968.18477,42552.8,-6785.099999999999,46.83600840336134,52.487791666666666,4.127626050420169,5.163829166666666,5.472394957983194,1.3800905112044817,81.9,211.0
35,AZURE_RN,39953.04389,-10575.46367,29377.58022,18468.4,-7424.8,48.7264705882353,54.61379166666667,5.009542016806723,4.016266666666667,7.4393697478991605,1.330744704131653,77.6,211.0
36,JUNORTH_RN,35104.42275,-7484.097049999998,27620.3257,8569.2,-4240.3,60.94462184873949,59.724624999999996,9.217411764705883,9.087116666666667,48.59088235294118,12.28921319152661,9.9,211.0
37,SHEEPCRK_1,31656.08901,-4144.437250000001,27511.65176,50704.00000000001,-3969.2000000000003,49.23298319327731,56.670875,2.2343025210084035,4.90315,15.416806722689074,1.3876667542016807,135.0,211.0
38,TORR_ALL,21715.547500000015,3390.8770000000027,25106.4245,106321.29999999999,-19472.2,51.65613445378151,56.77145833333333,14.470289915966386,15.634420833333333,0.0,3.0302453606442583,0.0,211.0
39,BYP_RN,-1056.0202499999996,24089.962,23033.94174999999,45676.200000000004,-58545.4,52.20840336134454,48.37387820512821,19.603499999999997,22.607185897435897,10.437689075630253,0.5823419555322128,0.0,167.0
40,MIDWY_RN,0.4580500000001493,20807.40233,20807.86038,916.6,-20784.0,62.05273109243697,69.62213149078727,53.17679831932772,56.99543467336682,4.800588235294118,0.07061493347338932,0.0,210.0
41,BEXAR_ES_RN,34565.428660000034,-14289.445249999999,20275.983410000037,204564.19999999998,-5937.2,50.32504201680672,56.549543551088775,159.67505042016808,140.50149581239532,31.161260504201678,1.7560839023109245,100.0,210.0
42,MYR_ALL,13171.463299999996,6343.46825,19514.931549999998,6669.9,-3411.2,47.88903361344538,54.22083333333333,6.845172268907563,5.92100641025641,5.0221848739495805,0.5197272408963586,75.6,206.0
43,BRP_PBL2_RN,-1573.6435000000001,20680.80425,19107.160750000003,351.7,-1294.1000000000001,45.051764705882356,51.68260416666667,20.753680672268906,26.110729166666665,7.717100840336135,-0.3331709558823529,9.9,91.0
44,RN_QTUM_SLR,18745.399719999998,-196.67499999999998,18548.724719999995,37576.0,-519.0,42.73802521008403,40.75825892857143,23.01268487394958,13.805299107142856,11.265756302521009,0.5600600927871148,0.0,123.0
45,KNAPP_RN,1325.211749999999,16220.83025,17546.041999999994,8679.3,-15609.4,48.86302521008403,56.70671768707483,3.1278067226890753,9.948882653061224,0.0,2.4580574229691883,0.0,207.0
46,BRP_RN_UNIT1,13608.400749999999,3680.412000000001,17288.81275,15526.4,-3830.0,50.2418487394958,55.33727386934673,5.119260504201681,9.120058207705194,9.869159663865545,1.998642507002801,9.9,210.0
47,MEDILA_RN,15263.545819999996,1741.3790000000006,17004.924820000007,22730.5,-2403.2999999999997,52.629285714285714,57.354393939393944,5.489621848739496,7.1743434343434345,23.936344537815124,2.5139481792717087,9.9,209.0
48,FENCESLR_ALL,13723.667749999999,708.9319300000002,14432.59968,7970.6,-7566.0,53.197100840336134,58.68882328308207,3.983584033613445,5.138286432160804,3.938235294117647,1.9748229166666667,71.0,210.0
49,LYSSY_RN,15143.7355,-1538.2365000000007,13605.499,26104.899999999998,-3521.6,51.6027731092437,55.88388888888889,12.895336134453782,14.310492424242424,30.649621848739493,1.7954283525910364,9.9,209.0
50,FLVABES1_ESR,11748.07075,1707.5422500000004,13455.613,3093.6000000000004,-2832.7999999999997,55.5498319327731,56.836375,24.73422268907563,25.861179166666666,17.221218487394957,0.6832395833333335,9.9,211.0
51,BLACKSPR_RN,-1852.2520000000004,15253.42325,13401.171250000001,2441.7000000000003,-6978.1,65.45386554621848,66.42624744376278,38.89192016806722,36.30803374233129,2.269495798319328,1.596781425070028,120.0,174.0
52,BCNV_RN,7658.224,5541.329970000001,13199.55397,2017.2,-1979.0,53.07525210084033,55.44122807017544,18.688302521008403,20.4040350877193,0.4452521008403362,0.6069113707983192,150.0,106.0
53,X443ESRN,10815.290570000001,1171.8337499999993,11987.124319999999,5229.0,-892.4000000000001,50.35151260504203,54.595170068027215,2.5429201680672264,8.066781462585034,4.321638655462185,1.8874541754201686,10.0,207.0
54,TRIPBUT1_RN,11796.27391,-696.7450000000013,11099.52891,2042.1000000000001,-14358.099999999999,48.08420168067227,54.04595833333334,2.7700546218487396,4.564887499999999,10.387100840336133,1.6236145395658266,7.5,211.0
55,BLUEJAY_RN,14632.107750000005,-3556.3270000000007,11075.78075,45740.799999999996,-12170.199999999999,51.517436974789916,57.287499999999994,22.999899159663865,6.85095,11.398529411764704,1.8107554271708683,50.0,211.0
56,BOCO_ESS_RN,8283.28291,1746.776,10030.058910000002,5058.0,-4052.9,50.15121848739496,55.92483333333333,11.47255462184874,6.493775,1.3060084033613444,2.056655943627451,150.0,211.0
57,PIRATE_RN,12046.89066,-2193.508,9853.38266,26297.0,-3755.2,51.99382352941177,57.13575757575758,7.952609243697478,15.107656565656566,45.89042016806722,1.5670197829131651,7.0,209.0
58,EMPCT_RN,991.0177500000004,8845.80525,9836.822999999999,1024.3,-5280.400000000001,49.39042016806722,53.08842105263159,31.45266386554622,11.33948245614035,26.52672268907563,1.2830250350140058,9.9,201.0
59,OLNEYTN_RN,-3893.833500000001,13339.657499999996,9445.824000000002,5512.200000000001,-3630.2000000000003,62.84243697478992,64.97160652920962,13.668235294117645,16.548243127147764,32.70063025210084,8.218366202731092,9.9,205.0
60,LON_RN1,7229.866249999999,1198.5007499999997,8428.367,6387.8,-2708.5,49.61705882352941,54.69491666666667,2.1934747899159666,5.331099999999999,0.7090756302521009,1.5857242209383755,174.0,211.0
61,BUDA_RN,-1568.8480000000004,9503.588249999999,7934.74025,6154.2,-2951.3,49.264327731092436,52.9117174796748,48.285478991596634,47.039686991869914,4.996974789915966,0.15361195728291316,0.0,175.0
62,JC_BAT_RN,6823.30859,700.1399999999999,7523.44859,3931.7999999999997,-584.1,50.972436974789915,52.3044170984456,1.3894327731092437,9.739179620034541,70.80676470588236,1.8196051295518205,1.7,204.0
63,LUCKYBLU_RN,2966.9972500000003,3475.5337500000005,6442.531,4224.0,-7871.3,61.40991596638655,68.31198717948718,21.394092436974788,25.535413003663002,1.8615546218487395,1.3034387692577032,100.0,193.0
64,MNWL_BESS_RN,-1599.3037499999991,7987.8005,6388.496750000002,2420.1,-1778.3999999999999,56.39995798319328,60.16389175257732,11.07381512605042,21.382125429553263,14.545840336134454,1.3587102153361346,9.9,205.0
65,JDKNS_RN,5349.112249999999,114.65617000000066,5463.76842,3536.9000000000005,-24078.6,49.929453781512606,58.37379166666667,18.782542016806723,23.338329166666668,28.121764705882352,1.5648023459383753,9.9,211.0
66,AMAD_ESS_RN,3802.94575,886.3635,4689.30925,1342.1,-1535.4,43.745462184873944,44.67753333333333,15.047096638655463,5.307766666666667,0.0,0.6872493872549018,100.0,136.0
67,BKSL_RN,7735.066750000001,-3400.3345000000004,4334.73225,3207.5,-6718.0,47.68672268907563,53.89989112227806,5.880525210084033,4.946342127303183,2.319453781512605,1.1652008053221288,100.0,210.0
68,ESCONDID_ESR,-746.746,4603.5885,3856.8425,926.2,-4357.3,42.79529411764706,52.154479695431476,3.5364411764705883,12.704705583756345,0.0,-0.5486262254901959,0.0,208.0
